FRB,RA_deg,DEC_deg,RA_hms,DEC_dms,status,xmin,xmax,ymin,ymax,notes
20171020A,333.8531,-19.5853,22:15:24.74,-19:35:07.1,pending,460,605,460,605, perfect match.
20180924B,326.105235868384,-40.9002526146074,21:44:25.26,-40:54:00.9,pending,473,529,473,529, perfect match.
20190102C,322.415208643486,-79.4757580984851,21:29:39.65,-79:28:32.7,pending,478,524,478,524, perfect match.
20190608B,334.02040578312,-7.89886810526581,22:16:04.90,-7:53:55.9,pending,460,541,467,544, perfect match.
20190714A,183.979524936268,-13.0210785237284,12:15:55.09,-13:01:15.9,pending,486,520,483,517, perfect match.
20191001A,323.352187199872,-54.7477484912365,21:33:24.52,-54:44:51.9,pending,471,511,464,506, perfect match.
20200906A,53.4958425539765,-14.0831745853353,3:33:59.00,-14:04:59.4,pending,461,541,461,541, perfect match.
20210320C,204.458854,-16.122552,13:37:50.12,-16:07:21.2,pending,475,525,475,525, perfect match.
20210410D,326.087266796551,-79.3180613840662,21:44:20.94,-79:19:05.0,pending,483,507,483,513, perfect match.
20210807D,299.2214,-0.7624,19:56:53.14,-0:45:44.6,pending,515,580,496,556, perfect match.
20211127I,199.808176085586,-18.8380065058089,13:19:13.96,-18:50:16.8,pending,467,582,476,577, perfect match.
20211203C,204.565260359076,-31.3791066801824,13:38:15.66,-31:22:44.8,pending,476,521,476,521, perfect match.
20211212A,157.350941401671,1.36088942102641,10:29:24.23,1:21:39.2,pending,467,531,467,531, perfect match.
20220207C,310.19767916805,72.8826580623927,20:40:47.44,72:52:57.6,pending,480,570,485,565, perfect match.
20220307B,350.874524294566,72.1918502235676,23:23:29.89,72:11:30.7,pending,501,547,505,543, perfect match.
20220310F,134.72115983246,73.491023493673,8:58:53.08,73:29:27.7,pending,451,551,451,551, perfect match.
20220319D,32.17791666666667,71.03525,2:08:42.70,71:02:06.9,pending,486,631,460,604,perfect match.
20220509G,282.67480644498,70.2427258540453,18:50:41.95,70:14:33.8,pending,435,555,469,537, perfect match.
20220825A,311.9815,72.585,20:47:55.56,72:35:06.0,pending,485,565,485,565, perfect match.
20220912A,347.270174036462,48.7066182681479,23:09:04.84,48:42:23.8,pending,501,547,505,545, perfect match.
20220914A,282.058506825248,73.3362822052,18:48:14.04,73:20:10.6,pending,482,518,482,518, perfect match.
20220920A,240.25679384725,70.9180072111693,16:01:01.63,70:55:04.8,pending,465,530,465,530, perfect match.
20221012A,280.801416813252,70.5241745429962,18:43:12.34,70:31:27.0,pending,460,540,450,530, perfect match.
