FRB,chi2nu_nopsf,mag_nopsf,mag_err_nopsf,re_nopsf,re_err_nopsf,n_nopsf,n_err_nopsf,b_a_nopsf,b_a_err_nopsf,pa_nopsf,pa_err_nopsf,x_nopsf,x_err_nopsf,y_nopsf,y_err_nopsf,chi2nu_psf,mag_psf,mag_err_psf,re_psf,re_err_psf,n_psf,n_err_psf,b_a_psf,b_a_err_psf,pa_psf,pa_err_psf,x_psf,x_err_psf,y_psf,y_err_psf
20171020A,0.374,15.15,0.01,45.98,0.16,0.55,0.00,0.40,0.00,-50.58,0.11,65.42,0.08,68.20,0.07,0.374,15.15,0.01,45.81,0.17,0.56,0.00,0.39,0.00,-50.55,0.11,65.42,0.08,68.02,0.07
20180924B,0.296,23.03,0.08,3.90,0.33,0.83,0.14,0.92,0.07,-7.64,38.70,28.49,0.26,28.42,0.28,0.296,23.03,0.08,2.43,0.40,1.12,0.52,0.89,0.14,-9.31,57.55,28.48,0.27,28.20,0.29
20190102C,0.337,24.28,0.17,4.50,0.58,0.50,0.14,0.77,0.09,-2.67,20.34,23.43,0.51,23.09,0.63,0.337,24.33,4.37,3.01,14.06,0.50,13.21,0.06,*3.15*,3.82,106.43,23.32,1.54,22.71,1.63
20190608B,0.369,20.13,0.03,7.12,0.16,1.24,0.05,0.87,0.02,-45.25,5.00,41.51,0.09,34.28,0.10,0.369,20.11,0.03,5.66,0.19,1.97,0.10,0.84,0.02,-48.18,5.03,41.40,0.09,34.28,0.11
20190714A,0.514,22.61,0.09,4.75,0.33,0.65,0.10,0.61,0.05,-46.88,5.23,15.52,0.25,17.68,0.25,0.513,22.60,0.07,3.94,0.48,0.78,0.24,0.40,0.07,-47.58,5.07,15.49,0.25,17.56,0.24
20191001A,0.126,20.92,0.02,6.27,0.08,0.62,0.02,0.72,0.01,-47.78,2.19,33.00,0.10,26.68,0.07,0.126,20.92,0.02,5.74,0.13,0.57,0.03,0.62,0.02,-45.41,2.06,32.84,0.08,26.53,0.07
20200906A,0.568,22.56,0.10,6.42,0.43,0.50,0.09,0.51,0.04,32.38,4.20,40.87,0.26,40.01,0.41,0.568,22.58,0.10,6.01,0.64,0.50,0.15,0.33,0.07,31.06,4.11,40.83,0.28,39.85,0.45
20210320C,0.653,22.23,0.09,4.51,0.33,0.81,0.13,0.84,0.06,-13.35,15.60,26.55,0.27,26.24,0.30,0.653,22.22,0.07,3.61,0.42,1.06,0.25,0.72,0.08,-16.76,13.10,26.51,0.27,26.01,0.32
20210410D,0.17,24.09,0.10,5.50,0.44,0.62,0.11,0.58,0.05,66.84,5.09,19.02,0.57,18.54,0.27,0.17,24.05,0.11,3.23,1.01,1.71,1.11,0.13,0.22,70.54,5.01,18.83,0.48,18.46,0.28
20210807D,0.367,15.58,0.26,81.24,16.69,2.38,0.14,0.75,0.01,-89.18,1.06,30.48,0.04,32.33,0.03,0.39,14.82,0.74,251.39,192.28,4.23,0.73,0.71,0.01,-89.53,1.08,30.73,0.06,31.99,0.05
20211127I,0.332,13.60,0.13,146.21,16.00,2.78,0.08,0.98,0.00,-85.20,9.96,58.79,0.03,53.65,0.03,0.322,12.70,0.33,494.87,169.76,4.60,0.32,0.99,0.01,-81.44,13.57,58.84,0.03,53.52,0.03
20211203C,0.642,24.64,0.26,3.94,0.74,0.67,0.33,0.78,0.15,-35.93,35.44,25.14,0.56,25.64,0.60,0.642,24.64,0.24,2.96,1.28,0.69,1.04,0.61,0.32,-32.91,36.47,25.03,0.59,25.53,0.72
20211212A,0.024,19.16,0.00,11.90,0.05,0.67,0.01,0.85,0.00,-72.45,0.74,34.51,0.04,33.13,0.03,0.025,19.16,0.00,11.43,0.05,0.68,0.01,0.84,0.00,-72.59,0.75,34.64,0.04,33.01,0.03
