FRB,chi2nu_nopsf,mag_nopsf,mag_err_nopsf,re_nopsf,re_err_nopsf,n_nopsf,n_err_nopsf,b_a_nopsf,b_a_err_nopsf,pa_nopsf,pa_err_nopsf,x_nopsf,x_err_nopsf,y_nopsf,y_err_nopsf,chi2nu_psf,mag_psf,mag_err_psf,re_psf,re_err_psf,n_psf,n_err_psf,b_a_psf,b_a_err_psf,pa_psf,pa_err_psf,x_psf,x_err_psf,y_psf,y_err_psf
20171020A,170259169.045,15.14,0.01,46.08,0.17,0.54,0.00,0.40,0.00,-50.91,0.11,65.49,0.08,68.16,0.07,170368836.361,15.14,0.01,45.89,0.18,0.54,0.00,0.39,0.00,-50.88,0.11,65.49,0.08,67.98,0.07
20180924B,0.835,22.97,0.01,4.31,0.03,1.00,[0.00],0.83,0.01,-21.15,1.41,28.52,0.01,28.49,0.01,0.862,23.12,0.00,2.40,0.03,1.00,[0.00],0.65,0.01,-23.54,1.32,28.49,0.01,28.25,0.02
20190102C,0.798,23.97,0.02,6.35,0.16,1.00,[0.00],0.71,0.02,2.01,2.36,23.50,0.05,23.45,0.07,0.742,24.14,0.01,3.77,0.14,1.00,[0.00],0.40,0.03,4.53,2.08,23.31,0.05,23.34,0.07
20190608B,1.377,20.21,0.00,6.62,0.02,1.00,[0.00],0.80,0.00,-29.34,0.46,41.54,0.01,34.45,0.01,2.219,20.33,0.00,4.94,0.02,1.00,[0.00],0.68,0.00,-28.49,0.51,41.43,0.01,34.48,0.01
20190714A,0.863,22.42,0.02,5.74,0.11,1.00,[0.00],0.60,0.01,-46.70,1.19,15.52,0.04,17.69,0.03,0.717,22.56,0.01,4.15,0.09,1.00,[0.00],0.38,0.01,-46.75,0.96,15.44,0.04,17.53,0.03
20191001A,13.139,20.70,0.01,8.13,0.07,1.00,[0.00],0.62,0.00,-44.90,0.58,33.00,0.02,26.65,0.02,8.774,20.82,0.01,6.61,0.06,1.00,[0.00],0.52,0.00,-43.64,0.45,32.84,0.02,26.47,0.02
20200906A,1.011,22.39,0.01,7.67,0.06,1.00,[0.00],0.49,0.00,32.88,0.38,40.43,0.02,40.55,0.03,0.9,22.48,0.01,6.21,0.06,1.00,[0.00],0.32,0.00,32.76,0.33,40.38,0.02,40.39,0.03
20210320C,0.757,22.14,0.01,4.95,0.08,1.00,[0.00],0.83,0.01,-22.11,3.03,26.49,0.03,26.42,0.04,0.729,22.24,0.01,3.61,0.08,1.00,[0.00],0.70,0.02,-24.90,2.36,26.47,0.03,26.17,0.04
20210410D,0.921,23.88,0.03,5.56,0.15,1.00,[0.00],0.75,0.02,50.10,2.85,18.73,0.05,18.43,0.03,0.844,24.13,0.03,2.99,0.12,1.00,[0.00],0.14,0.09,45.00,2.07,18.52,0.05,18.30,0.04
20210807D,220181625.814,17.98,0.02,11.06,0.13,1.00,[0.00],0.98,0.01,-87.20,17.38,30.84,0.05,32.39,0.05,217383562.096,17.80,0.02,13.37,0.16,1.00,[0.00],0.70,0.01,-86.14,1.20,30.78,0.08,31.95,0.06
20211127I,848219501.68,16.18,0.01,17.05,0.09,1.00,[0.00],0.92,0.00,-52.98,2.54,58.80,0.03,53.76,0.03,982681086.052,16.27,0.01,15.50,0.10,1.00,[0.00],0.91,0.01,-53.05,2.47,58.81,0.04,53.57,0.03
20211203C,0.76,24.59,0.05,4.38,0.27,1.00,[0.00],0.71,0.04,-14.18,6.33,25.42,0.09,25.38,0.12,0.764,24.73,0.03,2.76,0.26,1.00,[0.00],0.42,0.08,-10.17,5.41,25.26,0.10,25.26,0.14
20211212A,12.765,18.89,0.01,14.23,0.09,1.00,[0.00],0.85,0.00,-55.14,0.93,34.53,0.02,33.98,0.02,14.855,18.97,0.01,13.01,0.09,1.00,[0.00],0.83,0.00,-56.14,0.98,34.64,0.03,33.81,0.02
20220207C,242891364.296,18.90,0.02,7.80,0.21,1.00,[0.00],0.84,0.02,-44.12,5.55,45.76,0.07,40.71,0.07,130395015.263,17.84,0.02,29.79,0.52,1.00,[0.00],0.21,0.00,43.74,0.31,45.58,0.17,40.98,0.18
20220307B,118817093.974,19.48,0.05,8.88,0.29,1.00,[0.00],0.75,0.02,81.58,4.05,25.54,0.13,21.41,0.10,116517862.264,19.71,0.03,6.30,0.26,1.00,[0.00],0.65,0.03,80.85,3.88,25.28,0.14,21.21,0.11
20220310F,0.76,23.24,0.01,6.36,0.12,1.00,[0.00],0.81,0.01,-60.22,3.32,50.57,0.05,50.54,0.04,0.76,23.37,0.01,4.30,0.12,1.00,[0.00],0.69,0.02,-61.41,3.08,50.41,0.06,50.33,0.05
20220319D,210158607.026,17.19,0.00,5.83,0.03,1.00,[0.00],0.94,0.00,67.69,2.62,75.77,0.01,75.52,0.01,266664770.73,17.45,0.00,3.24,0.03,1.00,[0.00],0.90,0.01,65.45,2.96,75.66,0.01,75.41,0.01
20220509G,153.02,19.26,0.01,6.81,0.07,1.00,[0.00],0.75,0.01,-61.68,1.10,78.41,0.03,39.38,0.03,167.822,19.08,0.01,11.12,0.14,1.00,[0.00],0.40,0.00,-60.59,0.47,76.05,0.07,38.44,0.04
20220825A,259595190.373,19.79,0.04,7.96,0.46,1.00,[0.00],0.73,0.04,43.58,6.63,39.89,0.16,39.72,0.16,259015598.311,19.91,0.04,5.89,0.44,1.00,[0.00],0.63,0.05,44.62,6.50,39.60,0.17,39.63,0.17
20220912A,302186225.954,19.31,0.03,7.45,0.22,1.00,[0.00],0.75,0.02,35.52,3.65,25.08,0.06,20.79,0.08,299588253.795,19.48,0.02,5.42,0.21,1.00,[0.00],0.64,0.03,36.35,3.44,24.83,0.07,20.88,0.09
20220914A,1.36,21.99,0.01,7.22,0.07,1.00,[0.00],0.80,0.01,-58.92,1.19,19.57,0.02,19.47,0.02,0.901,22.27,0.01,3.92,0.05,1.00,[0.00],0.49,0.01,-61.84,0.81,19.52,0.02,19.72,0.02
20220920A,1.627,20.44,0.00,8.91,0.04,1.00,[0.00],0.90,0.00,42.63,1.14,36.46,0.01,36.36,0.01,1.085,20.56,0.00,6.87,0.03,1.00,[0.00],0.86,0.00,47.17,0.91,36.45,0.01,36.53,0.01
20221012A,0.867,21.37,0.00,7.26,0.03,1.00,[0.00],0.72,0.00,8.75,0.44,41.55,0.01,51.47,0.02,0.794,21.51,0.00,4.98,0.03,1.00,[0.00],0.55,0.00,10.29,0.41,41.54,0.01,51.63,0.02
