filename,x,y,mag,r_e,n,axis_ratio,pa
20171020A_flux.fits,64.99288354153414,67.13410114208355,8.713165153573545,20.001557349188985,0.5,0.3824791745053728,36.267113330798765
20180924B_flux.fits,28.5,28.5,27.935192810210708,1.3376766140856846,0.5,0.8369466332916795,-79.53243398425005
20190102C_flux.fits,22.481334248865124,22.56097275890727,24.49132364803029,3.5919714138345973,0.5,0.7021393739919152,-86.69889372350842
20190608B_flux.fits,40.53981228768028,33.72677231844438,20.226218427949,5.812237636457336,1.0,0.9454177499920848,49.024918958024166
20190714A_flux.fits,14.437013174211192,16.72161283271248,22.84356864277936,3.3263758934683314,0.5,0.5973624656122354,44.02203628001601
20191001A_flux.fits,31.702417986354487,25.48537241912286,20.99812974670956,5.236566500217514,0.5,0.6996843918732215,54.7825249952576
20200906A_flux.fits,39.88154714430533,39.03387663077634,22.63242777272296,4.451110010836288,0.5,0.5026933379085239,-57.24479354890222
20210320C_flux.fits,25.526258484154013,25.30554147529439,22.50030396079996,3.420161315356743,0.5,0.8040490003350711,65.75067701421946
20210410D_flux.fits,17.886149029471483,17.583149676117554,24.53628264886564,2.916096777001765,0.5,0.7374384724339909,-45.84573729442114
20210807D_flux.fits,33.0,30.5,11.305300002753595,5.280581444629427,0.5,0.6662478660406256,30.36216580475768
20211127I_flux.fits,57.78443484908263,53.08476739178487,9.32292472513341,8.949676557900721,0.5,0.7112375805397192,57.54994495630281
20211203C_flux.fits,24.457465374973665,24.39403662113613,25.56055178095436,1.695128960759128,1.0,0.621900168001145,78.63930400813797
20211212A_flux.fits,33.46014994512002,32.12060416364115,19.36247005315167,9.526289449503633,0.5,0.8108028905743884,24.538681289982705
20220207C_flux.fits,45.5,40.5,11.38768339197631,10.180281939256586,1.0,0.2597651987163172,-46.14286395055231
20220307B_flux.fits,23.5,19.5,14.0807743014589,2.1607392218921047,1.0,0.2564921653067278,1.6269761718790678
20220310F_flux.fits,49.362310113083446,49.57405900525792,23.701341721562017,3.931402540922769,0.5,0.7854624615965928,20.066355051631927
20220319D_flux.fits,73.0,72.5,9.84761174830103,7.488301810242855,1.0,0.8571943409392327,-33.42152878579324
20220509G_flux.fits,60.5,34.5,27.550804032296966,0.8289386627587451,2.5,0.353979618272215,-44.53022274004402
20220825A_flux.fits,38.67856634928748,39.20556047913821,14.297197407587706,2.5711250300932096,0.5,0.9532746378083704,33.388490912170504
20220912A_flux.fits,23.5,20.5,14.261674173618324,1.675578590492076,0.5,0.7555099335113301,13.299752383632194
20220914A_flux.fits,18.658893917806274,18.40497323332195,22.42378877439896,4.56280087262314,0.5,0.7925184210001138,32.41643553123427
20220920A_flux.fits,35.26878514291631,35.45698284287003,20.680209524574305,6.764954059674434,0.5,0.9082862671389308,-48.981106700341485
20221012A_flux.fits,40.41448835576385,50.47548178001956,21.551283620310866,5.21115491857762,0.5,0.6870503357726072,-77.59335808878548
