frb_name,moffat_alpha,moffat_gamma,moffat_fwhm,max_frac_resid_pct
20171020A,2.9408967369935106,3.713607385088302,3.8290513457508117,7.816217342666194
20180924B,3.2553247170989645,3.974250158590224,3.8719442897371716,2.886813986007153
20190102C,4.246082657736861,6.632792469544701,5.586116054352036,2.2835867327896575
20190608B,3.547052716858249,5.001550600407984,4.647034324474598,2.1112443722189225
20190714A,3.4671409356826635,3.7683115280954365,3.5454486532149523,2.5805680654798273
20191001A,3.8395019586343544,4.333453286584527,3.8550946670971333,2.0737125706806356
20200906A,3.379284387304558,3.8972937550587545,3.7191549886830244,2.8001418254163317
20210320C,3.7379865517063493,3.9050818788388884,3.5253171361302313,4.771939326724702
20210410D,4.035818706795123,6.32953551285666,5.479777935600284,3.1201277800155514
20210807D,2.9988782772311136,4.333322422978486,4.419393561568605,4.611737639477566
20211127I,3.4503371241310883,5.2818989101147285,4.9828602733299165,3.1390163664889754
20211203C,3.25975084179786,3.7187039505428405,3.6202449554546052,2.1251027208859887
20211212A,3.4225996956237186,4.674034553889234,4.429104823697154,1.8882116189700162
20220207C,2.468371100555506,3.8896452841034117,4.429444090672278,5.964579175895823
20220307B,2.9138748120484386,4.523573923936661,4.688436134169896,2.2847579218167264
20220310F,3.5143541181476747,5.2986089271282415,4.9482086632459525,2.558703567357498
20220319D,2.98064320768952,4.160667709603708,4.257832622129651,3.0231707033359148
20220509G,4.058623006781611,6.8791721198555225,5.937395766133016,5.513965304832914
20220825A,2.553847436922619,3.750659310351424,4.188777081808634,2.504013877504801
20220912A,2.8838467950882203,3.86605161110728,4.030351703489477,2.7419556573016415
20220914A,4.86073152974284,8.599847056143597,6.733631494753116,6.724472616295553
20220920A,4.508866014004703,6.916919023464022,5.639317409210609,5.761351054539639
20221012A,4.917961268980656,7.565141369013063,5.886396393270531,6.787858183656607
