Galaxy,Stage,Original_n,New_n,Original_ba,New_ba,Original_Chi2nu,New_Chi2nu,Chi2_Change_Pct
20171020A,no_psf,0.55,1.0,0.4,0.94,0.374,1.579,322.19251336898395
20171020A,with_psf,0.56,1.0,0.39,0.38,0.374,0.431,15.240641711229944
20180924B,no_psf,0.83,1.0,0.92,0.94,0.296,0.296,0.0
20180924B,with_psf,1.12,1.0,0.89,0.84,0.296,0.296,0.0
20190102C,no_psf,1.0,1.0,0.87,0.87,0.338,0.338,0.0
20190102C,with_psf,1.0,1.0,0.26,0.26,0.338,0.338,0.0
20190608B,no_psf,1.24,1.0,0.87,0.87,0.369,0.37,0.2710027100271005
20190608B,with_psf,1.97,1.0,0.84,0.85,0.369,0.375,1.6260162601626031
20190714A,no_psf,0.65,1.0,0.61,0.64,0.514,0.516,0.3891050583657591
20190714A,with_psf,0.78,1.0,0.4,0.38,0.513,0.513,0.0
20191001A,no_psf,0.62,1.0,0.72,0.77,0.126,0.134,6.349206349206355
20191001A,with_psf,0.57,1.0,0.62,0.7,0.126,0.129,2.380952380952383
20200906A,no_psf,1.0,1.0,0.49,0.49,0.569,0.569,0.0
20200906A,with_psf,1.0,1.0,0.29,0.29,0.568,0.568,0.0
20210320C,no_psf,0.81,1.0,0.84,0.84,0.653,0.654,0.1531393568147015
20210320C,with_psf,1.06,1.0,0.72,0.72,0.653,0.653,0.0
20210410D,no_psf,0.62,1.0,0.58,0.58,0.17,0.171,0.5882352941176475
20210410D,with_psf,1.71,1.0,0.13,0.05,0.17,0.169,-0.5882352941176475
20210807D,no_psf,2.38,1.0,0.75,0.73,0.367,0.428,16.62125340599455
20210807D,with_psf,4.23,1.0,0.71,0.7,0.39,0.483,23.84615384615384
20211127I,no_psf,1.0,1.0,0.94,0.94,0.471,0.471,0.0
20211127I,with_psf,1.0,1.0,0.93,0.93,0.507,0.507,0.0
20211203C,no_psf,0.67,1.0,0.78,0.77,0.642,0.642,0.0
20211203C,with_psf,0.69,1.0,0.61,0.58,0.642,0.642,0.0
20211212A,no_psf,0.67,1.0,0.85,0.86,0.024,0.028,16.666666666666668
20211212A,with_psf,0.68,1.0,0.84,0.85,0.025,0.027,7.999999999999994
20220207C,no_psf,1.0,1.0,0.26,0.26,0.866,0.866,0.0
20220207C,with_psf,1.0,1.0,0.21,0.21,0.846,0.846,0.0
20220307B,no_psf,0.61,1.0,0.74,0.75,0.853,0.871,2.1101992966002365
20220307B,with_psf,0.65,1.0,0.65,0.65,0.853,0.855,0.23446658851113739
20220310F,no_psf,0.5,1.0,0.73,0.62,0.449,0.449,0.0
20220310F,with_psf,0.5,1.0,0.5,0.39,0.449,0.449,0.0
20220319D,no_psf,2.44,1.0,0.87,0.93,0.962,1.306,35.758835758835765
20220319D,with_psf,6.0,1.0,0.77,0.88,0.926,1.573,69.8704103671706
20220509G,no_psf,0.66,0.66,0.95,0.95,0.043,0.043,0.0
20220509G,with_psf,2.59,2.38,0.97,1.0,0.044,0.044,0.0
20220825A,no_psf,0.65,1.0,0.72,0.72,1.115,1.118,0.2690582959641358
20220825A,with_psf,0.83,1.0,0.62,0.62,1.115,1.115,0.0
20220912A,no_psf,0.7,1.0,0.75,0.76,0.938,0.95,1.2793176972281461
20220912A,with_psf,0.77,1.0,0.65,0.65,0.941,0.942,0.10626992561105217
20220914A,no_psf,0.63,1.0,0.77,0.75,0.127,0.131,3.1496062992126013
20220914A,with_psf,1.05,1.0,0.53,0.53,0.125,0.125,0.0
20220920A,no_psf,0.8,1.0,0.89,0.88,0.177,0.179,1.12994350282486
20220920A,with_psf,1.01,1.0,0.86,0.86,0.177,0.177,0.0
20221012A,no_psf,0.71,1.0,0.67,0.64,0.371,0.373,0.539083557951483
20221012A,with_psf,0.99,1.0,0.54,0.54,0.372,0.371,-0.26881720430107553
