DE_ICRS,petroMag_r,rPrad,rdVrad,rdVell,umag,gmag,rmag,imag,zmag,<zph>,u_r,expAB_r
1.237159,18.808,1.706,0.39,0.413,20.675,19.401,18.816,18.622,18.47,0.1224,1.86,0.587
1.240047,21.54,1.677,0.745,0.05,24.294,23.698,21.385,20.461,20.132,0.5043,2.91,0.95
1.250444,17.824,4.0,4.108,0.769,20.035,18.61,17.778,17.354,17.091,0.1416,2.26,0.23099999999999998
1.245953,21.525,2.108,0.603,0.05,23.365,22.517,21.525,20.928,21.0,0.4892,1.84,0.95
1.2586,20.986,3.065,0.607,0.824,23.728,22.109,21.318,20.855,20.843,0.3613,2.41,0.17600000000000005
1.252848,21.69,1.927,0.772,0.232,26.355,22.992,21.719,20.845,20.525,0.5255,4.64,0.768
1.217832,20.634,1.392,0.31,0.54,21.65,21.042,20.62,20.341,20.465,0.2454,1.03,0.45999999999999996
1.219691,21.142,2.107,0.925,0.762,23.583,22.372,21.098,20.466,19.962,0.4346,2.48,0.238
1.218661,21.682,1.539,0.457,0.65,26.222,23.566,21.502,21.07,20.563,0.3855,4.72,0.35
1.216346,21.877,1.788,5.117,0.05,25.645,22.944,21.059,21.144,21.49,0.2855,4.59,0.95
1.215971,20.562,2.356,1.706,0.529,23.119,21.523,20.467,20.068,20.178,0.3012,2.65,0.471
1.214829,21.168,1.794,0.401,0.75,25.27,22.842,21.191,20.573,20.195,0.3933,4.08,0.25
1.234053,21.751,1.927,0.856,0.454,23.16,22.12,21.532,21.481,21.88,0.1727,1.63,0.546
1.232616,20.271,3.8,0.309,0.775,22.262,21.238,20.78,20.413,20.396,0.2237,1.48,0.22499999999999998
1.231282,20.851,2.971,4.219,0.2,23.712,21.494,20.827,20.931,20.087,0.3088,2.88,0.8
1.240657,19.174,2.402,0.941,0.825,22.761,20.625,19.081,18.506,18.133,0.2965,3.68,0.17500000000000004
1.237149,15.47,24.268,20.759,0.814,17.103,15.49,15.031,14.754,14.593,0.0292,2.07,0.18600000000000005
1.241934,18.231,12.188,6.046,0.418,18.791,18.231,18.385,18.225,18.411,0.1365,0.41,0.5820000000000001
1.239498,21.604,1.566,0.768,0.486,21.793,21.305,21.474,21.826,23.175,0.1121,0.32,0.514
1.234248,21.891,1.42,0.342,0.624,22.407,22.082,21.796,21.571,22.827,0.154,0.61,0.376
1.239257,21.317,1.594,0.94,0.246,21.668,21.041,21.171,21.277,23.09,0.1118,0.5,0.754
1.246031,21.603,1.378,0.265,0.1,22.846,21.872,21.489,21.363,21.517,0.222,1.36,0.9
1.250715,20.789,1.711,1.107,0.239,21.911,21.165,20.617,20.364,20.55,0.2345,1.29,0.761
1.240497,21.429,1.431,0.676,0.05,22.52,22.364,21.279,21.006,21.042,0.4362,1.24,0.95
1.252929,21.417,3.522,0.504,0.2,23.289,21.965,21.637,21.115,21.491,0.249,1.65,0.8
1.232106,21.026,2.391,1.102,0.66,26.435,22.486,21.026,19.671,19.023,0.6578,5.41,0.33999999999999997
1.242211,20.843,1.873,0.748,0.833,22.512,21.875,20.8,20.311,19.817,0.4392,1.71,0.16700000000000004
1.254133,21.307,2.483,2.115,0.248,23.194,21.687,21.205,21.1,23.112,0.1435,1.99,0.752
1.266494,21.83,2.572,1.283,0.05,24.132,22.439,21.672,21.077,21.312,0.3769,2.46,0.95
1.255875,20.877,2.97,2.172,0.235,22.949,21.943,20.789,20.56,19.893,0.3895,2.16,0.765
1.254236,20.468,1.647,0.444,0.502,23.654,21.432,20.437,19.967,19.705,0.2757,3.22,0.498
1.272097,21.226,1.823,0.59,0.064,22.901,22.633,21.24,20.68,20.542,0.4275,1.66,0.9359999999999999
1.280306,21.035,11.308,1.099,0.741,25.455,22.894,21.617,21.71,21.389,0.3436,3.84,0.259
1.275812,21.466,2.97,3.404,0.053,23.31,24.103,21.285,20.531,19.764,0.5016,2.02,0.947
1.253567,20.185,1.851,0.49,0.964,21.68,20.853,20.102,19.73,19.442,0.2897,1.58,0.03600000000000003
1.256928,21.61,1.732,0.663,0.25,22.727,21.703,21.538,21.06,20.798,0.4271,1.19,0.75
1.268744,21.88,2.97,2.85,0.058,25.567,22.883,21.473,20.597,19.976,0.5262,4.09,0.942
1.264224,21.706,1.574,0.539,0.05,24.026,23.464,22.023,20.795,20.168,0.645,2.0,0.95
