FRB,status,q0,b_a_photutils,b_a_err_photutils,inc_photutils,inc_err_photutils,pa_photutils,pa_err_photutils,n_isophotes,sma_rep_pix,half_light_flux_proxy,fit_strategy_index,bkg_median,bkg_std,source_flux,source_sigma,b_a_psf,b_a_err_psf,inc_galfit,inc_err_galfit,chi2nu_psf,re_psf,delta_inc_phot_minus_galfit,delta_inc_galfit_minus_photutils,delta_ba_phot_minus_galfit,pix_scale_arcsec,re_psf_arcsec,sma_rep_arcsec
20171020A,ok,0.2,0.4043989734405206,0.0190266281292425,68.97788501978114,1.3721658510305446,31.566520345287124,1.3683325578615908,37,36.33477944859848,2007289.0220069883,0,107.03144073486328,208.05893899347967,cropped_host_galaxies\20171020A_flux.fits,cropped_host_galaxies\20171020A_sigma.fits,0.39,0.0,70.01845342807734,0.0,170368836.361,45.89,-1.0405684082961955,1.0405684082961955,0.014398973440520602,0.2500000060535957,11.472500277799506,9.083695082105685
20180924B,ok,0.2,0.8576244173283294,0.0102781753428807,31.660252429870145,1.1782938315142424,2031.2073559322528,2.3753577605128973,22,4.686316272946423,3.3585624074827365,2,0.0005466097791213,0.0019953109551401,cropped_host_galaxies\20180924B_flux.fits,cropped_host_galaxies\20180924B_sigma.fits,0.65,0.01,50.859880152894384,0.7924787877731667,0.862,2.4,-19.19962772302424,19.19962772302424,0.20762441732832937,0.26200000000000007,0.6288000000000001,1.2278148635119632
20190102C,ok,0.2,0.7604022760718823,0.0430895269683692,41.51717668292915,3.9552269001308673,96.10143904353954,5.74804986878108,24,5.627694330935504,1.0114767403355245,0,0.0002204474003519,0.0020770187598406,cropped_host_galaxies\20190102C_flux.fits,cropped_host_galaxies\20190102C_sigma.fits,0.4,0.03,69.29518894536457,2.1686647089571025,0.742,3.77,-27.778012262435425,27.778012262435425,0.36040227607188224,0.26200000000000007,0.9877400000000003,1.4744559147051024
20190608B,ok,0.2,0.8407957327076734,0.007509810455669,33.539764561538696,0.8185282207151481,65.81084243771302,1.5327228897674336,30,7.054607419351875,43.288902209356365,0,0.0024727206910029,0.0051377102973191,cropped_host_galaxies\20190608B_flux.fits,cropped_host_galaxies\20190608B_sigma.fits,0.68,0.0,48.446051289673186,0.0,2.219,4.94,-14.90628672813449,14.90628672813449,0.16079573270767333,0.26200000000000007,1.2942800000000003,1.8483071438701917
20190714A,ok,0.2,0.5858509870520257,0.0140111727602872,55.8050607030794,1.054055061543405,41.29964992609642,1.235771345660361,35,4.973317016238418,4.2351837489459285,1,0.0012340757530182,0.0069481944748495,cropped_host_galaxies\20190714A_flux.fits,cropped_host_galaxies\20190714A_sigma.fits,0.38,0.01,70.74502320571644,0.7286293428770634,0.717,4.15,-14.939962502637037,14.939962502637037,0.20585098705202565,0.26200000000000007,1.0873000000000004,1.303009058254466
20191001A,ok,0.2,0.538829555309762,0.0185128970627313,59.29256504393261,1.356356837978712,41.954691870339154,1.6682038376671102,23,7.5415255715228815,20.54603939970548,0,0.0013108325656503,0.0030249999046142,cropped_host_galaxies\20191001A_flux.fits,cropped_host_galaxies\20191001A_sigma.fits,0.52,0.0,60.666125748797135,0.0,8.774,6.61,-1.3735607048645235,1.3735607048645235,0.018829555309761936,0.26200000000000007,1.7318200000000006,1.9758796997389954
20200906A,ok,0.2,0.7913933151378713,0.030422576216954,38.602441994796514,2.954462648403709,90.0,4.79985573322605,98,5.612130065847889,4.90078211224818,12,0.0002784325770335,0.002498546047184,cropped_host_galaxies\20200906A_flux.fits,cropped_host_galaxies\20200906A_sigma.fits,0.32,0.0,75.2293197499286,0.0,0.9,6.21,-36.62687775513209,36.62687775513209,0.47139331513787125,0.26200000000000007,1.6270200000000004,1.4703780772521473
20210320C,ok,0.2,0.8724019860189336,0.0324988034211141,29.925153964108745,3.944915275573944,1674.4430392266524,8.393478014785362,21,4.274054414530942,6.104023688589223,2,0.0013271883362904,0.0083361753746062,cropped_host_galaxies\20210320C_flux.fits,cropped_host_galaxies\20210320C_sigma.fits,0.7,0.02,46.79166084923599,1.6752790734891718,0.729,3.61,-16.866506885127244,16.866506885127244,0.17240198601893364,0.26200000000000007,0.9458200000000002,1.119802256607107
20210410D,ok,0.2,0.8496709530514708,0.0422335346797095,32.56029427075322,4.767333820613093,150.25185377508632,8.751845988488357,29,4.196899922084834,0.9574148678266284,1,0.0017895582132041,0.002796699665692,cropped_host_galaxies\20210410D_flux.fits,cropped_host_galaxies\20210410D_sigma.fits,0.14,0.09,90.0,3.328352704757691,0.844,2.99,-57.43970572924678,57.43970572924678,0.7096709530514708,0.26200000000000007,0.7833800000000003,1.099587779586227
20210807D,ok,0.2,0.6864021440867498,0.0277830336333529,47.920701820374816,2.290373523254342,26.075732007631288,3.082493459003693,27,13.263647637526567,300554.9432026148,0,163.08346557617188,215.8991003414492,cropped_host_galaxies\20210807D_flux.fits,cropped_host_galaxies\20210807D_sigma.fits,0.7,0.01,46.79166084923599,0.8373098837340436,217383562.096,13.37,1.1290409711388278,-1.1290409711388278,-0.013597855913250134,0.2500000060535957,3.342500080936574,3.315911989674402
