FRB,Avg_FWHM,PSFEx_Avg_FWHM,Delta_Avg_FWHM_PSFEx_minus_ePSF,ePSF_moffat_fwhm,PSFEx_moffat_fwhm,Delta_moffat_fwhm_PSFEx_minus_ePSF,ePSF_exp_minus_moffat_fwhm,PSFEx_exp_minus_moffat_fwhm,ePSF_exp_over_moffat_fwhm_ratio,PSFEx_exp_over_moffat_fwhm_ratio,Abs_ePSF_exp_minus_moffat_fwhm,Abs_PSFEx_exp_minus_moffat_fwhm,ePSF_max_frac_resid_pct,PSFEx_max_frac_resid_pct,Delta_fit_resid_pct_PSFEx_minus_ePSF,Better_Moffat_Fit_by_MaxFracResid,Better_ExpVsMoffat_Agreement
20171020A,4.752391529795353,4.164104683229858,-0.5882868465654951,3.7586748934103396,3.4905529454502853,-0.2681219479600543,0.9937166363850132,0.6735517377795723,1.2643795126115283,1.1929641945862772,0.9937166363850132,0.6735517377795723,8.249813492244812,3.9471095491683768,-4.302703943076435,PSFEx,PSFEx
20180924B,4.742450688099816,4.567086240801062,-0.17536444729875367,3.866898505062569,3.9677969055023725,0.10089840043980347,0.875552183037247,0.5992893352986899,1.2264223335293047,1.151038309059524,0.875552183037247,0.5992893352986899,2.927817874784827,3.121973220749449,0.19415534596462214,ePSF,PSFEx
20190102C,6.029242417862701,5.777284918044817,-0.25195749981788396,5.573083644635058,5.5163141173405235,-0.05676952729453433,0.4561587732276431,0.26097080070429346,1.0818503367820014,1.0473089086576728,0.4561587732276431,0.26097080070429346,2.2877085178070447,2.475654740607988,0.1879462228009432,ePSF,PSFEx
20190608B,5.173320564838028,5.240970558537983,0.06764999369995461,4.62433635121459,4.758028523703,0.13369217248840926,0.548984213623438,0.4829420348349833,1.1187163242308804,1.1015004496986762,0.548984213623438,0.4829420348349833,2.2999409950391976,3.335955677547627,1.0360146825084295,ePSF,PSFEx
20190714A,4.3903064783546455,4.158322159733769,-0.2319843186208761,3.5323830685890036,3.564585442862014,0.032202374273010204,0.8579234097656419,0.5937367168717556,1.2428738313787513,1.16656543275199,0.8579234097656419,0.5937367168717556,2.66464010834406,3.519427964789544,0.8547878564454843,ePSF,PSFEx
20191001A,4.540354472117182,4.37853497350536,-0.16181949861182154,3.848682220153243,3.7593209891065125,-0.08936123104673044,0.6916722519639387,0.6192139843988476,1.1797166438793167,1.1647143157482855,0.6916722519639387,0.6192139843988476,2.1339294259706043,3.0629930249058774,0.9290635989352731,ePSF,PSFEx
20200906A,4.5529773466644015,4.525796830281459,-0.027180516382942166,3.7035331208110023,3.866504836600874,0.16297171578987157,0.8494442258533992,0.6592919936805854,1.229360504724577,1.170513686531473,0.8494442258533992,0.6592919936805854,3.16785217833578,4.096906429962073,0.929054251626293,ePSF,PSFEx
20210320C,4.420745321392376,4.13387192696482,-0.2868733944275563,3.517670576894926,3.488402365407722,-0.02926821148720382,0.9030747444974501,0.6454695615570976,1.2567252176565666,1.1850330019145183,0.9030747444974501,0.6454695615570976,4.763766349202056,5.1983132521153825,0.4345469029133264,ePSF,PSFEx
20210410D,5.989429895410286,5.738633107068483,-0.25079678834180275,5.468673696444293,5.495962496086234,0.027288799641940642,0.5207561989659926,0.24267061098224918,1.0952253193136365,1.0441543426024211,0.5207561989659926,0.24267061098224918,3.2041358553536536,2.3773773686418074,-0.8267584867118463,PSFEx,PSFEx
20210807D,5.070256966016743,4.88980158919469,-0.18045537682205293,4.394681763250877,4.298216449040968,-0.096465314209909,0.6755752027658657,0.5915851401537218,1.1537256254628372,1.137635027730099,0.6755752027658657,0.5915851401537218,4.586468804791945,3.7149874122722317,-0.8714813925197133,PSFEx,PSFEx
