Number	FRB	Inclination angle (deg)	Bin #	SFR	log(sSFR)	Mass	z	DM_Host	Host m_r	Reference
1	20200906A	"63,59"	Bin 3	4.93	-9.43	1.33	0.3688	309	19.95	5
2	20210410D	"41,41"	Bin 1	0.03	-10.99	0.3	0.1415	468	20.65	5
3	20211127I	"21,26"	Bin1	35.83	-7.93	0.3	0.0469	171	14.97	5
4	20211203C	"7,11"	Bin 1	15.91	-8.56	0.58	0.3437	395	19.64	5
5	20211212A	"33,35"	Bin 1	0.73	-10.42	1.91	0.0707	127	16.44	5
6	20220310F	"39,41"	Bin 1	4.25	-9.43	0.93	0.478	22	20.72	15
7	20220914A	"45,46"	Bin 2	0.72	-9.62	0.3	0.1139	538	19.77	15
8	20220920A	"27,29"	Bin 1	4.1	-9.2	0.65	0.1582	170	18.16	15
9	20221012A	"45,46"	Bin 2	0.15	-11.81	9.77	0.2847	190	19.14	15
10	20171020A	"69,65"	Bin 3	0.09	-9.69	0.04	0.0087	83	14.97	47
11	20190714A	"51,50"	Bin 2	1.89	-9.94	1.66	0.2365	335	20.34	5
12	20220207C	"80,74"	Bin 4	1.16	-9.85	0.81	0.043	149	18.24	15
13	20220509G	"60,57"	Bin 3	0.23	-11.43	6.17	0.0894	154	17.73	15
14	20220825A	"46,46"	Bin 2	1.62	-9.74	0.89	0.2414	445	20.03	15
15	20220912A	"43,46"	Bin 2	2.5	-9.6	1	0.077	34	19.65	48
16	20220307B	"44,47"	Bin 2	2.71	-9.61	1.1	0.2481	126	19.93	15
17	20180924B	"34,36"	Bin 1	0.62	-10.6	2.45	0.3212	80	20.33	5
18	20190102C	"50,50"	Bin 2	0.4	-10.09	0.49	0.2909	94	20.77	5
19	20190608B	"37,36"	Bin 1	7.03	-9.71	3.63	0.1178	238	17.41	5
20	20191001A	"53,56"	Bin 2	18.28	-9.47	5.37	0.2342	340	18.36	5
21	20220319D	"25,37"	Bin 1	0.21	-10.84	1.45	0.0112	16	15.39	15
22	20210807D	"41,41"	Bin 1	0.63	-11.17	9.33	0.1293	66	17.17	5
23	20210320C	"28,27"	Bin 1	3.51	-9.82	2.34	0.2796	148	19.47	5
