frb,coord_semantics,survey,master_ra,master_dec,pipeline_output,galfit_in_results,pipeline_input_sep_as,galfit_host_sep_as,astropath_best_sep_as,astropath_P_O,galfit_host_ra,galfit_host_dec,astropath_best_ra,astropath_best_dec
20220105A,host,LS+PS1,208.80380337,22.46647857,True,True,0.00000000,0.01940834,0.02471913,0.98811696,208.80380243,22.46647325,208.80380585,22.46647210
20221219A,host,DSA-110,257.63000000,71.62700000,True,True,0.00000000,1.53916359,1.56153051,0.95288030,257.62954175,71.62659759,257.62956593,71.62658839
20240119A,host,DSA-110,224.46700000,71.61200000,True,True,0.00000000,4.86262314,4.91116563,0.31876464,224.47083962,71.61140217,224.47091050,71.61141747
20190523A,host,DSA-10,207.06400000,72.47100000,True,True,0.00000000,0.91469470,0.95396582,0.98547769,207.06429537,72.47076200,207.06432765,72.47075407
20250518,host,DSA-110,207.99200000,71.28200000,True,True,0.00000000,2.88592946,3.05057242,0.89635150,207.99431921,71.28229787,207.99448425,71.28228723
20240304B,host,MeerKAT,182.99700000,11.81300000,True,True,0.00000000,11.09340647,11.78839869,0.00000091,182.99822170,11.81584001,182.99388095,11.81181597
20220307B,host,DSA-110,350.87500000,72.19200000,True,True,0.75169166,0.72463089,0.74702147,0.99933556,350.87454743,72.19185385,350.87453437,72.19184907
20220912A,host,LS,347.27017404,48.70661827,True,True,0.00000000,0.01628424,0.00321905,0.99929951,347.27018036,48.70661652,347.27017513,48.70661880
20210117A,host,ASKAP,339.97945833,-16.15149167,True,False,0.88103346,,19.08637755,0.00000000,,,339.97402967,-16.15053316
20220204A,host,DSA-110,274.22800000,69.72200000,True,False,0.00000000,,47.61802470,0.72697236,,,274.23428675,69.70895357
20220506D,host,DSA-110,318.04500000,72.82700000,True,False,0.00000000,,,,,,,
20230501A,host,DSA-110,340.02700000,70.92200000,True,False,0.00000000,,,,,,,
20230521B,host,DSA-110,351.03600000,71.13800000,True,False,0.00000000,,,,,,,
20230814B,host,DSA-110,335.97600000,73.02600000,True,False,0.00000000,,,,,,,
20230913,host,DSA-110,305.03700000,70.79300000,True,False,0.00000000,,,,,,,
20240203,host,DSA-110,312.62100000,73.90000000,True,False,0.00000000,,,,,,,
20221116A,host,DSA-110,21.21100000,72.65400000,True,False,0.00000000,,5.00203898,0.97346488,,,21.21524991,72.65342986
