FRB,Coordinates,Host_galaxy_coordinates,Redshift,GTC_observable_2026-06-24
20220105A,13:55:12.81 +22:27:58.4,13 55 12.91 +22 27 59.3,0.278,Yes (2026-06-24 22:12:46 – 2026-06-25 00:27:46 UTC)
20221219A,17:10:31.20 +71:37:37.2,17 10 31.09 +71 37 35.8,0.554,Yes (2026-06-24 21:47:46 – 2026-06-25 02:47:46 UTC)
20240119A,14:57:52.08 +71:36:43.2,14 57 53.00 +71 36 41.0,0.37,Yes (2026-06-24 21:47:46 – 2026-06-25 00:37:46 UTC)
20190523A,13:48:15.36 +72:28:15.6,13 48 15.43 +72 28 14.7,0.66,Yes (2026-06-24 21:47:46 – 2026-06-24 23:17:46 UTC)
20250518,13:51:58.08 +71:16:55.2,13 51 58.64 +71 16 56.3,0.6392,Yes (2026-06-24 21:47:46 – 2026-06-24 23:37:46 UTC)
20240304B,12:11:59.28 +11:48:46.8,12 11 59.57 +11 48 57.0,2.148,Yes (2026-06-24 21:47:46 – 2026-06-24 22:22:46 UTC)
20220307B,23:23:30.00 +72:11:31.2,23 23 29.89 +72 11 30.7,0.2481,Yes (2026-06-25 03:52:46 – 2026-06-25 04:37:46 UTC)
20220912A,23:09:04.84 +48:42:23.8,23 09 04.84 +48 42 23.8,0.0771,Yes (2026-06-25 02:17:46 – 2026-06-25 04:37:46 UTC)
20210117A,22:39:55.07 -16:09:05.37,,0.214,No (no >=30 min window)
20220204A,18:16:54.72 +69:43:19.2,,0.4,Yes (2026-06-24 22:17:46 – 2026-06-25 04:12:46 UTC)
20220506D,21:12:10.80 +72:49:37.2,,0.3004,Yes (2026-06-25 01:47:46 – 2026-06-25 04:37:46 UTC)
20230501A,22:40:06.48 +70:55:19.2,,0.301,Yes (2026-06-25 02:52:46 – 2026-06-25 04:37:46 UTC)
20230521B,23:24:08.64 +71:08:16.8,,1.354,Yes (2026-06-25 03:42:46 – 2026-06-25 04:37:46 UTC)
20230814B,22:23:54.24 +73:01:33.6,,0.5535,Yes (2026-06-25 03:02:46 – 2026-06-25 04:37:46 UTC)
20230913,20:20:08.88 +70:47:34.8,20 20 09.31 +70 47 30.3,0.3024,Yes (2026-06-25 00:32:46 – 2026-06-25 04:37:46 UTC)
20240203,20:50:29.04 +73:54:00.0,20 50 29.08 +73 54 01.0,0.074,Yes (2026-06-25 01:42:46 – 2026-06-25 04:37:46 UTC)
20221116A,01:24:50.64 +72:39:14.4,01 24 51.66 +72 39 12.3,0.2764,No (airmass; no >=30 min window)
