cohort_id,frb,ra_deg,dec_deg,coord_semantics,selection_needs_imaging,selection_not_production_fitted,selection_gtc_visible,cutout_source,cutout_status,paired_cutout_on_disk,gtc_nights_pass,gtc_pass_fraction,preview_png,pipeline_trial_status,has_output_dir,has_fit_log,has_galfit_png,P_O_max,fit_disposition,fit_disposition_reason,exclude_from_production,pipeline_output_rel,notes,created_utc,updated_utc
gtc_jun2026_pipeline_trial,20210117A,339.9794583333333,-16.151491666666665,host,True,True,True,,on_disk,True,23,0.742,GTC data/visibility/preview_cutouts_1arcmin/20210117A_1arcmin.png,host_missing,True,False,False,6.924236244143479e-170,rejected_no_fit,no fit.log; Output folder deleted 2026-07-21 (see EXCLUDED_RUNS.md),True,,,2026-06-24 00:00:00 UTC,2026-06-24 16:56:11 UTC
gtc_jun2026_pipeline_trial,20210214G,6.930000000000001,-5.832222222222222,signal,True,True,True,,on_disk,True,17,0.548,GTC data/visibility/preview_cutouts_1arcmin/20210214G_1arcmin.png,complete,True,True,True,0.7143146602291265,accepted_production,accepted into 67-host production cohort 2026-07-21; mag via mag_final policy,False,pipeline_scripts/Output/20210214G_all,,2026-06-24 00:00:00 UTC,2026-06-24 16:56:11 UTC
gtc_jun2026_pipeline_trial,20210809C,271.15708333333333,1.3288888888888888,signal,True,True,True,,on_disk,True,31,1.0,GTC data/visibility/preview_cutouts_1arcmin/20210809C_1arcmin.png,host_missing,True,False,False,6.654028454705144e-17,rejected_no_fit,no fit.log; Output folder deleted 2026-07-21 (see EXCLUDED_RUNS.md),True,,,2026-06-24 00:00:00 UTC,2026-06-24 16:56:11 UTC
gtc_jun2026_pipeline_trial,20220204A,274.228,69.722,host,True,True,True,legacy,ok,True,31,1.0,GTC data/visibility/preview_cutouts_1arcmin/20220204A_1arcmin.png,partial,True,False,False,0.7269723602476265,rejected_no_fit,no fit.log; Output folder deleted 2026-07-21 (see EXCLUDED_RUNS.md),True,,Phase3a failed: lit host at cutout center is blank; nearest visible galaxy ~14 arcsec NE (RA 274.2315 Dec 69.7258). use_localization_host was set; AstroPath fallback irrelevant. Re-run at galaxy centroid or check legacy cutout WCS.,2026-06-24 00:00:00 UTC,2026-06-24 16:56:11 UTC
gtc_jun2026_pipeline_trial,20220506D,318.045,72.827,host,True,True,True,ps1,ok,True,31,1.0,GTC data/visibility/preview_cutouts_1arcmin/20220506D_1arcmin.png,host_missing,True,False,False,,rejected_no_fit,no fit.log; Output folder deleted 2026-07-21 (see EXCLUDED_RUNS.md),True,,Phase2 failed: only 1 PS1 cal star (need >=3). Phase3a: no SPREAD-qualified galaxy within 5 arcsec despite host flux peak 1.5 arcsec from lit coords. See GTC data/pipeline_trial/diagnostics/20220506D_host_zoom.png,2026-06-24 00:00:00 UTC,2026-06-24 16:56:11 UTC
gtc_jun2026_pipeline_trial,20221116A,21.211,72.654,host,True,True,True,ps1,ok,True,8,0.258,GTC data/visibility/preview_cutouts_1arcmin/20221116A_1arcmin.png,complete,True,True,True,0.9734648818289284,accepted_production,accepted into 67-host production cohort 2026-07-21; mag via mag_final policy,False,pipeline_scripts/Output/20221116A_all,PHOTOMETRY PROBLEMATIC: zp_aper=29.89 (std 51.8) with only 3 cal stars; zero point clearly wrong.,2026-06-24 00:00:00 UTC,2026-06-24 16:56:11 UTC
gtc_jun2026_pipeline_trial,20230501A,340.027,70.922,host,True,True,True,ps1,ok,True,31,1.0,GTC data/visibility/preview_cutouts_1arcmin/20230501A_1arcmin.png,host_missing,True,False,False,,rejected_no_fit,no fit.log; Output folder deleted 2026-07-21 (see EXCLUDED_RUNS.md),True,,,2026-06-24 00:00:00 UTC,2026-06-24 16:56:11 UTC
gtc_jun2026_pipeline_trial,20230521A,327.75125,-2.386111111111111,signal,True,True,True,,on_disk,True,26,0.839,GTC data/visibility/preview_cutouts_1arcmin/20230521A_1arcmin.png,host_missing,True,False,False,1.0677330276588414e-26,rejected_no_fit,no fit.log; Output folder deleted 2026-07-21 (see EXCLUDED_RUNS.md),True,,,2026-06-24 00:00:00 UTC,2026-06-24 16:56:11 UTC
gtc_jun2026_pipeline_trial,20230521B,351.036,71.138,host,True,True,True,,ok,True,31,1.0,GTC data/visibility/preview_cutouts_1arcmin/20230521B_1arcmin.png,host_missing,True,False,False,,rejected_no_fit,no fit.log; Output folder deleted 2026-07-21 (see EXCLUDED_RUNS.md),True,,,2026-06-24 00:00:00 UTC,2026-06-24 16:56:11 UTC
gtc_jun2026_pipeline_trial,20230814B,335.976,73.026,host,True,True,True,ps1,ok,True,31,1.0,GTC data/visibility/preview_cutouts_1arcmin/20230814B_1arcmin.png,host_missing,True,False,False,,rejected_no_fit,no fit.log; Output folder deleted 2026-07-21 (see EXCLUDED_RUNS.md),True,,,2026-06-24 00:00:00 UTC,2026-06-24 16:56:11 UTC
