frb,lit_P_host,survey,sharma_nature_ref,in_cohort_46
20240304B,0.975,MeerKAT,False,True
20230521B,0.968,DSA-110,False,True
20240104A,0.99,DSA-110,False,True
20220610A,1.0,ASKAP,False,False
20221029A,0.92,DSA-110,True,True
20240123A,0.998,DSA-110,True,True
20220222C,0.944,MeerKAT,False,True
20190523A,0.8407,DSA-10,False,True
20250518,0.99,DSA-110,False,True
20220224C,0.938,MeerKAT,False,True
20220418A,0.974,DSA-110,True,True
20190614D,0.99,RealFast,False,True
20221219A,0.996,DSA-110,True,True
20230814B,0.996,DSA-110,False,True
20190711A,1.0,ASKAP,False,False
20220918A,0.9965,ASKAP,False,False
20220310F,0.97,DSA-110,True,False
20231020B,0.998,MeerKAT,False,True
20230907D,0.942,MeerKAT,False,True
20230712A,0.995,DSA-110,True,True
20220204A,0.994,DSA-110,True,True
20230613A,0.999,MeerKAT,False,True
20220501C,1.0,ASKAP,False,False
20190611B,1.0,ASKAP,False,False
20240119A,0.984,DSA-110,False,True
20200906A,1.0,ASKAP,False,False
20220717A,0.97,MeerKAT,False,True
20230902A,1.0,ASKAP,False,False
20220726A,0.994,DSA-110,True,True
20211203C,1.0,ASKAP,True,False
20231220A,0.996,DSA-110,True,True
20180301A,1.0,RealFAST,False,True
20230626A,0.999,DSA-110,True,True
20230125D,0.9996,MeerKAT,False,True
20180924B,1.0,ASKAP,False,False
20230913,0.94,DSA-110,False,True
20230501A,0.993,DSA-110,True,True
20220506D,0.991,DSA-110,True,True
20190102C,1.0,ASKAP,False,False
20240229A,0.997,DSA-110,False,True
20221012A,0.996,DSA-110,True,False
20210320C,1.0,ASKAP,False,False
20220105A,1.0,ASKAP,False,False
20221116A,0.943,DSA-110,True,True
20230307A,0.968,DSA-110,True,True
20231123B,0.908,DSA-110,True,True
20221113A,0.995,DSA-110,True,True
20220307B,0.983,DSA-110,True,False
20191228A,1.0,ASKAP,False,False
20220825A,0.993,DSA-110,True,False
20221101B,0.987,DSA-110,True,True
20190714A,1.0,ASKAP,False,False
20191001A,0.9995,ASKAP,False,False
20240215A,0.998,DSA-110,False,True
20221106A,0.9446,ASKAP,False,False
20121102A,1.0,VLBI,False,True
20220725A,1.0,ASKAP,False,False
20220529A,0.987,CHIME,False,False
20210603A,0.999,CHIME,False,False
20200430A,1.0,ASKAP,False,False
20220920A,0.985,DSA-110,True,False
20230526A,1.0,ASKAP,False,False
20231226A,1.0,ASKAP,False,False
20210410D,0.9957,MeerKAT,False,False
20240209A,0.99,CHIME,False,False
20210807D,0.999,ASKAP,False,False
20240310A,0.9884,ASKAP,False,False
20230628A,0.953,DSA-110,True,True
20240213A,0.995,DSA-110,False,True
20190608B,1.0,ASKAP,False,False
20220914A,0.974,DSA-110,True,False
20201124A,0.95,DSA-110,False,True
20230124A,0.999,DSA-110,True,True
20230930A,0.9994,RealFAST,False,True
20220509G,0.97,DSA-110,True,False
20220912A,0.95,DSA-110,False,False
20240203,0.996,DSA-110,False,True
20211212A,1.0,ASKAP,False,False
20231120A,0.987,DSA-110,True,True
20231204A,0.976,CHIME,False,False
20201123A,0.915,MeerKAT,False,True
20211127I,0.9998,ASKAP,False,False
20220207C,0.97,DSA-110,True,False
20240201A,1.0,ASKAP,False,False
20180916B,1.0,CHIME,False,False
20240210A,1.0,ASKAP,False,False
20171020A,0.98,ASKAP,False,False
20231025B,0.925,CHIME,False,False
20231017A,0.918,CHIME,False,False
20230730A,0.952,CHIME,False,False
20230203A,0.938,CHIME,False,False
20230222A,0.985,CHIME,False,False
20230703A,0.973,CHIME,False,False
20231201A,0.911,CHIME,False,False
20230222B,0.981,CHIME,False,False
20231128A,0.985,CHIME,False,False
20231223C,0.953,CHIME,False,False
20231011A,0.9913,CHIME,False,False
20231123A,0.9559,CHIME,False,False
20190418A,0.92,CHIME,False,False
20231005A,0.985,CHIME,False,False
20231206A,0.989,CHIME,False,False
20200223B,0.994,CHIME,False,False
20230926A,0.996,CHIME,False,False
20181223C,0.96,CHIME,False,False
20231230A,0.918,CHIME,False,False
20181220A,0.99,CHIME,False,False
20231229A,0.998,CHIME,False,False
20181030A,0.9975,CHIME,False,False
