frb,ra_deg,dec_deg,ra_hms,dec_dms,coord_semantics,xmin,xmax,ymin,ymax,survey,ra_err_as,dec_err_as,major_sigma_as,minor_sigma_as,pa_deg,z,DM,DM_MW,DM_exgal,status,repeater,repeater_source
20181112A,327.3484583333333,-52.97094444444445,21:49:23.63,-52:58:15.4,signal,,,,,LS,3.8,2.4,,,,0.476,589.0,,,pending,,
20191228A,344.43054166666667,-29.59411111111111,22:57:43.33,-29:35:38.8,signal,,,,,LS+PS1,0.78,0.82,0.84,0.76,-29.3,0.243,297.5,32.85,264.65,not suitable for study,,
20200627A,326.6958333333333,-39.484722222222224,21:46:47.0,-39:29:05.0,signal,,,,,LS,,,,,,,294.0,,,pending,,
20210117A,339.9794583333333,-16.151491666666665,22:39:55.07,-16:09:05.37,host,,,,,ASKAP,0.13,0.12,0.13,0.12,0,0.214,729.0,,,pending,no,"Bhandari et al. 2023, ApJ 866, 99 (doi:10.3847/1538-4357/acc178)"
20210214G,6.930000000000001,-5.832222222222222,00:27:43.2,-05:49:56,signal,,,,,LS,,,,,,,398.3,,,pending,,
20210407E,78.65095833333334,27.05825,05:14:36.23,+27:03:29.7,signal,,,,,PS1,0.7,0.76,0.89,0.53,-39.6,,1785.3,,,pending,,
20210809C,271.15708333333333,1.3288888888888888,18:04:37.7,01:19:44,signal,,,,,unsure,,,,,,,651.5,,,pending,,
20210912A,350.7935,-30.405583333333333,23:23:10.44,-30:24:20.1,signal,,,,,LS+PS1,0.44,0.43,0.44,0.43,66.2,,1234.5,,,pending,,
20220501C,352.37916666666666,-32.490722222222225,23:29:31.00,-32:29:26.6,signal,,,,,LS,0.42,0.42,0.42,0.42,66.8,0.381,449.5,30.61,418.89,pending,,
20220531A,294.70916666666665,-60.29666666666667,19:38:50.2,-60:17:48,signal,,,,,LS,,,,,,,727.0,,,pending,,
20220610A,351.073,-33.514,23:24:17.52,-33:30:50.4,host,,,,,ASKAP,0.44,0.44,0.45,0.43,-53.6,1.016,1457.62,30.94,1426.68,pending,no,"Ryder et al. 2023, Science 382, 294 (doi:10.1126/science.adf2678)"
20220918A,17.592125000000003,-70.81138888888889,01:10:22.11,-70:48:41.0,signal,,,,,LS,0.43,0.45,0.46,0.43,-20.4,0.491,656.8,40.75,616.05,pending,,
20230521A,327.75125,-2.386111111111111,21:51:00.3,-02:23:10,signal,,,,,LS+PS1,,,,,,,640.2,,,pending,,
20230718A,128.16191666666666,-40.45194444444445,08:32:38.86,-40:27:07.0,signal,,,,,unsure,0.6,0.61,0.61,0.6,-20.4,0.035,477.0,,,can't find their images for now we'll work on them later,,
20230731A,174.60145833333334,-56.79905555555556,11:38:24.35,-56:47:56.6,signal,,,,,unsure,0.55,0.56,0.56,0.55,-42.6,,701.1,,,can't find their images for now we'll work on them later,,
20231006A,296.0033333333334,-64.64888888888889,19:44:00.8,-64:38:56,signal,,,,,LS,,,,,,,509.7,,,pending,,
20230521B,351.036,71.138,23:24:08.64,+71:08:16.8,host,,,,,DSA-110,,,,,,1.354,1342.9,138.75,1204.15,pending,no,"Connor et al. 2024, arXiv:2409.16952 (doi:10.48550/arXiv.2409.16952)"
20221029A,141.966,72.452,09:27:51.84,+72:27:07.2,host,,,,,DSA-110,,,,,,0.975,1391.05,43.91,1347.14,pending,no,"Sharma et al. 2024, Nature 635, 61 (doi:10.1038/s41586-024-08074-9)"
20240123A,68.263,71.945,04:33:03.12,+71:56:42.0,host,,,,,DSA-110,,,,,,0.968,1462.0,90.28,1371.72,pending,no,"Hussaini et al. 2025, ApJL 993, L27 (doi:10.3847/2041-8213/ae0a49)"
