obs_date,frb,ra_deg,dec_deg,coord_semantics,gate1_mechanical_pass,gate2_airmass_pass,gate3_moon_pass,gate4_dark_pass,gate5_dome_pass,duration_pass,rigorous_science_pass,obs_window_start_utc,obs_window_end_utc,best_start_utc,best_end_utc,min_airmass,min_moon_sep_deg,max_target_alt_deg,moon_illumination_frac,parallactic_angle_deg
2026-07-27,20180814A,65.733375,73.661306,host,True,False,True,True,True,False,False,2026-07-27 21:34:57,2026-07-28 05:01:25,,,,,,0.977,
2026-07-27,20180916B,29.501167,65.714722,host,True,True,True,True,True,True,True,2026-07-27 21:34:57,2026-07-28 05:01:25,2026-07-28 03:29:57,2026-07-28 04:59:57,1.388,104.44,46.1,0.98,-128.91
2026-07-27,20181030A,158.594,73.763767,host,True,False,True,True,True,False,False,2026-07-27 21:34:57,2026-07-28 05:01:25,,,,,,0.977,
2026-07-27,20190110C,249.318458,41.443389,host,True,True,True,True,True,True,True,2026-07-27 21:34:57,2026-07-28 05:01:25,2026-07-27 22:34:57,2026-07-28 01:14:57,1.186,80.51,57.5,0.975,100.83
2026-07-27,20190208A,283.546958,46.922686,host,True,True,True,True,True,True,True,2026-07-27 21:34:57,2026-07-28 05:01:25,2026-07-27 21:34:57,2026-07-28 03:34:57,1.069,69.31,69.24,0.976,146.23
2026-07-27,20190303A,207.999417,48.120567,host,True,True,True,True,True,True,True,2026-07-27 21:34:57,2026-07-28 05:01:25,2026-07-27 21:34:57,2026-07-27 22:29:57,1.371,109.8,46.81,0.973,97.52
2026-07-27,20190417A,294.77425,59.326861,host,True,True,True,True,True,True,True,2026-07-27 21:34:57,2026-07-28 05:01:25,2026-07-27 21:34:57,2026-07-28 04:04:57,1.165,79.11,59.15,0.976,170.47
2026-07-27,20190711A,329.419,-80.358,host,False,False,True,True,True,False,False,2026-07-27 21:34:57,2026-07-28 05:01:25,,,,,,0.977,
2026-07-27,20191106C,199.580125,42.999714,host,True,True,True,True,True,True,True,2026-07-27 21:34:57,2026-07-28 05:01:25,2026-07-27 21:34:57,2026-07-27 21:59:57,1.443,115.21,43.86,0.972,88.87
2026-07-27,20200120E,149.477973,68.816879,host,True,False,True,True,True,False,False,2026-07-27 21:34:57,2026-07-28 05:01:25,,,,,,0.977,
2026-07-27,20200223B,8.2695,28.831278,host,True,True,True,True,True,True,True,2026-07-27 21:34:57,2026-07-28 05:01:25,2026-07-28 01:44:57,2026-07-28 03:59:57,1.182,76.32,57.76,0.978,-81.07
2026-07-27,20201124A,77.014488,26.060536,host,True,False,True,True,True,False,False,2026-07-27 21:34:57,2026-07-28 05:01:25,,,,,,0.977,
2026-07-27,20220912A,347.270174,48.706618,host,True,True,True,True,True,True,True,2026-07-27 21:34:57,2026-07-28 05:01:25,2026-07-28 00:09:57,2026-07-28 04:59:57,1.11,76.86,64.3,0.978,-134.07
2026-07-27,20240114A,321.915979,4.329343,host,True,True,True,True,True,True,True,2026-07-27 21:34:57,2026-07-28 05:01:25,2026-07-27 23:24:57,2026-07-28 04:59:57,1.097,27.84,65.68,0.978,-0.6
2026-07-27,20240209A,289.85036,86.0609,host,True,False,True,True,True,False,False,2026-07-27 21:34:57,2026-07-28 05:01:25,,,,,,0.977,
2026-07-27,20251229A,310.346792,16.024039,host,True,True,True,True,True,True,True,2026-07-27 21:34:57,2026-07-28 05:01:25,2026-07-27 22:09:57,2026-07-28 00:34:57,1.176,35.4,58.27,0.974,-60.71
