obs_date,n_pass,n_targets,moon_illumination_frac
2026-07-04,8,16,0.775
2026-07-05,9,16,0.684
2026-07-06,8,16,0.583
2026-07-07,8,16,0.475
2026-07-08,8,16,0.365
2026-07-09,9,16,0.258
2026-07-10,9,16,0.162
2026-07-11,9,16,0.084
2026-07-12,9,16,0.029
2026-07-13,10,16,0.003
2026-07-14,10,16,0.007
2026-07-15,10,16,0.039
2026-07-16,10,16,0.097
2026-07-17,10,16,0.173
2026-07-18,10,16,0.263
2026-07-19,10,16,0.361
2026-07-20,10,16,0.461
2026-07-21,10,16,0.56
2026-07-22,10,16,0.654
2026-07-23,10,16,0.742
2026-07-24,10,16,0.82
2026-07-25,10,16,0.886
2026-07-26,10,16,0.939
2026-07-27,10,16,0.977
2026-07-28,9,16,0.997
2026-07-29,8,16,0.998
2026-07-30,8,16,0.98
2026-07-31,8,16,0.942
2026-08-01,8,16,0.885
2026-08-02,8,16,0.81
2026-08-03,8,16,0.719
2026-08-04,8,16,0.617
