FRB,RA_deg,DEC_deg,galfit_inc_psf_deg,match_found,objid,ra_ls,dec_ls,type_ls,flux_r_ls,sersic_ls_fit,shape_e1,shape_e2,shape_e1_ivar,shape_e2_ivar,sep_arcsec,n_candidates,ellipticity_abs,q_ls_from_e,shape_e1_sigma,shape_e2_sigma,ls_inc_deg,ls_inc_err_deg,delta_deg_ls_minus_galfit,re_psf_arcsec,shape_r_ls_arcsec,sep_arcsec_reff,tractor_objid_reff,delta_reff_arcsec,tractor_objid,sersic_n_ls_fit,query_error,galfit_chi2nu_local,ls_chi2nu_local,chi2_superior_model,fit_region_found,fit_region_pixels,galfit_chi2nu_fitregion,legacy_chi2nu_fitregion,chi2nu_ratio_legacy_over_galfit_fitregion,chi2nu_ratio_assessment_fitregion,chi2nu_functionally_equivalent_fitregion,abs_delta_i_deg
20191001A,323.352187199872,-54.7477484912365,46.79,True,1406.0,323.352187199873,-54.74774849123656,SER,0.6917429566383362,0.5,-0.5697069764137268,-0.2205739915370941,1538.055908203125,1591.410400390625,2.1358315121666606e-09,7.0,0.6109164629612438,0.2415293070650783,0.0254984592472127,0.0250673776563411,82.05605101232584,2.307568704313368,35.26605101232584,1.73182,1.1012290716171265,2.1358315121666606e-09,1406.0,-0.6305909283828735,1406.0,0.5,,8.774404476174533,0.3614938126043707,LS_better,True,1680.0,8.77440448337973,1.6235069981404586,0.1850275994474231,Legacy,False,35.26605101232584
20190608B,334.02040578312,-7.89886810526581,32.52,True,5826.0,334.0204057831204,-7.898868105265814,SER,94.8233413696289,3.487734794616699,0.1343396455049514,-0.2058077007532119,661397.6875,803254.6875,1.418953351725555e-09,5.0,0.2457721506674824,0.605430012966981,0.001229613616867,0.0011157666227241,54.32229704490156,0.1135987982733795,21.80229704490156,1.29428,1.5951251983642578,1.418953351725555e-09,5826.0,0.3008451983642577,5826.0,3.487734794616699,,2.2192134698639303,2.420150992760201,GALFIT_better,True,6237.0,2.2192134694207906,0.5785789424848291,0.2607135142505407,Legacy,False,21.80229704490156
20220310F,134.72115983246,73.491023493673,70.02,True,649.0,134.72115983246024,73.49102349367304,EXP,4.333199977874756,1.0,-0.1652330011129379,-0.1180749982595443,2568.904052734375,1958.982177734375,3.0336522137151727e-10,3.0,0.203085326576736,0.662392480249766,0.0197299533344769,0.022593564720457,49.871877685030114,2.315425420567556,-20.14812231496988,1.1266,0.9910320043563844,3.0336522137151727e-10,649.0,-0.1355679956436156,649.0,1.0,,0.7595555530680048,0.2285491624074417,LS_better,True,10000.0,0.7595555524960934,0.2183581805876216,0.2874815145120603,Legacy,False,20.14812231496988
20190102C,322.415208643486,-79.4757580984851,80.24,True,2531.0,322.4152086434868,-79.47575809848519,SER,2.2401440143585205,0.5,0.3648677766323089,0.0312008373439311,3464.650634765625,2629.223876953125,6.06665366492977e-10,4.0,0.3661993810420314,0.4639151706206706,0.0169890962151936,0.0195023172156607,64.70865680540318,1.3196354503021612,-15.531343194596817,0.98774,0.9823504686355592,6.06665366492977e-10,2531.0,-0.0053895313644407,2531.0,0.5,,0.7418741708345357,0.2128136197614916,LS_better,True,2116.0,0.7418741706900049,0.2219645474858764,0.2991943327524543,Legacy,False,15.531343194596817
20210410D,326.087266796551,-79.3180613840662,90.0,True,3440.0,326.0872667965519,-79.31806138406623,EXP,2.313594102859497,1.0,0.0291085168719291,0.5108329057693481,1941.525146484375,1462.5360107421875,6.15456549032428e-10,8.0,0.5116615711300186,0.3230474586351571,0.0226949113191058,0.0261484960967304,74.99381150093153,1.7827006424612637,-15.006188499068472,0.7833800000000001,0.7306411266326904,6.15456549032428e-10,3440.0,-0.0527388733673096,3440.0,1.0,,0.84365756313496,0.3016267264132297,LS_better,True,720.0,0.8436575632113974,0.2993996724446064,0.3548829353285666,Legacy,False,15.006188499068472
20180924B,326.105235868384,-40.9002526146074,33.63,True,4485.0,326.1052358683841,-40.90025261460747,SER,6.914794445037842,3.3241782188415527,0.1292556971311569,-0.1360640525817871,76714.6171875,73060.828125,3.856113402327359e-10,4.0,0.1876711529400315,0.6839678180690687,0.0036104467073189,0.003699624993512,48.12091274655155,0.427701859068637,14.490912746551544,0.6288,0.7392469048500061,3.856113402327359e-10,4485.0,0.110446904850006,4485.0,3.3241782188415527,,0.8624928197720574,0.4322591579465415,LS_better,True,3136.0,0.8624928216538389,0.3454480508838567,0.4005228127249297,Legacy,False,14.490912746551544
20211203C,204.565260359076,-31.3791066801824,56.24,True,10825.0,204.5652603590769,-31.37910668018246,EXP,1.2836072444915771,1.0,0.3018387854099273,-0.1628560870885849,409.9666137695313,323.6633605957031,2.7166631837356143e-09,4.0,0.342970490683302,0.4892359987615231,0.0493884907216287,0.0555844394684968,62.89032117370526,4.085412278301045,6.650321173705258,0.72312,0.6896117925643921,2.7166631837356143e-09,10825.0,-0.0335082074356078,10825.0,1.0,,0.7637867067024225,0.2551067343720755,LS_better,True,2025.0,0.7637867051260813,0.3321022042628378,0.4348101401005879,Legacy,False,6.650321173705258
20220914A,282.058506825248,73.3362822052,59.94,True,354.0,282.0585068252482,73.3362822052,SER,14.432353973388672,2.032114028930664,-0.1781419962644577,-0.295881986618042,10754.26953125,13989.7099609375,1.760407946803823e-10,7.0,0.3453704110634338,0.4865794457447009,0.0096429417106698,0.0084546502141747,63.08149375226626,0.7036264876358556,3.141493752266264,1.02704,1.0738459825515747,1.760407946803823e-10,354.0,0.0468059825515747,354.0,2.032114028930664,,0.9013137034902844,0.243297025541626,LS_better,True,1296.0,0.9013137022617608,0.1984298830029612,0.2201562924262887,Legacy,False,3.141493752266264
20220509G,282.67480644498,70.2427258540453,62.11,True,3587.0,282.6748064449803,70.24272585404539,SER,233.32745361328125,2.466068983078003,-0.0615440011024475,-0.2939760088920593,778237.3125,1449673.75,4.6243784650104255e-10,5.0,0.3003490600548005,0.5380485605270589,0.0011335585980603,0.0008305482404708,59.34975965734881,0.0736158048284046,-2.760240342651187,2.91344,4.925990104675293,4.6243784650104255e-10,3587.0,2.012550104675293,3587.0,2.466068983078003,,167.8219425453453,6.196155285031486,LS_better,True,8160.0,167.82194117220325,4.457807084779507,0.0265627191155256,Legacy,False,2.760240342651187
20200906A,53.4958425539765,-14.0831745853353,77.62,True,7342.0,53.49584255397651,-14.08317458533533,SER,9.864981651306152,0.745732307434082,0.2160845398902893,0.4622931182384491,70655.375,92391.9453125,1.1150827753300263e-10,4.0,0.5103013379859264,0.3242390440222445,0.0037620745480111,0.0032899018714925,74.90203346851389,0.2295093423974423,-2.717966531486113,1.62702,1.539622187614441,1.1150827753300263e-10,7342.0,-0.0873978123855589,7342.0,0.745732307434082,,0.900188222577697,0.3098706938842356,LS_better,True,6400.0,0.9001882224117587,0.3266252864072829,0.3628411017555836,Legacy,False,2.717966531486113
