FRB,galfit_n,galfit_inc,galfit_err,legacy_type,legacy_n,legacy_inc,legacy_err
20180924B,4.35,49.26,0.81,SER,3.32,48.12,0.43
20190102C,0.5,67.14,2.15,SER,0.5,64.71,1.32
20190608B,3.01,46.79,0.0,SER,3.49,54.32,0.11
20190714A,0.5,69.3,0.72,SER,0.53,68.7,0.38
20191001A,0.5,59.94,0.0,SER,0.5,82.06,2.31
20200906A,0.66,73.7,0.0,SER,0.75,74.9,0.23
20210320C,1.12,47.62,1.66,REX,1.0,0.0,
20210410D,1.38,90.0,3.33,EXP,1.0,74.99,1.78
20211203C,2.08,64.99,6.5,EXP,1.0,62.89,4.09
20211212A,1.51,33.63,0.0,SER,1.14,35.08,0.04
20220207C,0.51,84.63,0.0,,,,
20220307B,0.63,51.65,2.36,,,,
20220310F,1.87,48.45,2.46,EXP,1.0,49.87,2.32
20220319D,6.0,34.7,1.06,,,,
20220509G,0.5,71.48,0.0,SER,2.47,59.35,0.07
20220825A,0.75,52.43,3.9,,,,
20220912A,0.78,51.65,2.36,,,,
20220914A,2.0,63.55,0.72,SER,2.03,63.08,0.7
20220920A,1.1,31.39,0.0,REX,1.0,0.0,
20221012A,1.98,59.94,0.0,SER,2.27,59.53,0.34
20200430A,4.13,90.0,0.0,EXP,1.0,69.22,0.25
20220105A,2.99,90.0,5.33,EXP,1.0,85.22,3.15
20220725A,1.25,56.99,0.0,SER,1.21,53.19,0.03
20221106A,4.88,53.2,0.77,SER,1.95,52.19,0.11
20230708A,1.89,90.0,45.0,REX,1.0,0.0,
20230902A,1.32,62.11,2.17,REX,1.0,0.0,
20231226A,0.86,41.55,0.91,EXP,1.0,41.67,0.33
20240201A,0.74,90.0,0.0,SER,0.86,90.0,0.0
20240208A,1.44,90.0,2.68,EXP,1.0,65.35,0.97
20240210A,1.16,54.74,0.0,SER,1.1,55.09,0.01
20240304A,1.51,48.45,2.46,EXP,1.0,45.61,1.52
20240318A,0.88,62.84,0.0,EXP,1.0,67.11,0.25
