frb,chi2nu_nopsf,mag_nopsf,mag_err_nopsf,re_nopsf,re_err_nopsf,n_nopsf,n_err_nopsf,b_a_nopsf,b_a_err_nopsf,pa_nopsf,pa_err_nopsf,x_nopsf,x_err_nopsf,y_nopsf,y_err_nopsf,chi2nu_psf,mag_psf,mag_err_psf,re_psf,re_err_psf,n_psf,n_err_psf,b_a_psf,b_a_err_psf,pa_psf,pa_err_psf,x_psf,x_err_psf,y_psf,y_err_psf,parse_strategy_nopsf,parse_strategy_psf,fit_log_path_nopsf,fit_log_path_psf,inc_nopsf,inc_err_nopsf,inc_psf,inc_err_psf
20171020A,297.882,15.14,0.01,46.08,0.17,0.54,0.0,0.4,0.0,-50.91,0.11,65.49,0.08,68.16,0.07,298.074,15.14,0.01,45.89,0.18,0.54,0.0,0.39,0.0,-50.88,0.11,65.49,0.08,67.98,0.07,last_sane_single_sersic,last_sane_single_sersic,tools/galfit/runs/20171020A/no_psf_sigma/fit.log,tools/galfit/runs/20171020A/with_psf_sigma/fit.log,69.2952,0.0,70.0185,0.0
20180924B,0.835,22.97,0.01,4.31,0.03,1.0,0.0,0.83,0.01,-21.15,1.41,28.52,0.01,28.49,0.01,0.745,22.78,0.03,3.47,0.19,4.35,0.33,0.67,0.01,-24.16,1.55,28.49,0.01,28.25,0.02,free_n_before_fixed_n_refine,free_n_before_fixed_n_refine,tools/galfit/runs/20180924B/no_psf_sigma/fit.log,tools/galfit/runs/20180924B/with_psf_sigma/fit.log,34.699,1.0589,49.2591,0.8087
20190102C,0.798,23.97,0.02,6.35,0.16,1.0,0.0,0.71,0.02,2.01,2.36,23.5,0.05,23.45,0.07,0.738,24.19,0.01,3.92,0.09,0.5,0.13,0.43,0.03,3.96,2.04,23.31,0.05,23.35,0.08,free_n_before_fixed_n_refine,free_n_before_fixed_n_refine,tools/galfit/runs/20190102C/no_psf_sigma/fit.log,tools/galfit/runs/20190102C/with_psf_sigma/fit.log,45.9491,1.6969,67.1384,2.153
20190608B,1.377,20.21,0.0,6.62,0.02,1.0,0.0,0.8,0.0,-29.34,0.46,41.54,0.01,34.45,0.01,1.144,19.98,0.01,7.24,0.11,3.01,0.05,0.7,0.0,-29.26,0.45,41.42,0.01,34.49,0.01,free_n_before_fixed_n_refine,free_n_before_fixed_n_refine,tools/galfit/runs/20190608B/no_psf_sigma/fit.log,tools/galfit/runs/20190608B/with_psf_sigma/fit.log,37.7612,0.0,46.7917,0.0
20190714A,0.863,22.42,0.02,5.74,0.11,1.0,0.0,0.6,0.01,-46.7,1.19,15.52,0.04,17.69,0.03,0.688,22.63,0.01,4.0,0.07,0.5,0.05,0.4,0.01,-46.83,0.91,15.43,0.04,17.53,0.03,free_n_before_fixed_n_refine,free_n_before_fixed_n_refine,tools/galfit/runs/20190714A/no_psf_sigma/fit.log,tools/galfit/runs/20190714A/with_psf_sigma/fit.log,54.7356,0.7597,69.2952,0.722
20191001A,13.139,20.7,0.01,8.13,0.07,1.0,0.0,0.62,0.0,-44.9,0.58,33.0,0.02,26.65,0.02,6.218,20.95,0.0,5.98,0.03,0.5,0.01,0.53,0.0,-42.11,0.35,32.75,0.02,26.36,0.02,free_n_before_fixed_n_refine,free_n_before_fixed_n_refine,tools/galfit/runs/20191001A/no_psf_sigma/fit.log,tools/galfit/runs/20191001A/with_psf_sigma/fit.log,53.2047,0.0,59.938,0.0
20200906A,1.011,22.39,0.01,7.67,0.06,1.0,0.0,0.49,0.0,32.88,0.38,40.43,0.02,40.55,0.03,0.881,22.53,0.01,5.98,0.05,0.66,0.02,0.34,0.0,32.83,0.31,40.44,0.02,40.31,0.03,free_n_before_fixed_n_refine,free_n_before_fixed_n_refine,tools/galfit/runs/20200906A/no_psf_sigma/fit.log,tools/galfit/runs/20200906A/with_psf_sigma/fit.log,62.8353,0.0,73.7025,0.0
20210320C,0.757,22.14,0.01,4.95,0.08,1.0,0.0,0.83,0.01,-22.11,3.03,26.49,0.03,26.42,0.04,0.729,22.22,0.02,3.67,0.08,1.12,0.07,0.69,0.02,-24.78,2.38,26.47,0.03,26.18,0.04,free_n_before_fixed_n_refine,free_n_before_fixed_n_refine,tools/galfit/runs/20210320C/no_psf_sigma/fit.log,tools/galfit/runs/20210320C/with_psf_sigma/fit.log,34.699,1.0589,47.6238,1.655
20210410D,0.921,23.88,0.03,5.56,0.15,1.0,0.0,0.75,0.02,50.1,2.85,18.73,0.05,18.43,0.03,0.836,24.08,0.02,2.99,0.14,1.38,0.36,0.16,0.07,45.93,1.95,18.53,0.05,18.29,0.04,free_n_before_fixed_n_refine,free_n_before_fixed_n_refine,tools/galfit/runs/20210410D/no_psf_sigma/fit.log,tools/galfit/runs/20210410D/with_psf_sigma/fit.log,42.4601,1.7989,90.0,3.3284
20210807D,99.481,15.64,0.23,76.85,14.15,2.33,0.12,0.75,0.01,-88.14,1.06,30.48,0.04,32.36,0.03,106.164,14.86,0.71,257.3,192.03,4.38,0.72,0.7,0.01,-88.42,1.09,30.74,0.05,32.01,0.04,last_sane_single_sersic,last_sane_single_sersic,tools/galfit/runs/20210807D/no_psf_sigma/fit.log,tools/galfit/runs/20210807D/with_psf_sigma/fit.log,42.4601,0.8989,46.7917,0.8374
20211127I,473.482,14.54,0.06,66.23,3.47,2.22,0.04,0.97,0.0,-60.14,5.62,58.85,0.02,53.71,0.02,443.618,13.2,0.24,329.64,84.13,4.41,0.24,0.97,0.01,-57.56,6.54,58.89,0.02,53.58,0.02,last_sane_single_sersic,last_sane_single_sersic,tools/galfit/runs/20211127I/no_psf_sigma/fit.log,tools/galfit/runs/20211127I/with_psf_sigma/fit.log,14.3662,0.0,14.3662,2.4433
20211203C,0.76,24.59,0.05,4.38,0.27,1.0,0.0,0.71,0.04,-14.18,6.33,25.42,0.09,25.38,0.12,0.764,24.61,0.1,2.93,0.35,2.08,0.97,0.46,0.09,-14.49,6.48,25.25,0.11,25.26,0.14,free_n_before_fixed_n_refine,free_n_before_fixed_n_refine,tools/galfit/runs/20211203C/no_psf_sigma/fit.log,tools/galfit/runs/20211203C/with_psf_sigma/fit.log,45.9491,3.3995,64.9892,6.5018
20211212A,12.765,18.89,0.01,14.23,0.09,1.0,0.0,0.85,0.0,-55.14,0.93,34.53,0.02,33.98,0.02,13.955,18.59,0.04,17.89,0.59,1.51,0.04,0.84,0.0,-55.84,1.02,34.66,0.02,33.89,0.02,free_n_before_fixed_n_refine,free_n_before_fixed_n_refine,tools/galfit/runs/20211212A/no_psf_sigma/fit.log,tools/galfit/runs/20211212A/with_psf_sigma/fit.log,32.5235,0.0,33.6264,0.0
20220207C,152.551,18.06,0.01,24.49,0.34,0.51,0.01,0.26,0.0,43.79,0.29,46.17,0.18,40.98,0.18,152.667,18.05,0.01,24.17,0.35,0.51,0.02,0.22,0.0,43.77,0.29,45.51,0.18,41.17,0.18,last_sane_single_sersic,last_sane_single_sersic,tools/galfit/runs/20220207C/no_psf_sigma/fit.log,tools/galfit/runs/20220207C/with_psf_sigma/fit.log,80.2379,0.0,84.6326,0.0
20220307B,137.65,19.81,0.04,6.82,0.21,0.6,0.03,0.74,0.02,81.76,3.68,25.46,0.14,21.33,0.11,137.689,19.82,0.03,5.8,0.22,0.63,0.09,0.64,0.03,80.77,3.65,25.27,0.14,21.18,0.11,last_sane_single_sersic,last_sane_single_sersic,tools/galfit/runs/20220307B/no_psf_sigma/fit.log,tools/galfit/runs/20220307B/with_psf_sigma/fit.log,43.3518,1.7708,51.6485,2.357
20220310F,0.76,23.24,0.01,6.36,0.12,1.0,0.0,0.81,0.01,-60.22,3.32,50.57,0.05,50.54,0.04,0.757,23.25,0.03,4.76,0.22,1.87,0.19,0.68,0.03,-61.64,3.35,50.43,0.06,50.34,0.05,free_n_before_fixed_n_refine,free_n_before_fixed_n_refine,tools/galfit/runs/20220310F/no_psf_sigma/fit.log,tools/galfit/runs/20220310F/with_psf_sigma/fit.log,36.7642,1.0085,48.4461,2.4554
20220319D,350.201,16.58,0.01,11.21,0.1,1.81,0.01,0.91,0.0,67.0,1.72,75.76,0.01,75.53,0.01,307.028,16.02,0.04,27.67,2.08,6.0,0.18,0.83,0.01,61.81,1.32,75.66,0.01,75.41,0.01,last_sane_single_sersic,last_sane_single_sersic,tools/galfit/runs/20220319D/no_psf_sigma/fit.log,tools/galfit/runs/20220319D/with_psf_sigma/fit.log,25.0341,0.0,34.699,1.0589
20220509G,153.02,19.26,0.01,6.81,0.07,1.0,0.0,0.75,0.01,-61.68,1.1,78.41,0.03,39.38,0.03,169.264,19.11,0.01,12.32,0.11,0.5,0.02,0.37,0.0,-59.34,0.38,73.51,0.08,36.92,0.05,free_n_before_fixed_n_refine,free_n_before_fixed_n_refine,tools/galfit/runs/20220509G/no_psf_sigma/fit.log,tools/galfit/runs/20220509G/with_psf_sigma/fit.log,42.4601,0.8989,71.4757,0.0
20220825A,448.811,19.97,0.04,6.61,0.37,0.62,0.06,0.73,0.03,44.0,6.08,39.73,0.17,39.73,0.17,448.843,19.96,0.04,5.64,0.4,0.75,0.16,0.63,0.05,44.37,6.29,39.58,0.17,39.63,0.17,last_sane_single_sersic,last_sane_single_sersic,tools/galfit/runs/20220825A/no_psf_sigma/fit.log,tools/galfit/runs/20220825A/with_psf_sigma/fit.log,44.23,2.6189,52.43,3.8991
20220912A,379.094,19.52,0.03,6.23,0.2,0.71,0.03,0.74,0.02,36.42,3.43,25.12,0.06,20.81,0.09,380.508,19.55,0.03,5.16,0.2,0.78,0.09,0.64,0.03,36.72,3.3,24.84,0.07,20.9,0.09,last_sane_single_sersic,last_sane_single_sersic,tools/galfit/runs/20220912A/no_psf_sigma/fit.log,tools/galfit/runs/20220912A/with_psf_sigma/fit.log,43.3518,1.7708,51.6485,2.357
20220914A,1.36,21.99,0.01,7.22,0.07,1.0,0.0,0.8,0.01,-58.92,1.19,19.57,0.02,19.47,0.02,0.841,22.16,0.02,4.17,0.08,2.0,0.15,0.48,0.01,-62.7,0.77,19.52,0.02,19.71,0.02,free_n_before_fixed_n_refine,free_n_before_fixed_n_refine,tools/galfit/runs/20220914A/no_psf_sigma/fit.log,tools/galfit/runs/20220914A/with_psf_sigma/fit.log,37.7612,0.9865,63.5545,0.7185
20220920A,1.627,20.44,0.0,8.91,0.04,1.0,0.0,0.9,0.0,42.63,1.14,36.46,0.01,36.36,0.01,1.071,20.53,0.0,7.05,0.04,1.1,0.01,0.86,0.0,47.32,0.91,36.46,0.01,36.53,0.01,free_n_before_fixed_n_refine,free_n_before_fixed_n_refine,tools/galfit/runs/20220920A/no_psf_sigma/fit.log,tools/galfit/runs/20220920A/with_psf_sigma/fit.log,26.4156,0.0,31.387,0.0
