frb,ra_deg,dec_deg,ra_hms,dec_dms,coord_semantics,xmin,xmax,ymin,ymax,survey,ra_err_as,dec_err_as,major_sigma_as,minor_sigma_as,pa_deg,z,DM,DM_MW,DM_exgal,status,repeater,repeater_source
20171020A,333.8531,-19.5853,22:15:24.74,-19:35:07.1,host,460.0,605.0,460.0,605.0,LS,,,,,,,,36.55,77.55,pending,no,"Li et al. 2023, PASA 40, 29"
20180924B,326.105235868384,-40.9002526146074,21:44:25.26,-40:54:00.9,host,473.0,529.0,473.0,529.0,LS,0.16,0.16,,,,0.321,362.4,40.45,320.97,pending,no,"Bannister et al. 2019, Science 365, 565 (doi:10.1126/science.aaw5903)"
20190102C,322.415208643486,-79.4757580984851,21:29:39.65,-79:28:32.7,host,478.0,524.0,478.0,524.0,LS,0.79,0.9,,,,0.291,364.5,57.43,307.07,pending,no,"Heintz et al. 2020, ApJ 903, 152 (doi:10.3847/1538-4357/abb6fb)"
20190608B,334.02040578312,-7.89886810526581,22:16:04.90,-7:53:55.9,host,460.0,541.0,467.0,544.0,LS,0.33,0.3,,,,0.118,339.5,37.19,302.31,pending,no,"Chittidi et al. 2021, ApJ 922, 173 (doi:10.3847/1538-4357/ac2818)"
20190714A,183.979524936268,-13.0210785237284,12:15:55.09,-13:01:15.9,host,486.0,520.0,483.0,517.0,LS,0.52,0.38,,,,0.236,504.7,38.39,465.74,pending,no,"Heintz et al. 2020, ApJ 903, 152 (doi:10.3847/1538-4357/abb6fb)"
20191001A,323.352187199872,-54.7477484912365,21:33:24.52,-54:44:51.9,host,471.0,511.0,464.0,506.0,LS,0.46,0.43,0.46,0.43,81.9,0.234,506.92,44.16,463.74,pending,no,"Bhandari et al. 2020, ApJL 901, L20 (doi:10.3847/2041-8213/abb462)"
20200906A,53.496,-14.083,03:33:59.04,-14:04:58.8,host,,,,,ASKAP,0.49,0.49,0.51,-0.47,39.0,0.3688,577.8,35.82,541.98,pending,no,"Bhandari et al. 2022, AJ 163, 69 (doi:10.3847/1538-3881/ac3aec)"
20210320C,204.458854,-16.122552,13:37:50.12,-16:07:21.2,host,475.0,525.0,475.0,525.0,LS,0.46,0.46,0.47,0.45,43.7,0.28,384.8,39.18,345.62,pending,no,"Gordon et al. 2023, ApJ 952, 122 (doi:10.3847/1538-4357/ace5aa)"
20210410D,326.086,-79.318,21:44:20.64,-79:19:04.8,host,,,,,MeerKAT,,,,,,0.1415,578.78,56.23,522.55,pending,no,"Caleb et al. 2023, MNRAS 524, 2064 (doi:10.1093/mnras/stad1839)"
20210807D,299.2214,-0.7624,19:56:53.14,-0:45:44.6,host,515.0,580.0,496.0,556.0,LS,0.6,0.6,,,,0.129,251.9,121.28,130.02,pending,no,"Gordon et al. 2023, ApJ 952, 122 (doi:10.3847/1538-4357/ace5aa)"
20211127I,199.808,-18.838,13:19:13.92,-18:50:16.8,host,,,,,ASKAP,0.51,0.51,0.51,0.51,65.1,0.0469,234.83,42.46,192.37,pending,no,"Gordon et al. 2023, ApJ 952, 122 (doi:10.3847/1538-4357/ace5aa)"
20211203C,204.565260359076,-31.3791066801824,13:38:15.66,-31:22:44.8,host,476.0,521.0,476.0,521.0,LS,0.44,0.44,0.44,0.44,80.7,0.344,636.2,63.63,571.37,pending,no,"Gordon et al. 2023, ApJ 952, 122 (doi:10.3847/1538-4357/ace5aa)"
20211212A,157.351,1.361,10:29:24.24,+01:21:39.6,host,,,,,ASKAP,0.48,0.48,0.5,0.46,45.6,0.0715,206.0,38.84,167.16,pending,no,"Gordon et al. 2023, ApJ 952, 122 (doi:10.3847/1538-4357/ace5aa)"
20220207C,310.19767916805,72.8826580623927,20:40:47.44,72:52:57.6,host,480.0,570.0,485.0,565.0,LS,,,,,,,,76.01,186.29,pending,no,"Law et al. 2024, ApJ 967, 29 (doi:10.3847/1538-4357/ad3736)"
20220307B,350.875,72.192,23:23:30.00,+72:11:31.2,host,,,,,DSA-110,,,,,,0.2481,499.27,128.19,371.08,pending,no,"Law et al. 2024, ApJ 967, 29 (doi:10.3847/1538-4357/ad3736)"
20220310F,134.721,73.491,08:58:53.04,+73:29:27.6,host,,,,,DSA-110,,,,,,0.478,462.24,46.28,415.96,pending,no,"Law et al. 2024, ApJ 967, 29 (doi:10.3847/1538-4357/ad3736)"
20220319D,32.17791666666667,71.03525,2:08:42.70,71:02:06.9,host,486.0,631.0,460.0,604.0,LS,,,,,,,,,,pending,no,"Law et al. 2024, ApJ 967, 29 (doi:10.3847/1538-4357/ad3736)"
