frb,coord_semantics,survey,status,has_published_localization_ref,exclude_class,major_sigma_as,minor_sigma_as,ra_err_as,dec_err_as,has_maj_min_ellipse,redshift,repeater_source,literature_note
20171020A,host,LS,pending,yes,,,,,,False,,"Li et al. 2023, PASA 40, 29",
20180924B,host,LS,pending,yes,,,,0.16,0.16,False,,"Bannister et al. 2019, Science 365, 565 (doi:10.1126/science.aaw5903)",
20190102C,host,LS,pending,yes,,,,0.79,0.9,False,,"Heintz et al. 2020, ApJ 903, 152 (doi:10.3847/1538-4357/abb6fb)",
20190608B,host,LS,pending,yes,,,,0.33,0.3,False,,"Chittidi et al. 2021, ApJ 922, 173 (doi:10.3847/1538-4357/ac2818)",
20190714A,host,LS,pending,yes,,,,0.52,0.38,False,,"Heintz et al. 2020, ApJ 903, 152 (doi:10.3847/1538-4357/abb6fb)",
20191001A,host,LS,pending,yes,,0.46,0.43,0.46,0.43,True,,"Bhandari et al. 2020, ApJL 901, L20 (doi:10.3847/2041-8213/abb462)",
20200906A,host,ASKAP,pending,yes,,0.51,-0.47,0.49,0.49,True,,"Bhandari et al. 2022, AJ 163, 69 (doi:10.3847/1538-3881/ac3aec)",
20210320C,host,LS,pending,yes,,0.47,0.45,0.46,0.46,True,,"Gordon et al. 2023, ApJ 952, 122 (doi:10.3847/1538-4357/ace5aa)",
20210410D,host,MeerKAT,pending,yes,,,,,,False,,"Caleb et al. 2023, MNRAS 524, 2064 (doi:10.1093/mnras/stad1839)",
20210807D,host,LS,pending,yes,,,,0.6,0.6,False,,"Gordon et al. 2023, ApJ 952, 122 (doi:10.3847/1538-4357/ace5aa)",
20211127I,host,ASKAP,pending,yes,,0.51,0.51,0.51,0.51,True,,"Gordon et al. 2023, ApJ 952, 122 (doi:10.3847/1538-4357/ace5aa)",
20211203C,host,LS,pending,yes,,0.44,0.44,0.44,0.44,True,,"Gordon et al. 2023, ApJ 952, 122 (doi:10.3847/1538-4357/ace5aa)",
20211212A,host,ASKAP,pending,yes,,0.5,0.46,0.48,0.48,True,,"Gordon et al. 2023, ApJ 952, 122 (doi:10.3847/1538-4357/ace5aa)",
20220207C,host,LS,pending,yes,,,,,,False,,"Law et al. 2024, ApJ 967, 29 (doi:10.3847/1538-4357/ad3736)",
20220307B,host,DSA-110,pending,yes,,,,,,False,,"Law et al. 2024, ApJ 967, 29 (doi:10.3847/1538-4357/ad3736)",
20220310F,host,DSA-110,pending,yes,,,,,,False,,"Law et al. 2024, ApJ 967, 29 (doi:10.3847/1538-4357/ad3736)",
20220319D,host,LS,pending,yes,,,,,,False,,"Law et al. 2024, ApJ 967, 29 (doi:10.3847/1538-4357/ad3736)",
20220509G,host,LS,pending,yes,,,,,,False,,"Law et al. 2024, ApJ 967, 29 (doi:10.3847/1538-4357/ad3736)",
20220825A,host,DSA-110,pending,yes,,,,,,False,,"Law et al. 2024, ApJ 967, 29 (doi:10.3847/1538-4357/ad3736)",
20220912A,host,LS,pending,yes,,,,,,False,,"Ravi et al. 2023, ApJL 949, L3 (doi:10.3847/2041-8213/acc4b6)",
20220914A,host,LS,pending,yes,,,,,,False,,"Law et al. 2024, ApJ 967, 29 (doi:10.3847/1538-4357/ad3736)",
20220920A,host,LS,pending,yes,,,,,,False,,"Law et al. 2024, ApJ 967, 29 (doi:10.3847/1538-4357/ad3736)",
20221012A,host,LS,pending,yes,,,,,,False,,"Law et al. 2024, ApJ 967, 29 (doi:10.3847/1538-4357/ad3736)",
20181112A,host,ASKAP,pending,yes,,,,3.8,2.4,False,,"Prochaska et al. 2019, Science 366, 231 (doi:10.1126/science.aay0073); Bhandari et al. 2020, ApJL 895, L37 (doi:10.3847/2041-8213/ab672e)",
