FRB,RA_deg,DEC_deg,RA_hms,DEC_dms,status,xmin,xmax,ymin,ymax,notes,initial_x,initial_y,initial_mag,initial_r_e,initial_n,initial_axis_ratio,initial_pa,q0,chi2nu_nopsf,n_nopsf,b_a_nopsf,inc_nopsf,chi2nu_psf,n_psf,b_a_psf,inc_psf,ra_err_as,dec_err_as,major_sigma_as,minor_sigma_as,pa_deg,z,DM,Notes,n_err_psf,n_err_nopsf
20171020A,333.8531,-19.5853,22:15:24.74,-19:35:07.1,pending,460.0,605.0,460.0,605.0, perfect match.,64.99288354153414,67.13410114208355,8.713165153573545,20.001557349188985,0.5,0.3824791745053728,36.267113330798765,0.2,0.374,0.55,0.4,69.3,0.431,1.0,0.38,70.75,,,,,,,,,,
20180924B,326.105235868384,-40.9002526146074,21:44:25.26,-40:54:00.9,pending,473.0,529.0,473.0,529.0, perfect match.,28.5,28.5,27.935192810210708,1.3376766140856846,0.5,0.8369466332916795,-79.53243398425005,0.2,0.296,1.0,0.94,20.38,0.296,1.0,0.84,33.63,0.16,0.16,,,,0.321,362.4,,,
20190102C,322.415208643486,-79.4757580984851,21:29:39.65,-79:28:32.7,pending,478.0,524.0,478.0,524.0, perfect match.,22.481334248865124,22.56097275890727,24.49132364803029,3.5919714138345973,0.5,0.7021393739919152,-86.69889372350842,0.2,0.338,1.0,0.87,30.21,0.338,1.0,0.26,80.24,0.79,0.9,,,,0.291,364.5,,,
20190608B,334.02040578312,-7.89886810526581,22:16:04.90,-7:53:55.9,pending,460.0,541.0,467.0,544.0, perfect match.,40.53981228768028,33.72677231844438,20.226218427949,5.812237636457336,1.0,0.9454177499920848,49.024918958024166,0.2,0.37,1.0,0.87,30.21,0.375,1.0,0.85,32.52,0.33,0.3,,,,0.118,339.5,,,
20190714A,183.979524936268,-13.0210785237284,12:15:55.09,-13:01:15.9,pending,486.0,520.0,483.0,517.0, perfect match.,14.437013174211192,16.72161283271248,22.84356864277936,3.3263758934683314,0.5,0.5973624656122354,44.02203628001601,0.2,0.516,1.0,0.64,51.65,0.513,1.0,0.38,70.75,0.52,0.38,,,,0.236,504.7,,,
20191001A,323.352187199872,-54.7477484912365,21:33:24.52,-54:44:51.9,pending,471.0,511.0,464.0,506.0, perfect match.,31.702417986354487,25.48537241912286,20.99812974670956,5.236566500217514,0.5,0.6996843918732215,54.7825249952576,0.2,0.134,1.0,0.77,40.63,0.129,1.0,0.7,46.79,0.46,0.43,0.46,0.43,81.9,0.234,506.92,,,
20200906A,53.4958425539765,-14.0831745853353,3:33:59.00,-14:04:59.4,pending,461.0,541.0,461.0,541.0, perfect match.,39.88154714430533,39.03387663077634,22.63242777272296,4.451110010836288,0.5,0.5026933379085239,-57.24479354890222,0.2,0.569,1.0,0.49,62.84,0.568,1.0,0.29,77.62,0.49,0.49,0.51,-0.47,39.0,0.369,577.8,,,
20210320C,204.458854,-16.122552,13:37:50.12,-16:07:21.2,pending,475.0,525.0,475.0,525.0, perfect match.,25.526258484154013,25.30554147529439,22.50030396079996,3.420161315356743,0.5,0.8040490003350711,65.75067701421946,0.2,0.654,1.0,0.84,33.63,0.653,1.0,0.72,45.1,0.46,0.46,0.47,0.45,43.7,0.28,384.8,,,
20210410D,326.087266796551,-79.3180613840662,21:44:20.94,-79:19:05.0,pending,483.0,507.0,483.0,513.0, perfect match.,17.886149029471483,17.583149676117554,24.53628264886564,2.916096777001765,0.5,0.7374384724339909,-45.84573729442114,0.2,0.171,1.0,0.58,56.24,0.169,1.0,0.05,90.0,,,,,,,,,,
20210807D,299.2214,-0.7624,19:56:53.14,-0:45:44.6,pending,515.0,580.0,496.0,556.0, perfect match.,33.0,30.5,11.305300002753595,5.280581444629427,0.5,0.6662478660406256,30.36216580475768,0.2,0.428,1.0,0.73,44.23,0.483,1.0,0.7,46.79,0.6,0.6,,,,0.129,251.9,,,
20211127I,199.808176085586,-18.8380065058089,13:19:13.96,-18:50:16.8,pending,467.0,582.0,476.0,577.0, perfect match.,57.78443484908263,53.08476739178487,9.32292472513341,8.949676557900721,0.5,0.7112375805397192,57.54994495630281,0.2,0.471,1.0,0.94,20.38,0.507,1.0,0.93,22.03,0.51,0.51,0.51,0.51,65.1,0.047,234.83,,,
20211203C,204.565260359076,-31.3791066801824,13:38:15.66,-31:22:44.8,pending,476.0,521.0,476.0,521.0, perfect match.,24.457465374973665,24.39403662113613,25.56055178095436,1.695128960759128,1.0,0.621900168001145,78.63930400813797,0.2,0.642,1.0,0.77,40.63,0.642,1.0,0.58,56.24,0.44,0.44,0.44,0.44,80.7,0.344,636.2,,,
20211212A,157.350941401671,1.36088942102641,10:29:24.23,1:21:39.2,pending,467.0,531.0,467.0,531.0, perfect match.,33.46014994512002,32.12060416364115,19.36247005315167,9.526289449503633,0.5,0.8108028905743884,24.538681289982705,0.2,0.028,1.0,0.86,31.39,0.027,1.0,0.85,32.52,0.48,0.48,0.5,0.46,45.6,0.071,206.0,,,
20220207C,310.19767916805,72.8826580623927,20:40:47.44,72:52:57.6,pending,480.0,570.0,485.0,565.0, perfect match.,45.5,40.5,11.38768339197631,10.180281939256586,1.0,0.2597651987163172,-46.14286395055231,0.2,0.866,1.0,0.26,80.24,0.846,1.0,0.21,86.25,,,,,,,,,,
20220307B,350.874524294566,72.1918502235676,23:23:29.89,72:11:30.7,pending,501.0,547.0,505.0,543.0, perfect match.,23.5,19.5,14.0807743014589,2.1607392218921047,1.0,0.2564921653067278,1.6269761718790678,0.2,0.871,1.0,0.75,42.46,0.855,1.0,0.65,50.86,,,,,,,,,,
20220310F,134.72115983246,73.491023493673,8:58:53.08,73:29:27.7,pending,451.0,551.0,451.0,551.0, perfect match.,49.362310113083446,49.57405900525792,23.701341721562017,3.931402540922769,0.5,0.7854624615965928,20.066355051631927,0.2,0.449,1.0,0.62,53.2,0.449,1.0,0.39,70.02,,,,,,,,,,
20220319D,32.17791666666667,71.03525,2:08:42.70,71:02:06.9,pending,486.0,631.0,460.0,604.0,perfect match.,73.0,72.5,9.84761174830103,7.488301810242855,1.0,0.8571943409392327,-33.42152878579324,0.2,0.696,1.0,0.65,50.86,0.669,1.0,0.63,52.43,,,,,,,,,,
20220509G,282.67480644498,70.2427258540453,18:50:41.95,70:14:33.8,pending,435.0,555.0,469.0,537.0, perfect match.,60.5,34.5,27.550804032296966,0.8289386627587451,2.5,0.353979618272215,-44.53022274004402,0.2,0.043,1.0,0.53,59.94,0.044,1.0,0.5,62.11,,,,,,,,,,
20220825A,311.9815,72.585,20:47:55.56,72:35:06.0,pending,485.0,565.0,485.0,565.0, perfect match.,38.67856634928748,39.20556047913821,14.297197407587706,2.5711250300932096,0.5,0.9532746378083704,33.388490912170504,0.2,1.118,1.0,0.72,45.1,1.115,1.0,0.62,53.2,,,,,,,,,,
20220912A,347.270174036462,48.7066182681479,23:09:04.84,48:42:23.8,pending,501.0,547.0,505.0,545.0, perfect match.,23.5,20.5,14.261674173618324,1.675578590492076,0.5,0.7555099335113301,13.299752383632194,0.2,0.95,1.0,0.76,41.55,0.942,1.0,0.65,50.86,,,,,,,,,,
20220914A,282.058506825248,73.3362822052,18:48:14.04,73:20:10.6,pending,482.0,518.0,482.0,518.0, perfect match.,18.658893917806274,18.40497323332195,22.42378877439896,4.56280087262314,0.5,0.7925184210001138,32.41643553123427,0.2,0.131,1.0,0.75,42.46,0.125,1.0,0.53,59.94,,,,,,,,,,
20220920A,240.25679384725,70.9180072111693,16:01:01.63,70:55:04.8,pending,465.0,530.0,465.0,530.0, perfect match.,35.26878514291631,35.45698284287003,20.680209524574305,6.764954059674434,0.5,0.9082862671389308,-48.981106700341485,0.2,0.179,1.0,0.88,29.0,0.177,1.0,0.86,31.39,,,,,,,,,,
20221012A,280.801416813252,70.5241745429962,18:43:12.34,70:31:27.0,pending,460.0,540.0,450.0,530.0, perfect match.,40.41448835576385,50.47548178001956,21.551283620310866,5.21115491857762,0.5,0.6870503357726072,-77.59335808878548,0.2,0.373,1.0,0.64,51.65,0.371,1.0,0.54,59.21,,,,,,,,,,
20181112A,327.3484583333333,-52.97094444444445,21:49:23.63,-52:58:15.4,pending,,,,,[Legacy Surveys Only],,,,,,,,,,,,,,,,,3.8,2.4,,,,0.476,589.0,,,
20190611B,320.7428868736854,-79.39728581213612,21:22:58.94,-79:23:51.3,pending,1135.0,1175.0,1135.0,1175.0,[Legacy Surveys Only],,,,,,,,,,,,,,,,,1.1,1.1,2.41,1.28,-68.0,0.378,322.2,Host association done (Posterior > 0.8),,
20190711A,329.4192017275844,-80.35814797294535,21:57:40.13,-80:21:28.9,pending,1103.0,1154.0,1108.0,1156.0,[Legacy Surveys Only],,,,,,,,,,,,,,,,,2.28,1.49,,,,0.522,594.6,Host association done (Posterior > 0.8),,
20191228A,344.43054166666667,-29.59411111111111,22:57:43.33,-29:35:38.8,not suitable for study,,,,,[Both LS and PS1],,,,,,,,,,,,,,,,,0.78,0.82,0.84,0.76,-29.3,0.243,297.5,,,
