frb,n_sersic_components,single_sersic,host_number,snr_win,snr_auto,chi2nu,mag,mag_err,re,re_err,n,n_err,b_a,b_a_err,pa,pa_err,x,x_err,y,y_err,inc,inc_err,zp_ok,ref_survey,ref_mag,ref_mag_err,ref_sep_arcsec,mag_final,mag_final_err,mag_final_source,parse_strategy,fit_log_path
20171020A,1,True,36,796.8968,775.8773943863458,1.807,15.1,0.0,45.91,0.15,0.54,0.0,0.4,0.0,-50.78,0.11,83.75,0.08,87.18,0.06,69.2952,0.0,True,PS1_DR1,15.779,0.0052,0.508,15.1,0.0,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20171020A_all/fit.log
20180924B,1,True,166,2.1944752,2.6194392725166766,0.735,20.24,0.03,3.51,0.15,3.91,0.25,0.68,0.01,-24.85,1.49,28.53,0.01,31.48,0.01,48.4461,0.8176,True,LS_DR10,20.4006,0.0047,0.003,20.24,0.03,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20180924B_all/fit.log
20181112A,1,True,1435,0.8887612,0.9379141753588068,0.872,21.98,0.03,2.72,0.15,1.02,0.26,0.86,0.05,-11.33,14.6,25.6,0.07,25.68,0.08,31.387,5.8651,True,LS_DR10,21.8782,0.0184,0.135,21.98,0.03,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20181112A_all/fit.log
20190102C,1,True,91,1.311903,1.4581832790597407,0.748,21.67,0.01,3.91,0.09,0.5,0.13,0.42,0.03,4.0,2.01,25.47,0.05,27.51,0.08,67.8558,2.1564,True,LS_DR10,21.6243,0.0155,0.005,21.67,0.01,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20190102C_all/fit.log
20190523A,1,True,567,1.4945395,1.5697206595873126,0.795,21.72,0.02,2.24,0.35,0.62,0.71,0.73,0.08,-2.47,13.17,26.23,0.08,27.2,0.09,44.23,7.0479,True,LS_DR10,21.5416,0.0349,0.021,21.72,0.02,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20190523A_all/fit.log
20190608B,1,True,70,4.6054535,6.185682026662582,1.156,17.46,0.01,7.43,0.12,3.13,0.06,0.7,0.0,-29.28,0.45,39.56,0.01,38.5,0.01,46.7917,0.0,True,LS_DR10,17.5577,0.0017,0.022,17.46,0.01,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20190608B_all/fit.log
20190611B,1,True,709,0.35397354,0.34331763279907307,0.679,23.01,0.05,1.53,2.84,0.5,6.21,0.38,0.69,-57.43,28.53,21.55,0.17,21.66,0.14,70.745,45.0,True,LS_DR10,22.9364,0.0389,0.257,23.01,0.05,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20190611B_all/fit.log
20190711A,1,True,501,2.3656495,3.0903615030336082,2.537,18.09,0.01,1.5,0.05,6.0,0.68,0.56,0.02,-29.11,1.52,30.23,0.02,29.92,0.01,57.7338,1.4812,True,LS_DR10,18.332,0.0016,0.014,18.09,0.01,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20190711A_all/fit.log
20190714A,1,True,48,2.2053432,2.4642395183179704,0.784,20.24,0.01,3.98,0.07,0.5,0.06,0.4,0.01,-46.52,0.98,26.51,0.04,26.69,0.04,69.2952,0.722,True,LS_DR10,20.1195,0.0121,0.015,20.24,0.01,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20190714A_all/fit.log
20191001A,1,True,180,4.722102,5.72387184880433,3.289,18.41,0.0,5.95,0.02,0.51,0.01,0.54,0.0,-41.81,0.24,35.81,0.01,33.4,0.01,59.2068,0.0,True,LS_DR10,18.4416,0.0014,0.015,18.41,0.0,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20191001A_all/fit.log
20200430A,1,True,552,0.803767,0.8680524176470217,0.736,21.31,0.8,1.53,0.56,2.3,2.71,0.04,0.18,18.14,10.66,23.58,0.09,25.15,0.84,90.0,2.6837,True,LS_DR10,21.1385,0.0213,0.054,21.31,0.8,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20200430A_all/fit.log
20200906A,1,True,109,2.38346,2.748458136809212,0.984,20.13,0.01,5.97,0.05,0.65,0.02,0.34,0.0,32.87,0.33,28.59,0.02,32.43,0.03,73.7025,0.0,True,LS_DR10,20.0148,0.0051,0.071,20.13,0.01,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20200906A_all/fit.log
20210320C,1,True,51,2.6488025,3.054959543219091,0.727,19.8,0.02,3.68,0.08,1.13,0.07,0.7,0.02,-25.24,2.45,27.54,0.03,28.41,0.04,46.7917,1.6753,True,LS_DR10,19.7736,0.012,0.014,19.8,0.02,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20210320C_all/fit.log
20210410D,1,True,98,1.4852923,1.6438514861667424,0.904,21.12,0.14,5.44,1.65,6.0,1.91,0.34,0.04,56.08,2.1,26.86,0.06,26.45,0.05,73.7025,3.0314,True,LS_DR10,21.5893,0.0136,0.074,21.12,0.14,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20210410D_all/fit.log
20210807D,1,True,223,276.46588,233.0177609662217,0.929,15.93,0.19,91.95,19.51,3.58,0.25,0.72,0.01,-89.5,1.08,46.49,0.05,59.3,0.04,45.0955,0.8596,True,PS1_DR1,17.7876,0.049,0.283,15.93,0.19,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20210807D_all/fit.log
20211127I,1,True,43,905.0144,734.1415875665884,1.453,14.25,0.03,100.0,2.87,3.14,0.03,0.97,0.0,-30.94,3.47,83.83,0.02,81.7,0.02,14.3662,0.0,True,PS1_DR1,15.4947,0.024,0.236,14.25,0.03,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20211127I_all/fit.log
20211203C,1,True,136,0.8758775,0.9303755317296996,0.752,22.17,0.07,2.75,0.31,1.63,0.74,0.44,0.09,-12.35,6.07,22.4,0.1,24.38,0.14,66.4218,6.5076,True,LS_DR10,22.2289,0.0419,0.044,22.17,0.07,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20211203C_all/fit.log
20211212A,1,True,77,9.062544,11.291344324602274,7.731,16.46,0.01,12.85,0.09,1.09,0.01,0.83,0.0,-55.12,0.72,48.55,0.02,49.02,0.02,34.699,0.0,True,LS_DR10,16.5482,0.0008,0.163,16.46,0.01,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20211212A_all/fit.log
