survey,hips,kind,status,stamp,fits
hsc_deep_r,CDS/P/HSC/DR2/deep/r,fits,empty,,
hsc_wide_r,CDS/P/HSC/DR2/wide/r,fits,empty,,
hsc_wide_i,CDS/P/HSC/DR2/wide/i,fits,empty,,
hscla_r,CDS/P/HSCLA/2016/r,fits,empty,,
cfhtls_d_r,CDS/P/CFHTLS/D/r,fits,empty,,
cfhtls_w_r,CDS/P/CFHTLS/W/r,fits,empty,,
euclid_q1_vis,CDS/P/Euclid/Q1/VIS,fits,empty,,
euclid_q2_vis,CDS/P/Euclid/Q2/VIS,fits,http_400,,
hst_sdsr,CDS/P/HST/SDSSr,fits,empty,,
hst_i,CDS/P/HST/I,fits,empty,,
hst_wideV,CDS/P/HST/wideV,fits,empty,,
jwst_f150w,CDS/P/JWST/F150W,fits,empty,,
jwst_nircam,ESAVO/P/JWST/NIRCam_Imaging,fits,empty,,
cosmosweb_acs,CDS/P/COSMOS-Web/DR1/HST/ACS/F814W,fits,empty,,
ps1_r,CDS/P/PanSTARRS/DR1/r,fits,empty,,
ls_r,CDS/P/DESI-Legacy-Surveys/DR10/r,fits_status,ok,ok,C:\Users\lenovo\Desktop\Bhardwajetal_2024_nature_inclination_angle-main\pipeline_scripts\verification\alt_imaging\20190711A_true_host\ls_r.fits
kids_gri,CDS/P/KiDS/DR5/color-gri,color,empty,,
unions_r,CDS/P/CFIS/r,unions,http_400,,
hsc_das_pdr3,,das,http_401,,
des_r,CDS/P/DES-DR2/r,fits,empty,,
skymapper_r,CDS/P/skymapper-R,fits,ok,ok,C:\Users\lenovo\Desktop\Bhardwajetal_2024_nature_inclination_angle-main\pipeline_scripts\verification\alt_imaging\20190711A_true_host\skymapper_r.fits
skymapper_dr2_r,CDS/P/skymapper/dr2/r,fits,http_400,,
dss2_red,CDS/P/DSS2/red,fits,ok,ok,C:\Users\lenovo\Desktop\Bhardwajetal_2024_nature_inclination_angle-main\pipeline_scripts\verification\alt_imaging\20190711A_true_host\dss2_red.fits
decaps_dr2_r,CDS/P/DECaPS/DR2/r,fits,empty,,
delve_dr2_r,CDS/P/DELVE/DR2/r,fits,http_400,,
vphas_r,CDS/P/VPHAS/DR4/r,fits,empty,,
