frb,ra_deg,dec_deg,mag,hsc_deep_r_status,hsc_wide_r_status,hsc_wide_i_status,hscla_r_status,cfhtls_d_r_status,cfhtls_w_r_status,euclid_q1_vis_status,euclid_q2_vis_status,hst_sdsr_status,hst_i_status,hst_wideV_status,jwst_f150w_status,jwst_nircam_status,cosmosweb_acs_status,ps1_r_status,ls_r_status,kids_gri_status,unions_r_status,hsc_das_pdr3_status,hits,deeper_hits,stamp_fits,stamp_png
20180924B,326.105235868384,-40.9002526146074,20.24,empty,empty,empty,empty,empty,empty,empty,http_400,empty,empty,empty,empty,empty,empty,empty,ok,empty,http_400,http_401,ls_r,,,
20181112A,327.3484583333333,-52.97094444444445,21.98,empty,empty,empty,empty,empty,empty,empty,http_400,empty,empty,empty,empty,empty,empty,empty,ok,empty,http_400,http_401,ls_r,,,
20190102C,322.415208643486,-79.4757580984851,21.67,empty,empty,empty,empty,empty,empty,empty,http_400,empty,empty,empty,empty,empty,empty,empty,ok,empty,http_400,http_401,ls_r,,,
20190523A,207.064,72.471,21.72,empty,empty,empty,empty,empty,empty,empty,http_400,empty,empty,empty,empty,empty,empty,ok,empty,empty,http_400,http_401,ps1_r,,alt_imaging\mag20_22\20190523A_ps1_r.fits,alt_imaging\mag20_22\20190523A_ps1_r.png
20190714A,183.979524936268,-13.0210785237284,20.24,empty,empty,empty,empty,empty,empty,empty,http_400,empty,empty,empty,empty,empty,empty,ok,ok,empty,http_400,http_401,"ps1_r,ls_r",,alt_imaging\mag20_22\20190714A_ps1_r.fits,alt_imaging\mag20_22\20190714A_ps1_r.png
20200430A,229.7063770513408,12.37660650001851,21.31,empty,empty,empty,empty,empty,empty,empty,http_400,empty,empty,empty,empty,empty,empty,ok,ok,empty,http_400,http_401,"ps1_r,ls_r",,alt_imaging\mag20_22\20200430A_ps1_r.fits,alt_imaging\mag20_22\20200430A_ps1_r.png
20200906A,53.496,-14.083,20.13,empty,empty,empty,empty,empty,empty,empty,http_400,empty,empty,empty,empty,empty,empty,ok,ok,empty,http_400,http_401,"ps1_r,ls_r",,alt_imaging\mag20_22\20200906A_ps1_r.fits,alt_imaging\mag20_22\20200906A_ps1_r.png
20210410D,326.086,-79.318,21.12,empty,empty,empty,empty,empty,empty,empty,http_400,empty,empty,empty,empty,empty,empty,empty,ok,empty,http_400,http_401,ls_r,,,
20220105A,208.8038033684155,22.46647856902548,21.47,empty,empty,empty,empty,empty,empty,empty,http_400,empty,empty,empty,empty,empty,empty,ok,ok,empty,http_400,http_401,"ps1_r,ls_r",,alt_imaging\mag20_22\20220105A_ps1_r.fits,alt_imaging\mag20_22\20220105A_ps1_r.png
20220310F,134.721,73.491,20.83,empty,empty,empty,empty,empty,empty,empty,http_400,empty,empty,empty,empty,empty,empty,ok,empty,empty,http_400,http_401,ps1_r,,alt_imaging\mag20_22\20220310F_ps1_r.fits,alt_imaging\mag20_22\20220310F_ps1_r.png
