frb,ra_deg,dec_deg,mag,band,psi2_prime,psi2_prime_sig,hsc_deep_g_status,hsc_wide_g_status,unions_g_status,des_g_status,ls_g_status,chosen_survey,chosen_hips,stamp_fits,stamp_png,fetch_status
20171020A,333.8531,-19.5853,15.1,g,75.58804520301167,55.8142419349821,empty,empty,http_400,empty,ok,ls_g,CDS/P/DESI-Legacy-Surveys/DR10/g,alt_imaging\spirals\20171020A_ls_g.fits,alt_imaging\spirals\20171020A_ls_g.png,cached
20190608B,334.02040578312,-7.89886810526581,17.46,g,51.44266643214199,14.87264316570388,empty,empty,http_400,empty,ok,ls_g,CDS/P/DESI-Legacy-Surveys/DR10/g,alt_imaging\spirals\20190608B_ls_g.fits,alt_imaging\spirals\20190608B_ls_g.png,cached
20191001A,323.352187199872,-54.7477484912365,18.41,g,-98.91812408690724,-53.051718908300025,empty,empty,http_400,ok,ok,des_g,CDS/P/DES-DR2/g,alt_imaging\spirals\20191001A_des_g.fits,alt_imaging\spirals\20191001A_des_g.png,cached
20210807D,299.2214,-0.7624,15.93,g,-246.7855655939995,-83.07010668910924,empty,empty,http_400,empty,empty,,,,,no_coverage
20211127I,199.808,-18.838,14.25,g,81.35020819949364,68.96533128259362,empty,empty,http_400,empty,ok,ls_g,CDS/P/DESI-Legacy-Surveys/DR10/g,alt_imaging\spirals\20211127I_ls_g.fits,alt_imaging\spirals\20211127I_ls_g.png,cached
20211212A,157.351,1.361,16.46,g,99.39694752405047,189.51723050254176,empty,empty,http_400,empty,ok,ls_g,CDS/P/DESI-Legacy-Surveys/DR10/g,alt_imaging\spirals\20211212A_ls_g.fits,alt_imaging\spirals\20211212A_ls_g.png,cached
20220319D,32.17791666666667,71.03525,16.08,g,-42.52274665890477,-15.059029762520174,empty,empty,http_400,empty,empty,,,,,no_coverage
20220418A,219.106,70.095,20.88,g,-40.02471057862187,-3.37571364673076,empty,empty,http_400,empty,empty,,,,,no_coverage
20220825A,311.982,72.585,19.98,g,141.89385764374833,3.6810913314797946,empty,empty,http_400,empty,empty,,,,,no_coverage
20220912A,347.270174036462,48.7066182681479,19.52,g,102.77073410615098,4.004531820757656,empty,empty,http_400,empty,empty,,,,,no_coverage
20221101B,342.216,70.682,18.32,g,-51.911327408026494,-8.160806952299854,empty,empty,http_400,empty,empty,,,,,no_coverage
20230930A,10.507,41.417,8.9,g,79.85738353015644,70.07098713666512,empty,empty,http_400,empty,empty,,,,,no_coverage
20231120A,143.985,73.285,15.47,g,-88.8572102461733,-440.3827680487162,empty,empty,http_400,empty,empty,,,,,no_coverage
20231123B,242.538,70.785,18.59,g,-89.1542641265417,-28.3753396371552,empty,empty,http_400,empty,empty,,,,,no_coverage
20231226A,155.3638555002169,6.109703529304178,18.54,g,81.40079943440956,32.96870906451297,empty,empty,http_400,empty,ok,ls_g,CDS/P/DESI-Legacy-Surveys/DR10/g,alt_imaging\spirals\20231226A_ls_g.fits,alt_imaging\spirals\20231226A_ls_g.png,cached
20240201A,149.9060285226441,14.08873891497873,16.94,g,65.57088376502465,16.70133122742719,empty,empty,http_400,empty,ok,ls_g,CDS/P/DESI-Legacy-Surveys/DR10/g,alt_imaging\spirals\20240201A_ls_g.fits,alt_imaging\spirals\20240201A_ls_g.png,cached
20240210A,8.776929807980265,-28.27199737790098,14.5,g,-80.14457699478528,-547.1426895543426,empty,empty,http_400,ok,ok,des_g,CDS/P/DES-DR2/g,alt_imaging\spirals\20240210A_des_g.fits,alt_imaging\spirals\20240210A_des_g.png,cached
20240213A,166.168,74.075,18.35,g,98.54703275336746,18.55848868930308,empty,empty,http_400,empty,empty,,,,,no_coverage
20240318A,150.3935642798215,37.61643226592607,18.47,g,64.56331519062297,6.626645018540297,empty,empty,http_400,empty,empty,,,,,no_coverage
