frb,review_tier,flags,notes,chi2nu,mag,mag_err,re,n,b_a,inc,pa,parse_strategy,feedme_init_mag,log_n_sersic,log_sky,sky_qa_passed,output_dir
20171020A,A_degenerate,excluded_from_results_csv; high_chi2nu; multi_sersic_final,not in pipeline_galfit_results.csv — parse fit.log directly; chi2/nu=141959837.32; 2 Sérsic in last block,141959837.317,16.69,,26.01,,,,,,17.2845,2,67.22,,pipeline_scripts/Output/20171020A_all
20211127I,A_degenerate,mag_too_bright; bad_sky; sky_qa_failed,"mag=14.95 (typical hosts ~17–24 at J)=22.5); sky parameter 111.6 in fit.log; sky QA failed: ref=114.57002, final=111.57, tol=±3.0 ADU",0.491,14.95,0.08,55.79,2.77,0.96,16.6051,-57.57,last_sane_single_sersic,16.666,0,111.57,False,pipeline_scripts/Output/20211127I_all
20211212A,A_degenerate,high_chi2nu; non_sane_parser_block,chi2/nu=9.62; parser used last_block_first_sersic,9.621,16.47,0.01,12.86,1.08,0.83,34.699,-54.58,last_block_first_sersic,16.7605,1,-0.00309,True,pipeline_scripts/Output/20211212A_all
20220307B,A_degenerate,sky_qa_failed,"sky QA failed: ref=4.9941263, final=1.99, tol=±3.0 ADU",0.968,19.86,0.02,5.64,0.58,0.63,52.43,80.85,last_sane_single_sersic,19.9887,0,1.99,False,pipeline_scripts/Output/20220307B_all
20220319D,A_degenerate,n_at_ceiling; non_sane_parser_block; multi_sersic_final,n=6.00 at constraint max 6; parser used last_block_first_sersic; sky QA retried with constrained sky; 2 Sérsic components in last block (host may not be component 1),1.535,15.68,0.1,43.14,6.0,0.83,34.699,72.91,last_block_first_sersic,16.8374,2,77.93,True,pipeline_scripts/Output/20220319D_all
20220725A,A_degenerate,high_chi2nu,chi2/nu=6.78,6.778,18.14,0.0,6.59,0.92,0.59,55.4925,-60.06,last_sane_single_sersic,18.1045,0,0.000566,True,pipeline_scripts/Output/20220725A_all
20220912A,A_degenerate,bad_sky,sky parameter -15.97 in fit.log,0.943,19.52,0.03,5.23,0.86,0.63,52.43,36.29,last_sane_single_sersic,19.5084,0,-15.97,True,pipeline_scripts/Output/20220912A_all
20190611B,B_suspect,huge_n_err,,0.679,23.12,0.05,1.57,0.5,0.44,66.4218,-59.09,last_sane_single_sersic,23.2613,0,0.00018,True,pipeline_scripts/Output/20190611B_all
20190711A,B_suspect,n_at_ceiling,n=6.00 at constraint max 6,2.537,18.22,0.01,1.5,6.0,0.56,57.7338,-29.11,last_sane_single_sersic,18.3418,0,-0.000524,True,pipeline_scripts/Output/20190711A_all
20191001A,B_suspect,non_sane_parser_block,parser used last_block_first_sersic,2.909,18.5,0.01,5.25,2.03,0.69,47.6238,53.43,last_block_first_sersic,18.5235,1,0.000564,True,pipeline_scripts/Output/20191001A_all
20200430A,B_suspect,b_a_floor; inc_face_on; large_mag_uncert,b/a=0.040 → inclination pinned at 90°,0.736,21.22,1.05,1.6,2.06,0.04,90.0,17.99,last_sane_single_sersic,21.2913,0,-0.000108,True,pipeline_scripts/Output/20200430A_all
20200906A,B_suspect,b_a_floor; inc_face_on,b/a=0.110 → inclination pinned at 90°,2.926,19.89,0.06,3.31,0.87,0.11,90.0,32.75,last_sane_single_sersic,19.9052,0,0.000258,True,pipeline_scripts/Output/20200906A_all
20210410D,B_suspect,non_sane_parser_block,parser used last_block_first_sersic,1.944,19.91,0.02,5.29,2.18,0.57,56.9913,8.31,last_block_first_sersic,19.8584,1,0.000626,True,pipeline_scripts/Output/20210410D_all
20220105A,B_suspect,non_sane_parser_block,parser used last_block_first_sersic,0.91,21.86,0.05,2.88,1.24,0.75,42.4601,-46.38,last_block_first_sersic,21.9607,1,7.74e-05,True,pipeline_scripts/Output/20220105A_all
20220509G,B_suspect,excluded_from_results_csv; high_chi2nu,not in pipeline_galfit_results.csv — parse fit.log directly; chi2/nu=8.22,8.22,17.2,,1.5,,,,,,16.8925,1,-0.0011,,pipeline_scripts/Output/20220509G_all
20220914A,B_suspect,non_sane_parser_block,parser used last_block_first_sersic,1.169,21.3,0.01,1.5,0.5,0.23,83.3433,-24.41,last_block_first_sersic,21.1317,1,0.000365,True,pipeline_scripts/Output/20220914A_all
20221106A,B_suspect,b_a_floor; inc_face_on; non_sane_parser_block,b/a=0.090 → inclination pinned at 90°; parser used last_block_first_sersic,0.798,20.72,0.03,1.69,3.36,0.09,90.0,61.32,last_block_first_sersic,19.9159,1,-0.000296,True,pipeline_scripts/Output/20221106A_all
20230708A,B_suspect,n_at_ceiling; b_a_floor; inc_face_on,n=6.00 at constraint max 6; b/a=0.050 → inclination pinned at 90°,0.784,22.01,0.27,1.5,6.0,0.05,90.0,67.2,last_sane_single_sersic,22.2688,0,0.000153,True,pipeline_scripts/Output/20230708A_all
20240201A,B_suspect,inc_face_on,,1.647,17.01,0.0,18.43,0.6,0.18,90.0,62.2,last_sane_single_sersic,17.2486,0,0.00216,True,pipeline_scripts/Output/20240201A_all
20240210A,B_suspect,excluded_from_results_csv; high_chi2nu; mag_too_bright; multi_sersic_final,not in pipeline_galfit_results.csv — parse fit.log directly; chi2/nu=18.12; first sersic mag=14.69; 2 Sérsic in last block,18.117,14.69,,25.08,,,,,,15.4133,2,-0.00129,,pipeline_scripts/Output/20240210A_all
20240310A,B_suspect,b_a_floor; inc_face_on; non_sane_parser_block,b/a=0.110 → inclination pinned at 90°; parser used last_block_first_sersic,0.757,19.78,0.01,3.45,0.68,0.11,90.0,-14.1,last_block_first_sersic,19.6485,1,0.000268,True,pipeline_scripts/Output/20240310A_all
