frb,n_sersic_components,compare_ok,chi2nu_pipeline,chi2nu_master,chi2nu_delta,re_pipeline,re_master,re_delta,n_pipeline,n_master,n_delta,b_a_pipeline,b_a_master,b_a_delta,pa_pipeline,pa_master,pa_delta,inc_pipeline,inc_master,inc_delta
20180924B,1,True,0.735,0.745,-0.010000000000000009,3.51,3.47,0.03999999999999959,3.91,4.35,-0.4399999999999995,0.68,0.67,0.010000000000000009,-24.85,-24.16,-0.6900000000000013,48.4461,49.2591,-0.8129999999999953
20190102C,1,True,0.748,0.738,0.010000000000000009,3.91,3.92,-0.009999999999999787,0.5,0.5,0.0,0.42,0.43,-0.010000000000000009,4.0,3.96,0.040000000000000036,67.8558,67.1384,0.7173999999999978
20190608B,1,True,1.156,1.144,0.01200000000000001,7.43,7.24,0.1899999999999995,3.13,3.01,0.1200000000000001,0.7,0.7,0.0,-29.28,-29.26,-0.019999999999999574,46.7917,46.7917,0.0
20190611B,1,True,0.679,0.847,-0.16799999999999993,1.57,13.47,-11.9,0.5,6.0,-5.5,0.44,0.05,0.39,-59.09,64.82,-123.91,66.4218,90.0,-23.578199999999995
20190711A,1,True,2.537,13.666,-11.129000000000001,1.5,1.5,0.0,6.0,6.0,0.0,0.56,0.04,0.52,-29.11,44.7,-73.81,57.7338,90.0,-32.2662
20190714A,2,False,0.735,0.688,0.04700000000000004,4.0,4.0,0.0,0.5,0.5,0.0,0.4,0.4,0.0,-46.52,-46.83,0.30999999999999517,69.2952,69.2952,0.0
20191001A,2,False,2.428,6.218,-3.79,5.89,5.98,-0.09000000000000075,0.5,0.5,0.0,0.55,0.53,0.020000000000000018,-41.42,-42.11,0.6899999999999977,58.4722,59.938,-1.4658000000000015
20200430A,1,True,0.736,0.667,0.06899999999999995,1.6,1.5,0.10000000000000009,2.06,2.96,-0.8999999999999999,0.04,0.04,0.0,17.99,22.75,-4.760000000000002,90.0,90.0,0.0
20200906A,1,True,0.984,0.881,0.10299999999999998,5.97,5.98,-0.010000000000000675,0.65,0.66,-0.010000000000000009,0.34,0.34,0.0,32.87,32.83,0.03999999999999915,73.7025,73.7025,0.0
20210320C,1,True,0.727,0.729,-0.0020000000000000018,3.68,3.67,0.010000000000000231,1.13,1.12,0.009999999999999787,0.7,0.69,0.010000000000000009,-25.24,-24.78,-0.4599999999999973,46.7917,47.6238,-0.8321000000000041
