frb,inc_deg,cos_i,bin
20171020A,69.2952,0.3535532101146236,2
20190608B,46.7917,0.6846526988380223,5
20190711A,57.7338,0.5338536184908849,4
20191001A,58.4722,0.5229122055103099,4
20200906A,73.7025,0.28062482924731874,1
20210320C,46.7917,0.6846526988380223,5
20210807D,43.3518,0.727152425279475,6
20211127I,16.6051,0.9582971410352306,8
20211212A,34.699,0.8221539767075653,7
20220207C,83.3433,0.11592013741633006,1
20220307B,52.43,0.6097302383956642,4
20220319D,35.7441,0.8116341404359316,7
20220509G,57.7338,0.5338536184908849,4
20220725A,54.7356,0.577350416216075,4
20220825A,53.2047,0.5989579121256637,4
20220912A,52.43,0.6097302383956642,4
20220914A,59.938,0.5009368367513206,3
20220920A,31.387,0.8536689886394018,7
20221012A,59.938,0.5009368367513206,3
20221106A,49.2591,0.6526394240003702,5
20230124A,25.0341,0.906056102205881,8
20230307A,37.7612,0.7905698843165321,7
20230628A,45.9491,0.6952971380217203,5
20230907D,32.5235,0.8431710001692849,7
20231120A,81.1938,0.15309277199004703,1
20231123B,70.745,0.3297730313165027,2
20231226A,41.5539,0.748332041283934,6
20240104A,47.6238,0.6739955836636189,5
20240210A,55.4925,0.5665141099377411,4
20240213A,82.2182,0.13540085461655324,1
20240318A,67.1384,0.3885064784091498,2
