survey,mag_limit,sample_mode,stage,n_remaining,n_dropped,mag_column,q_column,exclude_sdss_ba_floor
legacy,21.0,strict,catalog_raw,500000,0,rmag,expAB_r,False
legacy,21.0,strict,after_mag_cut,43113,456887,rmag,expAB_r,False
legacy,21.0,strict,after_type_exclude,21205,21908,rmag,expAB_r,False
legacy,21.0,strict,after_legacy_gr,5980,15225,rmag,expAB_r,False
legacy,21.0,strict,after_legacy_spiral_morph,4577,1403,rmag,expAB_r,False
legacy,21.0,strict,after_strict_ba,4374,203,rmag,expAB_r,False
legacy,21.0,strict,final_pool,4374,0,rmag,expAB_r,False
sdss,21.0,strict,catalog_raw,501885,0,modelMag_r,expAB_r,False
sdss,21.0,strict,after_mag_cut,156343,345542,modelMag_r,expAB_r,False
sdss,21.0,strict,after_sdss_ur,54307,102036,modelMag_r,expAB_r,False
sdss,21.0,strict,after_sdss_exp_lnl_winner,29844,24463,modelMag_r,expAB_r,False
sdss,21.0,strict,after_strict_ba,27474,2370,modelMag_r,expAB_r,False
sdss,21.0,strict,final_pool,27474,0,modelMag_r,expAB_r,False
legacy,19.0,strict,catalog_raw,500000,0,rmag,expAB_r,False
legacy,19.0,strict,after_mag_cut,4910,495090,rmag,expAB_r,False
legacy,19.0,strict,after_type_exclude,3674,1236,rmag,expAB_r,False
legacy,19.0,strict,after_legacy_gr,938,2736,rmag,expAB_r,False
legacy,19.0,strict,after_legacy_spiral_morph,617,321,rmag,expAB_r,False
legacy,19.0,strict,after_strict_ba,593,24,rmag,expAB_r,False
legacy,19.0,strict,final_pool,593,0,rmag,expAB_r,False
sdss,19.0,strict,catalog_raw,501885,0,modelMag_r,expAB_r,False
sdss,19.0,strict,after_mag_cut,22156,479729,modelMag_r,expAB_r,False
sdss,19.0,strict,after_sdss_ur,5898,16258,modelMag_r,expAB_r,False
sdss,19.0,strict,after_sdss_exp_lnl_winner,3466,2432,modelMag_r,expAB_r,False
sdss,19.0,strict,after_strict_ba,2976,490,modelMag_r,expAB_r,False
sdss,19.0,strict,final_pool,2976,0,modelMag_r,expAB_r,False
legacy,17.0,strict,catalog_raw,500000,0,rmag,expAB_r,False
legacy,17.0,strict,after_mag_cut,492,499508,rmag,expAB_r,False
legacy,17.0,strict,after_type_exclude,383,109,rmag,expAB_r,False
legacy,17.0,strict,after_legacy_gr,101,282,rmag,expAB_r,False
legacy,17.0,strict,after_legacy_spiral_morph,69,32,rmag,expAB_r,False
legacy,17.0,strict,after_strict_ba,64,5,rmag,expAB_r,False
legacy,17.0,strict,final_pool,64,0,rmag,expAB_r,False
sdss,17.0,strict,catalog_raw,501885,0,modelMag_r,expAB_r,False
sdss,17.0,strict,after_mag_cut,2385,499500,modelMag_r,expAB_r,False
sdss,17.0,strict,after_sdss_ur,589,1796,modelMag_r,expAB_r,False
sdss,17.0,strict,after_sdss_exp_lnl_winner,346,243,modelMag_r,expAB_r,False
sdss,17.0,strict,after_strict_ba,249,97,modelMag_r,expAB_r,False
sdss,17.0,strict,final_pool,249,0,modelMag_r,expAB_r,False
legacy,16.0,strict,catalog_raw,500000,0,rmag,expAB_r,False
legacy,16.0,strict,after_mag_cut,154,499846,rmag,expAB_r,False
legacy,16.0,strict,after_type_exclude,104,50,rmag,expAB_r,False
legacy,16.0,strict,after_legacy_gr,27,77,rmag,expAB_r,False
legacy,16.0,strict,after_legacy_spiral_morph,16,11,rmag,expAB_r,False
legacy,16.0,strict,after_strict_ba,14,2,rmag,expAB_r,False
legacy,16.0,strict,final_pool,14,0,rmag,expAB_r,False
sdss,16.0,strict,catalog_raw,501885,0,modelMag_r,expAB_r,False
sdss,16.0,strict,after_mag_cut,772,501113,modelMag_r,expAB_r,False
sdss,16.0,strict,after_sdss_ur,184,588,modelMag_r,expAB_r,False
sdss,16.0,strict,after_sdss_exp_lnl_winner,114,70,modelMag_r,expAB_r,False
sdss,16.0,strict,after_strict_ba,82,32,modelMag_r,expAB_r,False
sdss,16.0,strict,final_pool,82,0,modelMag_r,expAB_r,False
legacy,15.0,strict,catalog_raw,500000,0,rmag,expAB_r,False
legacy,15.0,strict,after_mag_cut,55,499945,rmag,expAB_r,False
legacy,15.0,strict,after_type_exclude,28,27,rmag,expAB_r,False
legacy,15.0,strict,after_legacy_gr,4,24,rmag,expAB_r,False
legacy,15.0,strict,after_legacy_spiral_morph,2,2,rmag,expAB_r,False
legacy,15.0,strict,after_strict_ba,2,0,rmag,expAB_r,False
legacy,15.0,strict,final_pool,2,0,rmag,expAB_r,False
sdss,15.0,strict,catalog_raw,501885,0,modelMag_r,expAB_r,False
sdss,15.0,strict,after_mag_cut,218,501667,modelMag_r,expAB_r,False
sdss,15.0,strict,after_sdss_ur,50,168,modelMag_r,expAB_r,False
sdss,15.0,strict,after_sdss_exp_lnl_winner,33,17,modelMag_r,expAB_r,False
sdss,15.0,strict,after_strict_ba,21,12,modelMag_r,expAB_r,False
sdss,15.0,strict,final_pool,21,0,modelMag_r,expAB_r,False
