pool,metric,value
full_catalog,n_total,500000
full_catalog,n_exp_type,66683
full_catalog,n_n_in_range,466463
full_catalog,n_exp_or_n_range,466463
full_catalog,type_REX,396668
full_catalog,type_EXP,66683
full_catalog,type_DEV,25611
full_catalog,type_SER,11038
strict_gr_mag_lt_21,n_total,9387
strict_gr_mag_lt_21,n_exp_type,3494
strict_gr_mag_lt_21,n_n_in_range,7553
strict_gr_mag_lt_21,n_exp_or_n_range,7553
strict_gr_mag_lt_21,type_EXP,3494
strict_gr_mag_lt_21,type_REX,3179
strict_gr_mag_lt_21,type_SER,2147
strict_gr_mag_lt_21,type_DEV,567
cdf_eligible_exp_or_n,n_total,4374
cdf_eligible_exp_or_n,n_exp_type,3494
cdf_eligible_exp_or_n,n_n_in_range,4374
cdf_eligible_exp_or_n,n_exp_or_n_range,4374
cdf_eligible_exp_or_n,type_EXP,3494
cdf_eligible_exp_or_n,type_SER,880
