cos_i,00_strict_ba_gt_0p2,01_ur_lt_2p3,02_lnl_exp_wins,03_mag_lt_21
0.0,0.0,0.0,0.0,0.0
0.005,0.001472639352038685,0.001658313679245283,0.0014140905017921146,0.0010945309934692984
0.01,0.002442598925256473,0.0027085790094339623,0.0021001344086021504,0.0012039840928162282
0.015,0.0030974986371006,0.0034640330188679246,0.002800179211469534,0.0014593746579590644
0.02,0.0037736383395991307,0.004274764150943396,0.0035562275985663084,0.0015323433908570178
0.025,0.004563057992254483,0.005103920990566038,0.004214269713261649,0.0017512495895508774
0.03,0.005529477567029871,0.0062186762971698116,0.005264336917562724,0.0023349994527345035
0.035,0.006616257088846881,0.007388708726415095,0.006356406810035842,0.002918749315918129
0.04,0.00790481652188073,0.00875221108490566,0.0075324820788530466,0.0035389835455507316
0.045,0.009338515891053008,0.010281544811320755,0.00889056899641577,0.004195702141632311
0.05,0.011090815120041347,0.01213332841981132,0.010486671146953406,0.005107811302856726
0.055,0.012843114349029686,0.013874557783018868,0.011984767025089606,0.005946951731183188
0.06,0.014963573416027698,0.01626068691037736,0.014112903225806451,0.006932029625305557
0.065,0.017130052462776917,0.01859153891509434,0.016143033154121862,0.008026560618774855
0.07,0.01946645143476137,0.021023732311320754,0.018229166666666668,0.008975154146448247
0.075,0.02205419029615627,0.02390735554245283,0.02066532258064516,0.010215622605713452
0.08,0.024613609170011964,0.026496167452830188,0.02296146953405018,0.011820934729468423
0.085,0.027332327973775692,0.029342939268867923,0.025537634408602152,0.0135721843190193
0.09,0.03017494672302344,0.03218971108490566,0.02805779569892473,0.014849137144733482
0.095,0.03309190543956161,0.03544184846698113,0.030997983870967742,0.016563902367835382
0.1,0.03593098419036696,0.03851894162735849,0.033812163978494625,0.018388120690284213
0.105,0.03900016283992835,0.04169737617924528,0.036948364695340505,0.02035827647852895
0.11,0.042058721494162545,0.044921875,0.0399725582437276,0.022218979167426756
0.115,0.045227020100111155,0.04822928950471698,0.04306675627240143,0.024262103688569448
0.12,0.04835283872475096,0.05147221403301887,0.04592293906810036,0.026341712576161115
0.125,0.051648577274626,0.054927034198113206,0.04889112903225806,0.02896858696048743
0.13,0.05463987595845458,0.05814232016509434,0.05180331541218638,0.030683352183589332
0.135,0.05763117464228316,0.0613391804245283,0.054729502688172046,0.03221569557444635
0.14,0.060657873310535744,0.06449918926886793,0.05796370967741935,0.03422233572914006
0.145,0.06365979198969153,0.06773290094339622,0.061225918458781364,0.03630194461673173
0.15,0.06684225058940974,0.07107716686320754,0.06427811379928315,0.03812616293918056
0.155,0.0790517052172497,0.08426076061320754,0.07602486559139784,0.043452880440731145
0.16,0.0836183032079466,0.08896852889150944,0.08018313172043011,0.04578787989346565
0.165,0.08857784102574995,0.09422906839622641,0.08516745071684588,0.049399832171914335
0.17,0.09370375877034615,0.09937905365566038,0.08994175627240143,0.052318581487832465
0.17500000000000002,0.09858895662085909,0.1044921875,0.09468806003584229,0.05571162756758729
0.18,0.10376797434209128,0.10984485554245282,0.09972838261648745,0.059068189280893135
0.185,0.10872397216145224,0.11493035082547169,0.10441868279569892,0.06297201649093363
0.19,0.11340739010074835,0.11975788620283019,0.10880096326164874,0.06632857820423949
0.195,0.11817930800110447,0.12473282724056604,0.11330925179211469,0.0689554525885658
0.2,0.1229583058983454,0.12950508549528303,0.11785954301075269,0.07267685796636142
0.20500000000000002,0.1276452638360839,0.1344616008254717,0.12268985215053764,0.07658068517640192
0.21,0.13198176192802474,0.1392154333726415,0.12707213261648745,0.07986427815680981
0.215,0.13604214014145835,0.1436099646226415,0.1313144041218638,0.08329380860301361
0.22,0.14013437834087353,0.1479952830188679,0.1352486559139785,0.08613958918603379
0.225,0.14384075671006705,0.15171727594339623,0.13873487903225806,0.0887664635703601
0.23,0.15684317098900477,0.16549049233490565,0.15115367383512546,0.09474989966799227
0.23500000000000001,0.16238326855136184,0.17117482311320756,0.15674003136200718,0.09799700828195118
0.24,0.1684791458691758,0.1774856279481132,0.1623263888888889,0.10197380422488964
0.245,0.17433076329446415,0.18321602299528303,0.16749271953405018,0.1051479441059506
0.25,0.18056470055153176,0.18952682783018868,0.17317708333333334,0.10835856835346054
0.255,0.18668535785844254,0.19542305424528303,0.17877744175627241,0.11197052063190922
0.26,0.19285203514510454,0.20163251768867924,0.18460181451612903,0.11598380094129665
0.265,0.19838151271213442,0.20743661556603774,0.1898521505376344,0.120106534350031
0.27,0.20385435030408586,0.21275243219339623,0.1950464829749104,0.12411981465941845
0.275,0.20910770799260847,0.21816959021226415,0.20021281362007168,0.1282790324346018
0.28,0.21406724581041184,0.22327351120283018,0.20501512096774194,0.13247473457623407
0.28500000000000003,0.2189666036546944,0.2284511350235849,0.2100834453405018,0.1365244992520705
0.29,0.22327832175753842,0.23283645341981132,0.2144937275985663,0.1400999671640702
0.295,0.23730733558477235,0.24841538915094338,0.2293206765232975,0.14849137144733482
0.3,0.2438138527219048,0.25531581662735847,0.2360131048387097,0.15312488598635485
0.305,0.2508230496378582,0.2623360112028302,0.24249551971326164,0.15768543179247693
0.31,0.25766940662546106,0.26912588443396224,0.24893593189964158,0.1628662118282316
0.315,0.2642396437345568,0.27582362912735847,0.2551383288530466,0.1680105074975373
0.32,0.2711603406894501,0.28299122936320753,0.2621247759856631,0.17370206866357765
0.325,0.27777305777985456,0.2899377211084906,0.2684951836917563,0.1789558174322303
0.33,0.28400699503692217,0.29581552181603776,0.2740255376344086,0.1839541756357401
0.335,0.2898798524528649,0.3015551297169811,0.27944388440860213,0.188733627640556
0.34,0.2955190699716092,0.3075250589622642,0.28504424283154123,0.1935860483782699
0.34500000000000003,0.3006839276990718,0.312877727004717,0.2902105734767025,0.19803714108504505
0.35000000000000003,0.30519034571624787,0.3171801297169811,0.29445284498207885,0.2017220620963917
0.355,0.3179343401088904,0.3311468160377358,0.30877576164874554,0.20861760735524829
0.36,0.3244373172475804,0.3376879422169811,0.31518817204301075,0.2133970593600642
0.365,0.33132615421649214,0.3448186910377358,0.321922603046595,0.21824948009777811
0.37,0.3384981910607959,0.351940227004717,0.3283630152329749,0.22394104126381845
0.375,0.34569854789263893,0.35931972287735847,0.3352374551971326,0.2296326024298588
0.38,0.35256260487245383,0.36645968455188677,0.34212589605734767,0.23528767922945018
0.385,0.35928152191613033,0.37296395931603776,0.3482722894265233,0.2410157247619395
0.39,0.36549421918254354,0.37916420990566035,0.3541246639784946,0.24667080156153087
0.395,0.3713635366000439,0.3849590949292453,0.35976702508960573,0.25174212849793864
0.4,0.37687177417641937,0.3906987028301887,0.3653113799283154,0.25732423656463205
0.405,0.3818490119864347,0.39595002948113206,0.37043570788530467,0.2624320478674888
0.41000000000000003,0.38613949009862436,0.40041826356132076,0.375,0.26626290634463134
0.41500000000000004,0.3996764441423646,0.41509433962264153,0.39020497311827956,0.2746907949943449
0.42,0.40674582103183876,0.42228036556603776,0.3971774193548387,0.28103907475646683
0.425,0.4140877778013778,0.42954009433962265,0.40396785394265233,0.2874968076179357
0.43,0.42131645462075995,0.43679061025943394,0.4108562948028674,0.29293297821883324
0.435,0.428658411390299,0.44412404186320753,0.4177727374551971,0.29895289868291436
0.44,0.4354870683856899,0.4508033608490566,0.4241991487455197,0.30497281914699553
0.445,0.4421564254511728,0.4574274027122642,0.43080757168458783,0.3118683644058521
0.45,0.4487479025509229,0.4638764003537736,0.4369959677419355,0.31814367543507605
0.455,0.454518100012036,0.46987396816037735,0.44283434139784944,0.3238352366011164
0.46,0.4593501978859129,0.47446196933962265,0.44752464157706096,0.32905250100332006
0.465,0.4637079359685082,0.47879201061320753,0.45211693548387094,0.3347440621693604
0.47000000000000003,0.47614041049821937,0.49292452830188677,0.46769993279569894,0.3448867160421759
0.47500000000000003,0.48266816762600623,0.4995209316037736,0.47430835573476704,0.35127148017074683
0.48,0.4897021445310564,0.5063568691037735,0.48069276433691754,0.35751030683352186
0.485,0.49679984140806976,0.5134784050707547,0.4874411962365591,0.3645517895581743
0.49,0.5038798382928712,0.5205999410377359,0.49466565860215056,0.3715932722828268
0.495,0.5111509950935622,0.5278504569575472,0.5016801075268817,0.3785982706410303
0.5,0.5176999922120035,0.5339954304245284,0.5074484767025089,0.38447225363931553
0.505,0.524365809279044,0.5403891509433962,0.5138188844086021,0.39085701776788645
0.51,0.530348406646701,0.5465801886792453,0.5200772849462365,0.3979714692254369
0.515,0.5357044242900533,0.5518867924528302,0.5258876568100358,0.4036265460250283
0.52,0.5401152623492845,0.5562444722877359,0.53056395609319,0.40898974789302783
0.525,0.5520910770799261,0.5704230542452831,0.545908938172043,0.42000802656061875
0.53,0.5583568743229753,0.5764943248820755,0.5521673387096774,0.42646575942208764
0.535,0.5655607711532606,0.5837264150943396,0.5594198028673835,0.43449232004086247
0.54,0.5728000679679701,0.5903596698113207,0.566126232078853,0.4412784122003721
