mag_limit,n_pool,n_sample,n_draws,cdf_at_cosi_0.5,x_at_cdf_0.5,max_abs_diff_vs_full_ecdf,note
20.0,9581,31,10000,0.3600262781502862,0.595959595959596,0.019105130451598673,
20.0,9581,41,10000,0.35428286033054157,0.6060606060606061,0.014569213260334495,
20.0,9581,100,10000,0.3470454261551444,0.6060606060606061,0.007174041730818481,
20.0,9581,500,10000,0.3429693789449959,0.6060606060606061,0.0038832082061464046,
20.0,9581,2000,10000,0.34230043989646547,0.6060606060606061,0.003489796269971146,
20.0,9581,31,10000,0.3600262781502862,0.595959595959596,,production_overlay_exact
21.0,27409,41,10000,0.3897524004146946,0.5757575757575758,0.015234821584228064,
21.0,27409,100,10000,0.38343093346727203,0.5757575757575758,0.009495917963422307,
21.0,27409,500,10000,0.37954178860086385,0.5757575757575758,0.0047975918064634415,
21.0,27409,2000,10000,0.3786541472027575,0.5757575757575758,0.004365903729185772,
21.0,27409,41,10000,0.3897524004146946,0.5757575757575758,,production_overlay_exact
22.0,57867,41,10000,0.4790109461295202,0.5151515151515152,0.018145135714088823,
22.0,57867,49,10000,0.4755502487336041,0.5151515151515152,0.015385214662165414,
22.0,57867,100,10000,0.47129201409540655,0.5151515151515152,0.010391980645615695,
22.0,57867,500,10000,0.4672793358589075,0.5151515151515152,0.0062085760124368505,
22.0,57867,2000,10000,0.4665996600330621,0.5151515151515152,0.0057749950931592076,
22.0,57867,49,10000,0.4755502487336041,0.5151515151515152,,production_overlay_exact
