survey,sample_mode,mag_limit,n_null_pool,n_frb,output_dir
legacy,strict,24.0,21795,51,C:\Users\lenovo\Desktop\Bhardwajetal_2024_nature_inclination_angle-main\plots\plots_null\v1_null_cdf_inclination\mag_cuts\mag24\legacy_strict
sdss,strict,24.0,71383,51,C:\Users\lenovo\Desktop\Bhardwajetal_2024_nature_inclination_angle-main\plots\plots_null\v1_null_cdf_inclination\mag_cuts\mag24\sdss_strict
legacy,strict,23.0,19747,50,C:\Users\lenovo\Desktop\Bhardwajetal_2024_nature_inclination_angle-main\plots\plots_null\v1_null_cdf_inclination\mag_cuts\mag23\legacy_strict
sdss,strict,23.0,71122,50,C:\Users\lenovo\Desktop\Bhardwajetal_2024_nature_inclination_angle-main\plots\plots_null\v1_null_cdf_inclination\mag_cuts\mag23\sdss_strict
legacy,strict,22.0,11003,49,C:\Users\lenovo\Desktop\Bhardwajetal_2024_nature_inclination_angle-main\plots\plots_null\v1_null_cdf_inclination\mag_cuts\mag22\legacy_strict
sdss,strict,22.0,57867,49,C:\Users\lenovo\Desktop\Bhardwajetal_2024_nature_inclination_angle-main\plots\plots_null\v1_null_cdf_inclination\mag_cuts\mag22\sdss_strict
legacy,strict,21.0,4374,41,C:\Users\lenovo\Desktop\Bhardwajetal_2024_nature_inclination_angle-main\plots\plots_null\v1_null_cdf_inclination\mag_cuts\mag21\legacy_strict
sdss,strict,21.0,27409,41,C:\Users\lenovo\Desktop\Bhardwajetal_2024_nature_inclination_angle-main\plots\plots_null\v1_null_cdf_inclination\mag_cuts\mag21\sdss_strict
legacy,strict,20.0,1585,31,C:\Users\lenovo\Desktop\Bhardwajetal_2024_nature_inclination_angle-main\plots\plots_null\v1_null_cdf_inclination\mag_cuts\mag20\legacy_strict
sdss,strict,20.0,9581,31,C:\Users\lenovo\Desktop\Bhardwajetal_2024_nature_inclination_angle-main\plots\plots_null\v1_null_cdf_inclination\mag_cuts\mag20\sdss_strict
legacy,strict,19.0,593,23,C:\Users\lenovo\Desktop\Bhardwajetal_2024_nature_inclination_angle-main\plots\plots_null\v1_null_cdf_inclination\mag_cuts\mag19\legacy_strict
sdss,strict,19.0,2932,23,C:\Users\lenovo\Desktop\Bhardwajetal_2024_nature_inclination_angle-main\plots\plots_null\v1_null_cdf_inclination\mag_cuts\mag19\sdss_strict
legacy,strict,18.0,189,10,C:\Users\lenovo\Desktop\Bhardwajetal_2024_nature_inclination_angle-main\plots\plots_null\v1_null_cdf_inclination\mag_cuts\mag18\legacy_strict
sdss,strict,18.0,923,10,C:\Users\lenovo\Desktop\Bhardwajetal_2024_nature_inclination_angle-main\plots\plots_null\v1_null_cdf_inclination\mag_cuts\mag18\sdss_strict
legacy,strict,17.0,64,7,C:\Users\lenovo\Desktop\Bhardwajetal_2024_nature_inclination_angle-main\plots\plots_null\v1_null_cdf_inclination\mag_cuts\mag17\legacy_strict
sdss,strict,17.0,237,7,C:\Users\lenovo\Desktop\Bhardwajetal_2024_nature_inclination_angle-main\plots\plots_null\v1_null_cdf_inclination\mag_cuts\mag17\sdss_strict
legacy,strict,16.0,14,5,C:\Users\lenovo\Desktop\Bhardwajetal_2024_nature_inclination_angle-main\plots\plots_null\v1_null_cdf_inclination\mag_cuts\mag16\legacy_strict
sdss,strict,16.0,83,5,C:\Users\lenovo\Desktop\Bhardwajetal_2024_nature_inclination_angle-main\plots\plots_null\v1_null_cdf_inclination\mag_cuts\mag16\sdss_strict
legacy,strict,15.0,2,2,C:\Users\lenovo\Desktop\Bhardwajetal_2024_nature_inclination_angle-main\plots\plots_null\v1_null_cdf_inclination\mag_cuts\mag15\legacy_strict
sdss,strict,15.0,22,2,C:\Users\lenovo\Desktop\Bhardwajetal_2024_nature_inclination_angle-main\plots\plots_null\v1_null_cdf_inclination\mag_cuts\mag15\sdss_strict
