bin_label,mag_lo,mag_hi,n_galaxies,frac_of_pool_pct,median_ba,mean_ba
< 15,,15.0,52,0.0104,0.8219,0.6263
15–15.5,15.0,15.5,231,0.0462,0.8996,0.8433
15.5–16,15.5,16.0,209,0.0418,0.9338,0.8487
16–16.5,16.0,16.5,147,0.0294,0.7933,0.6694
16.5–17,16.5,17.0,221,0.0442,0.641,0.5617
17–17.5,17.0,17.5,479,0.0958,0.5888,0.5429
17.5–18,17.5,18.0,945,0.189,0.5645,0.5229
18–18.5,18.0,18.5,1766,0.3532,0.5792,0.5346
18.5–19,18.5,19.0,3110,0.622,0.5846,0.5269
19–19.5,19.0,19.5,5432,1.0864,0.6003,0.5489
19.5–20,19.5,20.0,8926,1.7852,0.6131,0.5607
20–20.5,20.0,20.5,14551,2.9102,0.6017,0.556
20.5–21,20.5,21.0,22780,4.556,0.6142,0.5754
21–21.5,21.0,21.5,37017,7.4034,0.6034,0.5733
21.5–22,21.5,22.0,55573,11.1146,0.6632,0.6139
22–22.5,22.0,22.5,83603,16.7206,0.6658,0.6147
22.5–23,22.5,23.0,111338,22.2676,0.7224,0.6804
23–23.5,23.0,23.5,104529,20.9058,0.7065,0.6832
23.5–24,23.5,24.0,33911,6.7822,0.6973,0.6812
24–24.5,24.0,24.5,6974,1.3948,0.6883,0.6604
24.5–25,24.5,25.0,4292,0.8584,0.1508,0.2957
25–25.5,25.0,25.5,1455,0.291,0.1031,0.253
25.5–26,25.5,26.0,782,0.1564,0.0928,0.2313
26–26.5,26.0,26.5,430,0.086,0.0856,0.2207
26.5–27,26.5,27.0,248,0.0496,0.0871,0.2206
27–27.5,27.0,27.5,174,0.0348,0.077,0.2163
27.5–28,27.5,28.0,141,0.0282,0.05,0.1697
28–28.5,28.0,28.5,103,0.0206,0.0532,0.1708
28.5–29,28.5,29.0,95,0.019,0.05,0.1453
29–29.5,29.0,29.5,79,0.0158,0.05,0.1564
29.5–30,29.5,30.0,55,0.011,0.05,0.1424
30–30.5,30.0,30.5,46,0.0092,0.0499,0.1136
30.5–31,30.5,31.0,46,0.0092,0.05,0.1309
31–31.5,31.0,31.5,29,0.0058,0.0457,0.1405
31.5–32,31.5,32.0,31,0.0062,0.05,0.0838
32–32.5,32.0,32.5,25,0.005,0.05,0.1045
32.5–33,32.5,33.0,27,0.0054,0.05,0.1185
33–33.5,33.0,33.5,28,0.0056,0.05,0.1361
33.5–34,33.5,34.0,16,0.0032,0.05,0.1294
34–34.5,34.0,34.5,25,0.005,0.05,0.1645
34.5–35,34.5,35.0,9,0.0018,0.1062,0.1879
35–35.5,35.0,35.5,12,0.0024,0.0698,0.1464
35.5–36,35.5,36.0,12,0.0024,0.05,0.1051
36–36.5,36.0,36.5,10,0.002,0.05,0.1507
36.5–37,36.5,37.0,5,0.001,0.05,0.0483
37–37.5,37.0,37.5,10,0.002,0.05,0.1256
37.5–38,37.5,38.0,8,0.0016,0.05,0.1023
38–38.5,38.0,38.5,6,0.0012,0.05,0.0853
38.5–39,38.5,39.0,4,0.0008,0.05,0.0523
39–39.5,39.0,39.5,3,0.0006,0.05,0.0534
