survey,scaled,strict_ba_gt_q0,q0,mag_limit,mode,n,median_cosi,median_ba,min_ba
LS,True,True,0.2,20.0,raw,24486,0.6163,0.5176,0.2
LS,True,True,0.2,20.0,a1,34340,0.5271,0.4546,0.2
LS,True,True,0.2,20.0,survival,10733,0.5403,0.4638,0.2
LS,True,True,0.2,21.0,raw,137274,0.5728,0.4867,0.2
LS,True,True,0.2,21.0,a1,184142,0.5094,0.4424,0.2
LS,True,True,0.2,21.0,survival,67884,0.5201,0.4498,0.2
LS,True,True,0.2,22.0,raw,522951,0.537,0.4616,0.2
LS,True,True,0.2,22.0,a1,639380,0.5062,0.4402,0.2
LS,True,True,0.2,22.0,survival,311208,0.5051,0.4394,0.2
DES,False,True,0.2,20.0,raw,6197,0.6472,0.665,0.2001
DES,False,True,0.2,20.0,a1,7258,0.5902,0.6119,0.2001
DES,False,True,0.2,20.0,survival,3314,0.5956,0.6169,0.2001
DES,False,True,0.2,21.0,raw,21789,0.6239,0.6432,0.2001
DES,False,True,0.2,21.0,a1,24820,0.5783,0.6009,0.2001
DES,False,True,0.2,21.0,survival,11817,0.5823,0.6046,0.2001
DES,False,True,0.2,22.0,raw,60456,0.6284,0.6473,0.2001
DES,False,True,0.2,22.0,a1,65548,0.6052,0.6258,0.2001
DES,False,True,0.2,22.0,survival,36442,0.5787,0.6012,0.2001
HSC,False,True,0.2,20.0,raw,2503,0.5871,0.609,0.201
HSC,False,True,0.2,20.0,a1,3116,0.5213,0.5485,0.201
HSC,False,True,0.2,20.0,survival,989,0.4799,0.511,0.201
HSC,False,True,0.2,21.0,raw,11789,0.5849,0.607,0.201
HSC,False,True,0.2,21.0,a1,13685,0.5382,0.564,0.201
HSC,False,True,0.2,21.0,survival,5739,0.5251,0.552,0.201
HSC,False,True,0.2,22.0,raw,36789,0.5763,0.599,0.201
HSC,False,True,0.2,22.0,a1,41007,0.5448,0.57,0.201
HSC,False,True,0.2,22.0,survival,21565,0.5437,0.569,0.201
