frb,b_a,b_a_err,inc,inc_err,mag_final,mag,cosi_point
20171020A,0.4,0.0,69.2952,0.0,15.1,15.1,0.3535533905932738
20180924B,0.68,0.01,48.4461,0.8176,20.32,20.32,0.66332495807108
20190608B,0.7,0.0,46.7917,0.0,17.53,17.53,0.6846531968814576
20190711A,0.56,0.02,57.7338,1.4812,18.22,18.22,0.5338539126015657
20190714A,0.4,0.01,69.2952,0.722,20.39,20.39,0.3535533905932738
20191001A,0.55,0.0,58.4722,0.0,18.53,18.53,0.5229125165837972
20200906A,0.34,0.0,73.7025,0.0,19.89,19.89,0.2806243040080456
20210320C,0.7,0.02,46.7917,1.6753,19.82,19.82,0.6846531968814576
20210807D,0.74,0.01,43.3518,0.8849,17.48,17.48,0.7271519786124493
20211127I,0.96,0.01,16.6051,2.1087,14.95,14.95,0.9582971007643367
20211212A,0.83,0.0,34.699,0.0,16.51,16.51,0.8221541826202674
20220207C,0.23,0.0,83.3433,0.0,18.14,18.14,0.11592023119369628
20220307B,0.63,0.03,52.43,2.336,19.86,19.86,0.6097301315609499
20220310F,0.69,0.03,47.6238,2.484,20.95,20.95,0.6739961671503283
20220319D,0.82,0.01,35.7441,1.0326,15.88,15.88,0.8116341540373962
20220418A,0.76,0.02,41.5539,1.829,20.96,20.96,0.7483314773547882
20220509G,0.56,0.0,57.7338,0.0,16.8,16.8,0.5338539126015657
20220725A,0.6,0.0,54.7356,0.0,18.12,18.12,0.5773502691896257
20220825A,0.62,0.05,53.2047,3.8661,19.97,19.97,0.598957427535547
20220912A,0.63,0.03,52.43,2.336,19.52,19.52,0.6097301315609499
20220914A,0.53,0.01,59.938,0.7296,19.71,19.71,0.500936622737847
20220920A,0.86,0.0,31.387,0.0,18.13,18.13,0.8536685539481936
20221012A,0.53,0.0,59.938,0.0,18.98,18.98,0.500936622737847
20221106A,0.67,0.0,49.2591,0.0,18.18,18.18,0.6526388741103307
20230124A,0.91,0.01,25.0341,1.4187,18.59,18.59,0.9060560137210062
20230307A,0.8,0.01,37.7612,0.9865,18.17,18.17,0.7905694150420949
20230526A,0.7,0.03,46.7917,2.5145,20.41,20.41,0.6846531968814576
20230613A,0.84,0.01,33.6264,1.0877,20.31,20.31,0.8326663997864531
20230626A,0.74,0.03,43.3518,2.6585,20.01,20.01,0.7271519786124493
20230628A,0.71,0.01,45.9491,0.8481,19.55,19.55,0.695296699258669
20230907D,0.85,0.01,32.5235,1.1197,19.38,19.38,0.8431710977020025
20230930A,0.77,0.0,40.6322,0.0,17.4763,10.33,0.758905461833027
20231120A,0.25,0.0,81.1938,0.0,15.45,15.45,0.15309310892394862
20231123B,0.38,0.0,70.745,0.0,18.6,18.6,0.32977264895682296
20231220A,0.21,0.04,86.253,4.4031,20.21,20.21,0.06535161308899207
20231226A,0.76,0.01,41.5539,0.9139,18.58,18.58,0.7483314773547882
20240210A,0.59,0.0,55.4925,0.0,14.55,14.55,0.5665134596812329
20240213A,0.24,0.0,82.2182,0.0,18.32,18.32,0.13540064007726596
20240215A,0.48,0.02,63.5545,1.4374,20.07,20.07,0.44534630719624624
20240229A,0.63,0.07,52.43,5.4711,20.85,20.85,0.6097301315609499
20240318A,0.43,0.0,67.1384,0.0,18.32,18.32,0.3885067566980013
