frb,leg,q_source,q,q_err,q_sky_plus,q_sky_minus,sigma_q_sky,sky_missing,sky_path,mag,wkdir,sigma_q_5deg,sigma_q_A,sigma_q_B,cosi_point
20171020A,production,production,0.4,0,0.398,0.3993,0.00065,False,pipeline_scripts/verification/outputs/per_host/20171020A/sky.json,15.1,pipeline_scripts/Output/20171020A_all,0.0687553,0,0.0687583,0.353553
20180924B,production,production,0.68,0.01,0.674,0.6842,0.0051,False,pipeline_scripts/verification/outputs/per_host/20180924B/sky.json,20.24,pipeline_scripts/Output/20180924B_all,0.0610331,0.1,0.0620568,0.663325
20181112A,n1,refit:n1,0.8621,0.0489,0.8583,0.8646,0.00315,False,pipeline_scripts/verification/Re-fits/20181112A/n1/sky.json,21.98,pipeline_scripts/verification/Re-fits/20181112A/n1,0.0429483,0.489,0.0651589,0.855872
20190102C,sky,refit:sky,0.3471,0.0457,0.1859,0.4317,0.1229,False,pipeline_scripts/verification/Re-fits/20190102C/sky/sky.json,21.67,pipeline_scripts/verification/Re-fits/20190102C/sky,0.0660848,0.457,0.146834,0.289537
20190523A,n1,refit:n1,0.7246,0.0859,0.6994,0.7451,0.02285,False,pipeline_scripts/verification/Re-fits/20190523A/n1/sky.json,21.72,pipeline_scripts/verification/Re-fits/20190523A/n1,0.0576995,0.859,0.105972,0.710813
20190608B,production,production,0.7,0,0.6978,0.6997,0.00095,False,pipeline_scripts/verification/outputs/per_host/20190608B/sky.json,17.46,pipeline_scripts/Output/20190608B_all,0.0596088,0,0.0596164,0.684653
20190714A,production,production,0.4,0.01,0.3973,0.4021,0.0024,False,pipeline_scripts/verification/outputs/per_host/20190714A/sky.json,20.24,pipeline_scripts/Output/20190714A_all,0.0687553,0.1,0.0695201,0.353553
20191001A,production,production,0.54,0,0.5413,0.5426,0.00065,False,pipeline_scripts/verification/outputs/per_host/20191001A/sky.json,18.41,pipeline_scripts/Output/20191001A_all,0.0680148,0,0.0680179,0.511941
20200906A,production,production,0.34,0,0.3373,0.3384,0.00055,False,pipeline_scripts/verification/outputs/per_host/20200906A/sky.json,20.13,pipeline_scripts/Output/20200906A_all,0.065508,0,0.0655103,0.280624
20210320C,production,production,0.7,0.02,0.7023,0.7024,5e-05,False,pipeline_scripts/verification/outputs/per_host/20210320C/sky.json,19.8,pipeline_scripts/Output/20210320C_all,0.0596088,0.2,0.0628746,0.684653
20210410D,n1_sky,refit:n1_sky,0.3904,0.0359,0.3044,0.4622,0.0789,False,pipeline_scripts/verification/Re-fits/20210410D/n1_sky/sky.json,21.12,pipeline_scripts/verification/Re-fits/20210410D/n1_sky,0.0684466,0.359,0.110449,0.342193
20210807D,n1,refit:n1,0.7103,0.0065,0.7067,0.7141,0.0037,False,pipeline_scripts/verification/Re-fits/20210807D/n1/sky.json,15.93,pipeline_scripts/verification/Re-fits/20210807D/n1,0.0588311,0.065,0.0593046,0.695616
20211127I,n1,refit:n1,0.9734,0.0033,0.9705,0.9763,0.0029,False,pipeline_scripts/verification/Re-fits/20211127I/n1/sky.json,14.25,pipeline_scripts/verification/Re-fits/20211127I/n1,0.0195391,0.033,0.0200269,0.972276
20211212A,production,production,0.83,0,0.8285,0.8289,0.0002,False,pipeline_scripts/verification/outputs/per_host/20211212A/sky.json,16.46,pipeline_scripts/Output/20211212A_all,0.0471646,0,0.047165,0.822154
20220207C,production,production,0.23,0,0.2265,0.231,0.00225,False,pipeline_scripts/verification/outputs/per_host/20220207C/sky.json,18.12,pipeline_scripts/Output/20220207C_all,0.0397057,0,0.0397694,0.11592
20220307B,production,production,0.63,0.03,0.6171,0.6469,0.0149,False,pipeline_scripts/verification/outputs/per_host/20220307B/sky.json,19.87,pipeline_scripts/Output/20220307B_all,0.0641206,0.3,0.0723426,0.60973
20220310F,production,production,0.69,0.03,0.6844,0.6921,0.00385,False,pipeline_scripts/verification/outputs/per_host/20220310F/sky.json,20.83,pipeline_scripts/Output/20220310F_all,0.0603349,0.3,0.0674917,0.673996
20220319D,production,production,0.8,0.01,0.7912,0.8139,0.01135,False,pipeline_scripts/verification/outputs/per_host/20220319D/sky.json,16.08,pipeline_scripts/Output/20220319D_all,0.0506139,0.1,0.052826,0.790569
20220418A,production,production,0.76,0.02,0.7524,0.7576,0.0026,False,pipeline_scripts/verification/outputs/per_host/20220418A/sky.json,20.88,pipeline_scripts/Output/20220418A_all,0.0546228,0.2,0.0582272,0.748331
20220501C,n1,refit:n1,0.5458,0.1971,0.5487,0.5471,0.0008,False,pipeline_scripts/verification/Re-fits/20220501C/n1/sky.json,21.8,pipeline_scripts/verification/Re-fits/20220501C/n1,0.0678308,1.971,0.208447,0.518308
20220509G,psf,refit:psf,0.5436,0.0013,0.5434,0.5439,0.00025,False,pipeline_scripts/verification/Re-fits/20220509G/sandbox/sky.json,16.66,pipeline_scripts/verification/Re-fits/20220509G/sandbox,0.0679017,0.013,0.0679146,0.515894
