bin_label,mag_lo,mag_hi,n_galaxies,frac_of_pool_pct,median_ba,mean_ba
< 15,,15.0,0,0.0,,
15–15.5,15.0,15.5,0,0.0,,
15.5–16,15.5,16.0,0,0.0,,
16–16.5,16.0,16.5,0,0.0,,
16.5–17,16.5,17.0,1,0.0007,0.308,0.308
17–17.5,17.0,17.5,0,0.0,,
17.5–18,17.5,18.0,4,0.0029,0.481,0.5117
18–18.5,18.0,18.5,50,0.0357,0.5905,0.5716
18.5–19,18.5,19.0,233,0.1664,0.555,0.5478
19–19.5,19.0,19.5,691,0.4935,0.582,0.5792
19.5–20,19.5,20.0,1604,1.1456,0.6135,0.5962
20–20.5,20.0,20.5,3250,2.3211,0.604,0.5946
20.5–21,20.5,21.0,6226,4.4465,0.597,0.5928
21–21.5,21.0,21.5,10056,7.1818,0.593,0.5923
21.5–22,21.5,22.0,15326,10.9456,0.588,0.592
22–22.5,22.0,22.5,20563,14.6858,0.575,0.5838
22.5–23,22.5,23.0,24240,17.3118,0.564,0.579
23–23.5,23.0,23.5,24857,17.7525,0.563,0.5779
23.5–24,23.5,24.0,19246,13.7452,0.577,0.5879
24–24.5,24.0,24.5,8798,6.2834,0.597,0.6033
24.5–25,24.5,25.0,3984,2.8453,0.618,0.6246
25–25.5,25.0,25.5,789,0.5635,0.634,0.6399
25.5–26,25.5,26.0,94,0.0671,0.6375,0.6518
26–26.5,26.0,26.5,6,0.0043,0.638,0.6282
26.5–27,26.5,27.0,2,0.0014,0.567,0.567
