bin_label,mag_lo,mag_hi,n_galaxies,frac_of_pool_pct,median_ba,mean_ba
< 15,,15.0,0,0.0,,
15–15.5,15.0,15.5,1,0.0002,0.739,0.739
15.5–16,15.5,16.0,3,0.0006,0.785,0.732
16–16.5,16.0,16.5,8,0.0016,0.7815,0.6917
16.5–17,16.5,17.0,40,0.008,0.733,0.7058
17–17.5,17.0,17.5,96,0.0192,0.771,0.7236
17.5–18,17.5,18.0,339,0.0678,0.753,0.7168
18–18.5,18.0,18.5,898,0.1796,0.703,0.6799
18.5–19,18.5,19.0,2182,0.4364,0.663,0.6449
19–19.5,19.0,19.5,4185,0.8371,0.663,0.6414
19.5–20,19.5,20.0,6984,1.3969,0.652,0.6296
20–20.5,20.0,20.5,11175,2.2352,0.646,0.6271
20.5–21,20.5,21.0,17363,3.4729,0.636,0.6235
21–21.5,21.0,21.5,25310,5.0624,0.63,0.6191
21.5–22,21.5,22.0,36775,7.3556,0.623,0.6153
22–22.5,22.0,22.5,49755,9.9519,0.611,0.608
22.5–23,22.5,23.0,64323,12.8657,0.603,0.6035
23–23.5,23.0,23.5,78826,15.7666,0.602,0.6035
23.5–24,23.5,24.0,82705,16.5425,0.608,0.6088
24–24.5,24.0,24.5,57939,11.5888,0.621,0.6198
24.5–25,24.5,25.0,42996,8.6,0.631,0.6296
25–25.5,25.0,25.5,13667,2.7336,0.643,0.6401
25.5–26,25.5,26.0,3350,0.6701,0.653,0.649
26–26.5,26.0,26.5,664,0.1328,0.646,0.6457
26.5–27,26.5,27.0,228,0.0456,0.637,0.6295
27–27.5,27.0,27.5,74,0.0148,0.6165,0.6244
27.5–28,27.5,28.0,29,0.0058,0.625,0.6361
28–28.5,28.0,28.5,16,0.0032,0.5625,0.6148
28.5–29,28.5,29.0,5,0.001,0.584,0.608
29–29.5,29.0,29.5,8,0.0016,0.668,0.7125
29.5–30,29.5,30.0,3,0.0006,0.612,0.6183
30–30.5,30.0,30.5,3,0.0006,0.48,0.5343
30.5–31,30.5,31.0,1,0.0002,0.521,0.521
31–31.5,31.0,31.5,3,0.0006,0.564,0.5523
31.5–32,31.5,32.0,0,0.0,,
32–32.5,32.0,32.5,0,0.0,,
32.5–33,32.5,33.0,1,0.0002,0.589,0.589
33–33.5,33.0,33.5,0,0.0,,
33.5–34,33.5,34.0,0,0.0,,
34–34.5,34.0,34.5,0,0.0,,
34.5–35,34.5,35.0,0,0.0,,
35–35.5,35.0,35.5,0,0.0,,
35.5–36,35.5,36.0,0,0.0,,
36–36.5,36.0,36.5,0,0.0,,
36.5–37,36.5,37.0,0,0.0,,
37–37.5,37.0,37.5,0,0.0,,
37.5–38,37.5,38.0,0,0.0,,
38–38.5,38.0,38.5,1,0.0002,0.799,0.799
