bin_label,mag_lo,mag_hi,n_galaxies,frac_of_pool_pct,median_ba,mean_ba
< 15,,15.0,29,0.0014,0.2559,0.3009
15–15.5,15.0,15.5,19,0.0009,0.1259,0.1875
15.5–16,15.5,16.0,26,0.0013,0.4814,0.4049
16–16.5,16.0,16.5,54,0.0027,0.3914,0.4302
16.5–17,16.5,17.0,137,0.0069,0.6367,0.5355
17–17.5,17.0,17.5,220,0.011,0.5893,0.5263
17.5–18,17.5,18.0,430,0.0215,0.5183,0.504
18–18.5,18.0,18.5,1031,0.0515,0.5285,0.5152
18.5–19,18.5,19.0,2532,0.1266,0.5403,0.5189
19–19.5,19.0,19.5,6388,0.3194,0.5222,0.5084
19.5–20,19.5,20.0,15997,0.7998,0.4996,0.4897
20–20.5,20.0,20.5,38070,1.9035,0.4833,0.4753
20.5–21,20.5,21.0,81068,4.0534,0.4649,0.4616
21–21.5,21.0,21.5,150906,7.5453,0.4521,0.4516
21.5–22,21.5,22.0,247402,12.3701,0.4461,0.4463
22–22.5,22.0,22.5,345843,17.2921,0.4458,0.4452
22.5–23,22.5,23.0,394498,19.7249,0.4455,0.4439
23–23.5,23.0,23.5,359925,17.9962,0.4446,0.4417
23.5–24,23.5,24.0,238334,11.9167,0.4407,0.436
24–24.5,24.0,24.5,90148,4.5074,0.4363,0.4311
24.5–25,24.5,25.0,20297,1.0149,0.4326,0.4243
25–25.5,25.0,25.5,4192,0.2096,0.4236,0.4054
25.5–26,25.5,26.0,1167,0.0583,0.4032,0.3651
26–26.5,26.0,26.5,516,0.0258,0.3708,0.3269
26.5–27,26.5,27.0,296,0.0148,0.3038,0.3022
27–27.5,27.0,27.5,155,0.0077,0.2541,0.2789
27.5–28,27.5,28.0,110,0.0055,0.2716,0.2986
28–28.5,28.0,28.5,80,0.004,0.2714,0.2918
28.5–29,28.5,29.0,48,0.0024,0.2345,0.2766
29–29.5,29.0,29.5,33,0.0016,0.2505,0.3055
29.5–30,29.5,30.0,19,0.0009,0.1988,0.2631
30–30.5,30.0,30.5,11,0.0006,0.2355,0.3102
30.5–31,30.5,31.0,6,0.0003,0.3145,0.293
31–31.5,31.0,31.5,7,0.0003,0.2041,0.3059
31.5–32,31.5,32.0,2,0.0001,0.4073,0.4073
32–32.5,32.0,32.5,1,0.0001,0.3552,0.3552
32.5–33,32.5,33.0,0,0.0,,
33–33.5,33.0,33.5,0,0.0,,
33.5–34,33.5,34.0,1,0.0001,0.062,0.062
34–34.5,34.0,34.5,1,0.0001,0.2077,0.2077
34.5–35,34.5,35.0,0,0.0,,
35–35.5,35.0,35.5,0,0.0,,
35.5–36,35.5,36.0,1,0.0001,0.2183,0.2183
