bin_label,mag_lo,mag_hi,n_galaxies,frac_of_pool_pct,median_ba,mean_ba
< 15,,15.0,29,0.0015,0.3199,0.3761
15–15.5,15.0,15.5,19,0.001,0.1574,0.2344
15.5–16,15.5,16.0,23,0.0012,0.3075,0.4301
16–16.5,16.0,16.5,48,0.0024,0.4249,0.47
16.5–17,16.5,17.0,113,0.0057,0.6479,0.5845
17–17.5,17.0,17.5,199,0.01,0.6863,0.6159
17.5–18,17.5,18.0,385,0.0193,0.5942,0.5779
18–18.5,18.0,18.5,952,0.0477,0.6255,0.6095
18.5–19,18.5,19.0,2389,0.1196,0.6509,0.6246
19–19.5,19.0,19.5,6185,0.3096,0.6411,0.6218
19.5–20,19.5,20.0,15733,0.7875,0.619,0.6048
20–20.5,20.0,20.5,37790,1.8916,0.6016,0.5908
20.5–21,20.5,21.0,80805,4.0447,0.5802,0.5755
21–21.5,21.0,21.5,150673,7.5419,0.5648,0.5638
21.5–22,21.5,22.0,247251,12.3761,0.5575,0.5576
22–22.5,22.0,22.5,345686,17.3033,0.5572,0.5563
22.5–23,22.5,23.0,394387,19.741,0.5568,0.5547
23–23.5,23.0,23.5,359817,18.0106,0.5557,0.552
23.5–24,23.5,24.0,238278,11.927,0.5508,0.5449
24–24.5,24.0,24.5,90123,4.5111,0.5453,0.5387
24.5–25,24.5,25.0,20292,1.0157,0.5408,0.5302
25–25.5,25.0,25.5,4189,0.2097,0.5295,0.5064
25.5–26,25.5,26.0,1161,0.0581,0.5032,0.4529
26–26.5,26.0,26.5,515,0.0258,0.4632,0.4074
26.5–27,26.5,27.0,296,0.0148,0.3798,0.3778
27–27.5,27.0,27.5,155,0.0078,0.3176,0.3487
27.5–28,27.5,28.0,108,0.0054,0.3238,0.3586
28–28.5,28.0,28.5,79,0.004,0.3324,0.3566
28.5–29,28.5,29.0,47,0.0024,0.2888,0.3295
29–29.5,29.0,29.5,33,0.0017,0.3131,0.3819
29.5–30,29.5,30.0,19,0.001,0.2486,0.3288
30–30.5,30.0,30.5,11,0.0006,0.2944,0.3878
30.5–31,30.5,31.0,6,0.0003,0.3932,0.3662
31–31.5,31.0,31.5,7,0.0004,0.2551,0.3824
31.5–32,31.5,32.0,2,0.0001,0.5091,0.5091
32–32.5,32.0,32.5,1,0.0001,0.444,0.444
32.5–33,32.5,33.0,0,0.0,,
33–33.5,33.0,33.5,0,0.0,,
33.5–34,33.5,34.0,1,0.0001,0.0774,0.0774
34–34.5,34.0,34.5,1,0.0001,0.2596,0.2596
34.5–35,34.5,35.0,0,0.0,,
35–35.5,35.0,35.5,0,0.0,,
35.5–36,35.5,36.0,1,0.0001,0.2729,0.2729
