SequentialID,ra,dec,ACS_MAG_AUTO,b_a,Re_arcsec,ELL_GIM2D,TYPE,STELLARITY
8.0,150.7934723,1.895291,22.3461838,0.47292999999999996,0.293,0.52707,1.0,0.0
11.0,150.7886963,1.869745,22.284565,0.6218699999999999,0.2995,0.37813,2.0,0.0
16.0,150.7865143,1.8656501,21.7646923,0.6571400000000001,0.3555,0.34286,2.0,0.0
19.0,150.7827301,1.84864,20.6472969,0.58936,0.822,0.41064,2.0,0.0
26.0,150.7905579,1.898785,22.01087,0.19948999999999995,0.9205,0.80051,9.0,0.0
30.0,150.7842865,1.866706,21.6149063,0.5945199999999999,0.5115,0.40548,2.0,0.0
39.0,150.7877808,1.89492,20.5218105,0.63369,0.613,0.36631,2.0,0.0
49.0,150.778656,1.860307,20.6204281,1.0,0.869,0.0,2.0,0.0
53.0,150.7778778,1.856295,21.702116,0.83833,0.415,0.16167,2.0,0.0
56.0,150.7765045,1.858614,21.3652592,0.82943,0.8335,0.17057,2.0,0.0
58.0,150.7788391,1.872587,22.3172512,0.47574000000000005,0.2255,0.52426,3.0,0.0
62.0,150.7761383,1.861807,22.0834599,0.52715,0.5105,0.47285,2.0,0.0
66.0,150.776825,1.873475,21.9645042,0.61963,0.421,0.38037,3.0,0.0
76.0,150.7718353,1.874429,22.0078812,0.43123,0.337,0.56877,2.0,0.0
83.0,150.7731934,1.892669,21.6323662,0.65388,0.2045,0.34612,2.0,0.0
84.0,150.7724304,1.889015,22.4695415,0.8054,0.221,0.1946,3.0,0.0
91.0,150.7675629,1.8799061,22.3654575,0.89202,0.35,0.10798,3.0,0.0
93.0,150.7679596,1.885766,20.1924496,0.35946999999999996,0.579,0.64053,2.0,0.0
94.0,150.769516,1.893343,22.4282722,0.362,0.664,0.638,2.0,0.0
95.0,150.76828,1.888917,20.912466,0.62778,0.3645,0.37222,2.0,0.0
105.0,150.7642365,1.88316,21.0531769,0.9993199,0.28,0.0006801,1.0,0.0
107.0,150.7648621,1.887755,21.8001556,0.77755,0.348,0.22245,2.0,0.0
110.0,150.7609253,1.872191,21.6773739,0.4485,0.719,0.5515,2.0,0.0
113.0,150.7662964,1.903492,22.1344471,0.83118,0.464,0.16882,2.0,0.0
129.0,150.7608185,1.896251,21.8761921,0.24912,0.5625,0.75088,2.0,0.0
143.0,150.7559662,1.8912309,22.2294235,0.35168,0.2585,0.64832,2.0,0.0
145.0,150.7511139,1.870659,21.5054569,0.23148999999999997,0.725,0.76851,2.0,0.0
154.0,150.7505493,1.890206,22.4836216,0.79869,0.607,0.20131,9.0,0.0
156.0,150.7458496,1.867839,22.1086884,0.75271,0.218,0.24729,2.0,0.0
157.0,150.749176,1.887332,21.9153938,0.44489,0.4955,0.55511,2.0,0.0
165.0,150.7452545,1.890788,21.0836506,0.66724,0.7365,0.33276,2.0,0.0
174.0,150.7413025,1.8893,20.5463772,0.89249,0.586,0.10751,2.0,0.0
177.0,150.7411194,1.891627,21.5623722,0.21857000000000004,0.7695,0.78143,2.0,0.0
178.0,150.7366486,1.869099,21.4459953,0.55613,0.889,0.44387,2.0,0.0
181.0,150.7404327,1.902203,21.0765934,0.6409199999999999,0.877,0.35908,2.0,0.0
182.0,150.7394257,1.8982739,22.462841,0.29447,0.2715,0.70553,2.0,0.0
190.0,150.7852631,1.838353,21.5734081,0.6603399999999999,0.855,0.33966,2.0,0.0
194.0,150.7780914,1.816022,22.4934864,0.78474,0.2475,0.21526,2.0,0.0
200.0,150.7755432,1.814482,20.4535789,0.7412099999999999,1.075,0.25879,2.0,0.0
211.0,150.7739563,1.825262,22.3697796,0.28637,0.4245,0.71363,2.0,0.0
212.0,150.7714844,1.813985,22.0358009,0.6300600000000001,0.354,0.36994,2.0,0.0
225.0,150.7731171,1.8429281,20.4116631,0.70764,0.5485,0.29236,2.0,0.0
226.0,150.7684479,1.820315,20.5203476,0.77313,0.493,0.22687,3.0,0.0
227.0,150.7712555,1.8361731,22.1524582,0.6611199999999999,0.196,0.33888,2.0,0.0
234.0,150.7696686,1.847465,22.4775753,0.82251,0.2325,0.17749,1.0,0.0
236.0,150.7680969,1.841552,20.9063911,0.76119,0.725,0.23881,3.0,0.0
244.0,150.7567139,1.8068089,22.0101795,0.82316,0.5215,0.17684,1.0,0.0
245.0,150.7618561,1.837516,21.6598911,0.68163,0.7895,0.31837,2.0,0.0
246.0,150.7574921,1.813449,22.3640308,0.6194299999999999,0.4655,0.38057,2.0,0.0
253.0,150.7595215,1.836287,20.6319447,0.47414999999999996,0.654,0.52585,2.0,0.0
262.0,150.7512054,1.800216,22.0439644,0.26720999999999995,0.8655,0.73279,2.0,0.0
266.0,150.7546844,1.826977,22.4483833,0.76967,0.663,0.23033,2.0,0.0
276.0,150.7523651,1.834229,20.6612949,0.40103999999999995,0.5195,0.59896,2.0,0.0
280.0,150.7513885,1.831481,22.4199924,0.4679,0.321,0.5321,2.0,0.0
286.0,150.751709,1.8428741,21.4134426,0.6227199999999999,0.6385,0.37728,2.0,0.0
289.0,150.7490082,1.831419,19.0698357,0.8172200000000001,1.2965,0.18278,2.0,0.0
294.0,150.7459564,1.8160959,21.7857132,0.6536,0.421,0.3464,2.0,0.0
298.0,150.7429047,1.807058,21.3204975,0.50816,0.896,0.49184,2.0,0.0
305.0,150.7482147,1.846543,19.9349155,0.76012,0.484,0.23988,2.0,0.0
309.0,150.7458038,1.8403879,21.3826942,0.903481,0.732,0.096519,2.0,0.0
313.0,150.7432251,1.831269,18.5460854,0.84996,1.0375,0.15004,1.0,0.0
314.0,150.7377777,1.798363,21.8899021,0.51539,0.6065,0.48461,2.0,0.0
321.0,150.7382202,1.814582,22.4394569,0.6557999999999999,0.3295,0.3442,3.0,0.0
328.0,150.7345886,1.806601,22.1284847,0.77805,0.201,0.22195,2.0,0.0
339.0,150.7310028,1.812593,21.6735115,0.5699799999999999,0.3765,0.43002,2.0,0.0
346.0,150.7340546,1.842248,22.0923958,0.945155,0.413,0.054845,2.0,0.0
351.0,150.7323303,1.8430901,22.0555077,0.66357,0.3475,0.33643,2.0,0.0
352.0,150.7324829,1.8447289,21.5432892,0.8505,0.2515,0.1495,3.0,0.0
356.0,150.7244415,1.812345,22.2668343,0.73013,0.24,0.26987,2.0,0.0
362.0,150.7751465,1.785952,22.0859261,0.85675,0.145,0.14325,2.0,0.0
367.0,150.7679138,1.754464,20.9868317,0.74657,0.547,0.25343,1.0,0.0
374.0,150.7726746,1.789981,22.4801464,0.72773,0.232,0.27227,3.0,0.0
376.0,150.7724152,1.793983,22.3666935,0.32592,0.702,0.67408,2.0,0.0
385.0,150.7595825,1.744087,20.6373234,0.58309,0.693,0.41691,2.0,0.0
390.0,150.7589417,1.752002,22.0191975,0.54261,0.1995,0.45739,2.0,0.0
394.0,150.7616272,1.771093,21.4204617,0.1885,1.1390001,0.8115,2.0,0.0
395.0,150.7653656,1.793366,22.374094,0.87602,0.4635,0.12398,1.0,0.0
