objID,ra,dec,modelMag_r,modelMag_u,modelMag_g,expAB_r,expRad_r,lnLExp_r,lnLDeV_r,type,clean,mode,u_r,g_r
1237651736280694971,150.000334056801,1.97858142218299,18.2711,20.16598,18.78027,0.8751219,0.9055211,-7.874485,-29.85218,3,1,1,1.8948800000000006,0.509170000000001
1237651736280695023,150.000772595988,1.92090549969079,22.04237,24.44698,24.72581,0.7537842,0.4720089,-1.07213e-06,-3.106276e-06,3,1,1,2.4046100000000017,2.683440000000001
1237651736280760428,150.060433876467,2.00664741446823,17.3579,19.42974,18.20499,0.5702051,2.319573,-73.21615,-677.4663,3,1,1,2.071839999999998,0.8470899999999979
1237651753460105407,149.456059174866,1.68322121510732,17.7916,19.6202,18.34376,0.369873,2.418495,-2.759275,-281.1058,3,1,1,1.8286000000000016,0.5521600000000007
1237651753460236382,149.857758336464,1.77667407850809,21.27202,22.83687,22.23104,0.3178067,0.8745627,-0.2168203,-0.2205356,3,1,1,1.5648499999999999,0.9590199999999989
1237651753460367786,150.060602407284,1.65986666713728,21.31051,23.47305,22.22627,0.4830938,0.7787644,-0.7636477,-0.8027177,3,1,1,2.16254,0.9157599999999988
1237651753460367702,150.024467570773,1.7894023383304,22.02697,22.7598,22.45737,0.7064766,0.6234099,-0.7836836,-0.8372337,3,1,1,0.7328299999999999,0.43040000000000234
1237651753460302674,150.002430153593,1.72366571061281,21.7557,26.2121,23.93914,0.9998842,0.6093599,-0.003294599,-0.009911025,3,1,1,4.456399999999999,2.1834399999999974
1237651753460302654,149.978549567599,1.68418401003432,21.19008,23.16646,23.06313,0.738391,0.500636,-0.5203272,-0.6237682,3,1,1,1.9763800000000025,1.8730500000000028
1237651753460302603,149.933881531365,1.73336246914231,21.85141,26.08822,23.22512,0.6497512,0.5238325,-0.004092987,-0.004204256,3,1,1,4.236809999999998,1.373709999999999
1237651753460302589,149.91759034573,1.83113541854881,21.64264,23.77703,22.83478,0.6502842,0.9663935,-0.05897379,-0.0702693,3,1,1,2.13439,1.1921399999999984
1237651753460302543,149.882514763883,1.64373478350015,21.02217,23.22367,22.42729,0.7830976,1.107763,-1.298011,-1.429002,3,1,1,2.2014999999999993,1.4051200000000001
1237651753460302466,150.000659104643,1.6622828434179,20.62001,21.79063,21.40706,0.689019,0.9425259,-0.7037197,-2.507827,3,1,1,1.1706199999999995,0.7870500000000007
1237651753460302387,149.977613264852,1.63320962615597,21.16861,22.554,21.68023,0.5139523,0.9159525,-0.2735093,-0.5040134,3,1,1,1.3853899999999975,0.5116200000000006
1237651753460302240,149.919094985961,1.77430345027119,20.44354,21.92871,21.48168,0.7085552,1.246292,-4.023902,-10.20084,3,1,1,1.48517,1.038140000000002
1237651753460302203,149.9005316007,1.67207967306182,22.46298,25.17449,24.012,0.4760765,0.4619594,-0.0001591628,-0.0002187975,3,1,1,2.711509999999997,1.5490199999999987
1237651753460302175,149.881887578205,1.77154303408942,20.68014,23.58269,21.47713,0.767429,1.136645,-0.07481451,-1.706099,3,1,1,2.902549999999998,0.7969899999999974
1237651753460302101,149.933803360941,1.81207319251443,19.42428,20.84104,19.95053,0.4096424,1.478982,-0.2869633,-7.242722,3,1,1,1.41676,0.526250000000001
1237651753460237186,149.858339979591,1.74562695978361,22.07743,23.44158,24.53924,0.5760986,0.2751249,-0.03973512,-0.04495661,3,1,1,1.3641499999999986,2.46181
1237651753460237183,149.858749895628,1.64815232109728,21.64146,23.65455,22.66049,0.3280172,1.416734,-0.002372929,-0.01183033,3,1,1,2.013090000000002,1.0190300000000008
1237651736280695241,149.998344951987,2.03515554901287,19.87262,22.61961,20.35855,0.7696443,0.8995556,-0.2240907,-0.6440822,3,1,1,2.7469900000000003,0.48592999999999975
1237651736280695272,150.021687641669,1.89074619719071,21.07191,22.14661,21.37144,0.3419864,1.387111,-0.0940321,-0.1512364,3,1,1,1.0747,0.29953000000000074
1237651736280695273,150.02082669875,1.96551853578194,20.56426,22.70634,21.06702,0.7008384,0.4257734,-0.04104227,-0.06052363,3,1,1,2.14208,0.5027599999999985
1237651736280760355,150.044564532211,2.0041136617525,21.6335,23.23139,22.98605,0.4198326,0.5120558,-4.977737e-05,-0.0001769815,3,1,1,1.5978899999999996,1.3525499999999973
1237651736280826199,150.247319308444,2.03768952081357,20.86128,23.33688,22.72037,0.5051605,0.3042838,-0.0529675,-0.05944588,3,1,1,2.4756,1.8590899999999984
1237651753460170770,149.604246423878,1.64263779918183,18.20514,21.76965,19.55783,0.2999575,4.825106,-584.3975,-803.2936,3,1,1,3.5645099999999985,1.352689999999999
