objID,ra,dec,modelMag_r,modelMag_u,modelMag_g,expAB_r,expRad_r,lnLExp_r,lnLDeV_r,type,clean,mode,u_r,g_r
1237651736280694971,150.000334056801,1.97858142218299,18.2711,20.16598,18.78027,0.8751219,0.9055211,-7.874485,-29.85218,3,1,1,1.8948800000000006,0.509170000000001
1237651736280695023,150.000772595988,1.92090549969079,22.04237,24.44698,24.72581,0.7537842,0.4720089,-1.07213e-06,-3.106276e-06,3,1,1,2.4046100000000017,2.683440000000001
1237651736280760428,150.060433876467,2.00664741446823,17.3579,19.42974,18.20499,0.5702051,2.319573,-73.21615,-677.4663,3,1,1,2.071839999999998,0.8470899999999979
1237651753460105240,149.43038812443,1.7545876650246,15.77016,18.43121,16.5975,0.6279523,1.444049,-8009.733,-1452.114,3,1,1,2.6610499999999995,0.8273399999999995
1237651753460105407,149.456059174866,1.68322121510732,17.7916,19.6202,18.34376,0.369873,2.418495,-2.759275,-281.1058,3,1,1,1.8286000000000016,0.5521600000000007
1237651753460105443,149.503998982968,1.8089452053644,22.37557,23.96757,23.49004,0.1931397,0.2277168,-0.0002470586,-0.0002471592,3,1,1,1.5919999999999987,1.1144700000000007
1237651753460105709,149.457696521934,1.78307352633855,21.18455,23.15036,21.86949,0.3366729,0.6751539,-0.292363,-0.2317659,3,1,1,1.9658099999999976,0.6849399999999974
1237651753460106118,149.527730982482,1.66596406481394,21.87778,24.57758,22.93589,0.05,1.136931,-0.4062613,-0.4042794,3,1,1,2.6997999999999998,1.0581099999999992
1237651753460236382,149.857758336464,1.77667407850809,21.27202,22.83687,22.23104,0.3178067,0.8745627,-0.2168203,-0.2205356,3,1,1,1.5648499999999999,0.9590199999999989
1237651753460236880,149.817370954261,1.72012065483719,20.40074,24.2319,21.85672,0.6455728,0.4255161,-0.1622948,-0.06977667,3,1,1,3.8311600000000006,1.4559800000000003
1237651753460367866,150.094579723139,1.75386110897913,21.57125,21.41584,22.37508,0.116421,1.201856,-0.4561228,-0.3621573,3,1,1,-0.15540999999999983,0.8038300000000014
1237651753460367823,150.073741776668,1.67833321278576,20.75064,22.93552,21.657,0.389117,1.258174,-0.9284838,-0.3929715,3,1,1,2.1848799999999997,0.9063599999999994
1237651753460367786,150.060602407284,1.65986666713728,21.31051,23.47305,22.22627,0.4830938,0.7787644,-0.7636477,-0.8027177,3,1,1,2.16254,0.9157599999999988
1237651753460367780,150.060358007236,1.63262281041016,19.73353,22.50276,21.13948,0.8716938,0.5426839,-0.8919492,-0.1671264,3,1,1,2.7692300000000003,1.4059500000000007
1237651753460367737,150.039257095427,1.81876899305997,20.38666,22.11056,21.0577,0.8157381,0.3462514,-0.8261688,-0.393009,3,1,1,1.7239000000000004,0.6710400000000014
1237651753460367702,150.024467570773,1.7894023383304,22.02697,22.7598,22.45737,0.7064766,0.6234099,-0.7836836,-0.8372337,3,1,1,0.7328299999999999,0.43040000000000234
1237651753460367698,150.023540126728,1.68158950667457,21.21002,25.27735,22.30962,0.1225053,1.326608,-0.09386448,-0.03392964,3,1,1,4.067329999999998,1.0995999999999988
1237651753460367697,150.024330905504,1.68281650853873,21.10257,22.1981,22.08274,0.4000229,0.6563621,-0.2309458,-0.2162303,3,1,1,1.0955300000000001,0.9801700000000011
1237651753460367561,150.036934387714,1.79508078438361,19.2292,21.91529,20.20912,0.3895799,0.5628285,-1.36363,-0.3414961,3,1,1,2.68609,0.9799199999999999
1237651753460367467,150.144231096615,1.7893141390654,20.13001,22.91286,21.18361,0.7158705,1.555154,-0.0394705,-0.002713788,3,1,1,2.78285,1.053600000000003
1237651753460302675,150.001983665638,1.74979077548931,22.06374,23.46689,22.9022,0.05,0.8683117,-0.1172857,-0.07309648,3,1,1,1.4031500000000001,0.8384600000000013
1237651753460302674,150.002430153593,1.72366571061281,21.7557,26.2121,23.93914,0.9998842,0.6093599,-0.003294599,-0.009911025,3,1,1,4.456399999999999,2.1834399999999974
1237651753460302671,150.000575700367,1.7298643607867,21.85148,25.25259,23.88287,0.05,0.5879827,-0.7577873,-1.067312,3,1,1,3.4011100000000027,2.031390000000002
1237651753460302656,149.977808394934,1.80038332322744,22.19854,22.71384,23.28171,0.2291059,0.6321204,-0.007250196,-0.007159477,3,1,1,0.5152999999999999,1.083169999999999
1237651753460302654,149.978549567599,1.68418401003432,21.19008,23.16646,23.06313,0.738391,0.500636,-0.5203272,-0.6237682,3,1,1,1.9763800000000025,1.8730500000000028
1237651753460302629,149.956657009161,1.68397808759838,22.11326,22.44584,24.21948,0.4998808,0.5353839,-0.008918528,-0.006984391,3,1,1,0.3325800000000001,2.1062200000000004
