objid,ra,dec,modelmag_r,modelmag_u,expab_r,devab_r,lnlexp_r,lnldev_r,lnlstar_r,fracdev_r,score,nnavgz
1237648721218109809,151.209684872332,0.000132081647695404,20.97211,22.88078,0.5585044,0.4399856,-0.02543934,-0.01582681,-3.452553,0.8247508,0.8745709,0.259194
1237648721753604385,148.095894698492,0.36333803421471,20.92537,22.67651,0.3065919,0.2330595,-0.1831977,-0.1629644,-3.033021,0.5804938,0.8635777,0.154572
1237648721753604461,148.029592881911,0.391864308533004,20.08006,21.28958,0.4401895,0.3415039,-0.3547255,-5.299301,-103.9321,0.0,0.8635777,0.256154
1237648721753604687,148.027952372762,0.244265070111886,20.93258,23.31288,0.05,0.05,-0.2219533,-0.8212196,-7.624329,0.0,0.8635777,0.41178
1237648721753604814,148.077838366184,0.241690022177057,20.37349,21.90692,0.7366109,0.7936792,-0.1581327,-0.1122487,-9.75753,0.5820301,0.8635777,0.29058
1237648721753604815,148.077722562961,0.368730346740274,20.828,22.24017,0.3235469,0.1669053,-0.3278109,-0.5834077,-14.87452,0.454707,0.8635777,0.411543
1237648721753604819,148.078980041694,0.348317593507253,20.42155,26.33175,0.8700777,0.9012495,-0.3803236,-0.02637647,-8.446489,1.0,0.8635777,0.550634
1237648721753604862,148.095617996262,0.405435465444886,19.14681,21.19969,0.7806942,0.7267059,-0.03347273,-4.193039,-279.1827,0.09792928,0.8635777,0.089341
1237648721753605006,148.077779076781,0.269168724619509,20.49588,25.47829,0.6029763,0.545637,-0.02893883,-0.00205853,-1.014142,1.0,0.8635777,0.379626
1237648721753669714,148.175482201277,0.326057896757797,20.92112,22.7944,0.239317,0.1383118,-0.06140879,-0.09558471,-14.91571,0.3825912,0.8754447,0.537591
1237648721753670010,148.175571281132,0.3650179759387,20.97488,21.90287,0.05,0.09998684,-0.003908198,-0.0006053102,-1.824654,1.0,0.8754447,0.323391
1237648721753670257,148.174689223244,0.388285628320602,19.51901,20.9294,0.9028416,0.8999242,-0.108878,-13.33881,-262.7816,0.0,0.8754447,0.211487
