ba_bin,n,frac_fail_lnLStar_ge_-10,median_lnLStar,frac_fail_score_le_0.8
"(0.05, 0.1]",252,0.4365,-13.35,0.1905
"(0.1, 0.15]",421,0.1805,-29.74,0.1354
"(0.15, 0.2]",764,0.1401,-39.71,0.1584
"(0.2, 0.25]",1156,0.1168,-39.68,0.1635
"(0.25, 0.3]",1432,0.1613,-42.84,0.1529
"(0.3, 0.35]",1425,0.1768,-38.44,0.1488
"(0.35, 0.4]",1630,0.1773,-38.59,0.1509
"(0.4, 0.45]",1772,0.206,-29.82,0.1546
"(0.45, 0.5]",1730,0.2092,-33.4,0.1734
"(0.5, 0.55]",1873,0.2216,-33.38,0.1404
"(0.55, 0.6]",1939,0.2295,-30.66,0.1712
"(0.6, 0.65]",1899,0.2206,-33.75,0.1617
"(0.65, 0.7]",1874,0.2076,-34.22,0.1531
"(0.7, 0.75]",1829,0.2039,-35.29,0.1564
"(0.75, 0.8]",1732,0.1998,-36.08,0.1449
"(0.8, 0.85]",1439,0.1772,-45.62,0.173
"(0.85, 0.9]",1120,0.1554,-62.6,0.1759
"(0.9, 0.95]",751,0.1758,-70.09,0.1398
"(0.95, 1.0]",621,0.3188,-22.07,0.1594
