stage,n,per_deg2,delta_from_prev
01_box_all_PhotoObj,653604,40850.25,
02_box_mode1,386868,24179.25,266736
03_box_mode1_clean1,250395,15649.69,136473
04_mode_clean_type3,149555,9347.19,100840
05_mode_clean_type_r3,144070,9004.38,106325
06_type_r3_r_BETWEEN_12_21,47351,2959.44,96719
07_type_r3_r_lt_21,47350,2959.38,1
08_type_r3_r_le_21,47351,2959.44,0
09_type_r3_r_BETWEEN_12_21_no_bright_floor,47351,2959.44,0
10_type3_r_BETWEEN_12_21,47504,2969.0,-153
11_type_r3_petro_BETWEEN_12_21,44599,2787.44,2752
12_plus_lnLStar_lt_m10,33045,2065.31,14306
13_plus_Photoz_nnAvgZ_gt0,32978,2061.12,67
14_plus_score_gt_0p8_BASE,28043,1752.69,4935
15_BASE_plus_lnL_V2,17657,1103.56,10386
16_BASE_plus_fracDeV0_and_lnL_V1,9120,570.0,8537
17_BASE_plus_fracDeV0_only,9120,570.0,0
18_V2_plus_expAB_gt_0p2,16551,1034.44,-7431
19_V1_plus_expAB_gt_0p2,8445,527.81,8106
20_mode_clean_r_BETWEEN_12_21_any_type,96113,6007.06,-87668
21_mode_clean_type3_r_lt_21,47503,2968.94,-39058
