stage,n,mean_cosi,median_cosi,median_expAB_r
A_strict_ur_lnl,434962,0.500681178497578,0.4949020122421775,0.5245291999999999
A_mag21,159144,0.5674690928294412,0.5843006118148399,0.6064247
A_mag22,342534,0.5221333954114882,0.5229927156103551,0.5500732
B_ur_lnl_strict,434962,0.500681178497578,0.4949020122421775,0.5245291999999999
B_mag21,159144,0.5674690928294412,0.5843006118148399,0.6064247
B_mag22,342534,0.5221333954114882,0.5229927156103551,0.5500732
bin_15.0_15.5,81,0.5383391105103593,0.5836641254608681,0.605836
bin_15.5_16.0,165,0.613178018859586,0.6609214844790566,0.6777496
bin_16.0_16.5,338,0.5678567756990407,0.5914315441018452,0.6130255
bin_16.5_17.0,721,0.5704532950434492,0.5932887742114923,0.6147454
bin_17.0_17.5,1388,0.5570348310179681,0.556825934493822,0.5810791
bin_17.5_18.0,2574,0.5534609339156181,0.5595330269987491,0.58357015
bin_18.0_18.5,4137,0.588717269471562,0.615610869230591,0.6354665
bin_18.5_19.0,7451,0.5989514092955985,0.6260065605572174,0.6451425
bin_19.0_19.5,14014,0.5943775093083512,0.6185046480234577,0.63815835
bin_19.5_20.0,24714,0.5895983014844968,0.6127293508006121,0.6327872999999999
bin_20.0_20.5,40823,0.5727327734816415,0.5916849700608653,0.6132597
bin_20.5_21.0,62642,0.544961463876771,0.5571777447800472,0.5814027500000001
bin_21.0_21.5,86360,0.5051905455491527,0.5040100420027148,0.5327899
bin_21.5_22.0,97030,0.46285564919102606,0.45004310514947377,0.48418720000000004
bin_22.0_22.5,69564,0.4291388662512468,0.4103485343225134,0.44905510000000004
bin_22.5_23.0,20694,0.39677745312261004,0.35353459321306613,0.39998405000000004
bin_23.0_23.5,1833,0.35709852541572523,0.29365341195164707,0.3504041
bin_23.5_24.0,129,0.483185044032218,0.468527550410859,0.5007368
bin_24.0_24.5,56,0.5857919535758477,0.7109784619061337,0.72475585
cumulative_mag<=17,1401,0.5668332298977005,0.5916720142557251,0.6132477
cumulative_mag<=18,5363,0.5578791990375572,0.5691782241832298,0.592457
cumulative_mag<=19,16951,0.5834591728454825,0.606371797607465,0.6268806
cumulative_mag<=20,55679,0.5889321876692983,0.6125757294852834,0.6326445
cumulative_mag<=21,159144,0.5674690928294412,0.5843006118148399,0.6064247
cumulative_mag<=22,342534,0.5221333954114882,0.5229927156103551,0.5500732
cumulative_mag<=23,432792,0.5011921874034171,0.4956724799631627,0.52522715
sim_isotropic_uniform_cosi,50000,0.500358767728908,0.5017040481210433,0.5306964045718994
