pool,pool_n,mag_lo,mag_hi,n,median_expAB_r,mean_expAB_r,frac_pool
full_catalog,1900000,15.0,15.5,1137,0.5334739,0.5137570184872472,0.0005984210526315789
full_catalog,1900000,15.5,16.0,963,0.5827763,0.5504904567601246,0.0005068421052631579
full_catalog,1900000,16.0,16.5,1747,0.6011629,0.5612382744991413,0.0009194736842105263
full_catalog,1900000,16.5,17.0,3239,0.6115577,0.5700070859493671,0.0017047368421052632
full_catalog,1900000,17.0,17.5,5881,0.6023276,0.5734966363662642,0.003095263157894737
full_catalog,1900000,17.5,18.0,10285,0.6115428,0.5772527776042781,0.005413157894736842
full_catalog,1900000,18.0,18.5,17452,0.62529255,0.5851712508950263,0.009185263157894736
full_catalog,1900000,18.5,19.0,30296,0.6246744,0.5888150264057961,0.015945263157894737
full_catalog,1900000,19.0,19.5,51589,0.6191223,0.5875219746054392,0.027152105263157894
full_catalog,1900000,19.5,20.0,83568,0.60973135,0.5825770015954671,0.04398315789473684
full_catalog,1900000,20.0,20.5,133794,0.5805081000000001,0.5628592475992945,0.07041789473684211
full_catalog,1900000,20.5,21.0,211947,0.5218803,0.5127942321533685,0.11155105263157895
full_catalog,1900000,21.0,21.5,322661,0.4269373,0.43166107128704745,0.16982157894736843
full_catalog,1900000,21.5,22.0,440619,0.2781875,0.3225905496191721,0.23190473684210527
full_catalog,1900000,22.0,22.5,416618,0.10078129999999999,0.22562475301974472,0.21927263157894736
full_catalog,1900000,22.5,23.0,154137,0.09453266,0.17438458265555967,0.08112473684210526
full_catalog,1900000,23.0,23.5,11972,0.09713718499999999,0.1642019934263281,0.006301052631578948
full_catalog,1900000,23.5,24.0,994,0.072004435,0.2129907551810865,0.0005231578947368421
full_catalog,1900000,24.0,24.5,363,0.08359816,0.2724744392011019,0.00019105263157894736
full_catalog,1900000,24.5,25.0,202,0.1094038,0.2567635258910891,0.00010631578947368421
full_catalog,1900000,25.0,25.5,253,0.09155773,0.2500041881818182,0.0001331578947368421
full_catalog,1900000,25.5,26.0,175,0.1023353,0.37757722234285707,9.210526315789474e-05
full_catalog,1900000,26.0,26.5,71,0.2862083,0.5083638177464789,3.736842105263158e-05
