pool,pool_n,mag_lo,mag_hi,n,median_expAB_r,mean_expAB_r,frac_pool
full_catalog_petroMag_r,1900000,15.0,15.5,1191,0.4904171,0.49055898421494537,0.0006268421052631578
full_catalog_petroMag_r,1900000,15.5,16.0,964,0.5617615,0.5352861965456432,0.0005073684210526316
full_catalog_petroMag_r,1900000,16.0,16.5,1689,0.5639798,0.5365410158259325,0.0008889473684210526
full_catalog_petroMag_r,1900000,16.5,17.0,3100,0.5981625500000001,0.5589459704225807,0.001631578947368421
full_catalog_petroMag_r,1900000,17.0,17.5,5248,0.6089908500000001,0.5744074426276676,0.0027621052631578947
full_catalog_petroMag_r,1900000,17.5,18.0,9459,0.6211039,0.5816316666085211,0.004978421052631579
full_catalog_petroMag_r,1900000,18.0,18.5,16667,0.6243965,0.5878408149175017,0.008772105263157895
full_catalog_petroMag_r,1900000,18.5,19.0,28841,0.6276119,0.5918559632471135,0.015179473684210526
full_catalog_petroMag_r,1900000,19.0,19.5,49533,0.6246822,0.5926593003502715,0.02607
full_catalog_petroMag_r,1900000,19.5,20.0,79775,0.6141481,0.587338048068693,0.041986842105263156
full_catalog_petroMag_r,1900000,20.0,20.5,126800,0.58443375,0.5661321304346214,0.06673684210526316
full_catalog_petroMag_r,1900000,20.5,21.0,195743,0.5291994,0.5196699921256444,0.10302263157894737
full_catalog_petroMag_r,1900000,21.0,21.5,288062,0.4446844,0.44386442221664085,0.15161157894736843
full_catalog_petroMag_r,1900000,21.5,22.0,363041,0.3226353,0.35240132856815065,0.1910742105263158
full_catalog_petroMag_r,1900000,22.0,22.5,363591,0.1731141,0.2660723344752483,0.19136368421052632
full_catalog_petroMag_r,1900000,22.5,23.0,244666,0.09449721,0.19712161431445316,0.12877157894736843
full_catalog_petroMag_r,1900000,23.0,23.5,83810,0.08891862,0.1549330609241141,0.044110526315789475
full_catalog_petroMag_r,1900000,23.5,24.0,14664,0.082084565,0.1450580021883524,0.007717894736842105
full_catalog_petroMag_r,1900000,24.0,24.5,4603,0.07294926,0.158676180293287,0.0024226315789473685
full_catalog_petroMag_r,1900000,24.5,25.0,4352,0.08396136,0.19827757611902572,0.0022905263157894738
full_catalog_petroMag_r,1900000,25.0,25.5,4670,0.07553504,0.1978747495117773,0.002457894736842105
full_catalog_petroMag_r,1900000,25.5,26.0,3708,0.07813908,0.19974966340345196,0.001951578947368421
full_catalog_petroMag_r,1900000,26.0,26.5,3031,0.07534123,0.19420887847245133,0.0015952631578947368
full_catalog_petroMag_r,1900000,26.5,27.0,1730,0.077144205,0.18585251828323698,0.0009105263157894737
full_catalog_petroMag_r,1900000,27.0,27.5,719,0.07479464,0.20027803040333794,0.00037842105263157893
full_catalog_petroMag_r,1900000,27.5,28.0,245,0.07754788,0.21747503624489792,0.00012894736842105264
