pool,pool_n,mag_lo,mag_hi,n,median_expAB_r,mean_expAB_r,frac_pool
ur_lnl_strict_ba,434962,15.0,15.5,177,0.5598797,0.5488556050847458,0.0004069320998156161
ur_lnl_strict_ba,434962,15.5,16.0,165,0.6777496,0.6421627357575757,0.0003793434828789641
ur_lnl_strict_ba,434962,16.0,16.5,338,0.6130255,0.6000729831360946,0.0007770793770490295
ur_lnl_strict_ba,434962,16.5,17.0,721,0.6147454,0.6014822482662968,0.001657616067610504
ur_lnl_strict_ba,434962,17.0,17.5,1388,0.5810791,0.5899028971902016,0.003191083359006074
ur_lnl_strict_ba,434962,17.5,18.0,2574,0.58357015,0.5864806273504274,0.005917758332911841
ur_lnl_strict_ba,434962,18.0,18.5,4137,0.6354665,0.6180686367416002,0.009511175688910755
ur_lnl_strict_ba,434962,18.5,19.0,7451,0.6451425,0.6270186543953832,0.017130232066249466
ur_lnl_strict_ba,434962,19.0,19.5,14014,0.63815835,0.6225592152775796,0.03221890647918669
ur_lnl_strict_ba,434962,19.5,20.0,24714,0.6327872999999999,0.6183401165088613,0.05681875658103466
ur_lnl_strict_ba,434962,20.0,20.5,40823,0.6132597,0.602928453859344,0.09385417576707851
ur_lnl_strict_ba,434962,20.5,21.0,62642,0.5814027500000001,0.5780164254078733,0.14401717851214588
ur_lnl_strict_ba,434962,21.0,21.5,86360,0.5327899,0.5426894397904122,0.19854607988743844
ur_lnl_strict_ba,434962,21.5,22.0,97030,0.48418720000000004,0.5060724496124911,0.22307695844694478
ur_lnl_strict_ba,434962,22.0,22.5,69564,0.44905510000000004,0.47784483096285435,0.15993121238177127
ur_lnl_strict_ba,434962,22.5,23.0,20694,0.39998405000000004,0.45168316167488165,0.04757656990725627
ur_lnl_strict_ba,434962,23.0,23.5,1833,0.3504041,0.4193563801963993,0.004214161237073583
ur_lnl_strict_ba,434962,23.5,24.0,129,0.5007368,0.5315058480620155,0.0002965776320690083
ur_lnl_strict_ba,434962,24.0,24.5,56,0.72475585,0.6229817357142858,0.00012874687903770905
ur_lnl_strict_ba,434962,25.0,25.5,43,0.7556618,0.6845264720930232,9.885921068966944e-05
ur_lnl_strict_ba,434962,25.5,26.0,46,0.99390785,0.8450838239130435,0.00010575636492383243
