q_min,hubble_q0,line_label,pool_n,mag_lo,mag_hi,n,median_cosi,mean_cosi,frac_pool
0.05,0.2,"q_min=0.05, q₀=0.2",580354,15.0,15.5,224.0,0.3967008283191203,0.40056502706358993,0.0003859713209523842
0.05,0.2,"q_min=0.05, q₀=0.2",580354,15.5,16.0,197.0,0.5833196323118013,0.5135754980296026,0.0003394479920875879
0.05,0.2,"q_min=0.05, q₀=0.2",580354,16.0,16.5,383.0,0.5342856095838103,0.5011373111913205,0.000659942035378407
0.05,0.2,"q_min=0.05, q₀=0.2",580354,16.5,17.0,771.0,0.5626818913603349,0.5334589179329792,0.0013284995020280725
0.05,0.2,"q_min=0.05, q₀=0.2",580354,17.0,17.5,1480.0,0.5360165411626839,0.5224083415222566,0.002550167656292539
0.05,0.2,"q_min=0.05, q₀=0.2",580354,17.5,18.0,2707.0,0.5430551606555211,0.5262683575540454,0.0046643944902593935
0.05,0.2,"q_min=0.05, q₀=0.2",580354,18.0,18.5,4364.0,0.5964602740530653,0.5580942584335132,0.007519548413554486
0.05,0.2,"q_min=0.05, q₀=0.2",580354,18.5,19.0,7727.0,0.6138301911584292,0.5775575191745185,0.013314287486603004
0.05,0.2,"q_min=0.05, q₀=0.2",580354,19.0,19.5,14502.0,0.6056062882795816,0.5743763905287018,0.024988196859158377
0.05,0.2,"q_min=0.05, q₀=0.2",580354,19.5,20.0,25548.0,0.6009797859532837,0.5703511986412968,0.044021407623622826
0.05,0.2,"q_min=0.05, q₀=0.2",580354,20.0,20.5,42701.0,0.5773288350166725,0.5475438517093523,0.07357750614280249
0.05,0.2,"q_min=0.05, q₀=0.2",580354,20.5,21.0,66798.0,0.5345457972678913,0.5110553612408858,0.11509871561150609
0.05,0.2,"q_min=0.05, q₀=0.2",580354,21.0,21.5,96765.0,0.46769035811190696,0.45086813944737064,0.16673444139266724
0.05,0.2,"q_min=0.05, q₀=0.2",580354,21.5,22.0,122871.0,0.3637191732780851,0.36551247764733136,0.2117173311461625
0.05,0.2,"q_min=0.05, q₀=0.2",580354,22.0,22.5,121352.0,0.16621551719152206,0.24600019852908675,0.20909996312595416
0.05,0.2,"q_min=0.05, q₀=0.2",580354,22.5,23.0,64404.0,0.0,0.1274907244102741,0.11097364711882747
0.05,0.2,"q_min=0.05, q₀=0.2",580354,23.0,23.5,6772.0,0.0,0.09665705804592799,0.011668740113792616
0.05,0.2,"q_min=0.05, q₀=0.2",580354,23.5,24.0,352.0,0.0,0.17707633715953444,0.0006065263614966038
0.05,0.2,"q_min=0.05, q₀=0.2",580354,24.0,24.5,121.0,0.0,0.2711103256218798,0.00020849343676445755
0.05,0.2,"q_min=0.05, q₀=0.2",580354,24.5,25.0,76.0,0.0,0.11155976051572805,0.00013095455532313036
0.05,0.2,"q_min=0.05, q₀=0.2",580354,25.0,25.5,111.0,0.0,0.2517591263157237,0.0001912625742219404
0.05,0.2,"q_min=0.05, q₀=0.2",580354,25.5,26.0,65.0,0.8999553498172435,0.5871062084930786,0.0001120006065263615
0.05,0.2,"q_min=0.05, q₀=0.2",580354,26.0,26.5,40.0,0.7254240678803903,0.5266405297088681,6.892345017006861e-05
0.1,0.2,"q_min=0.1, q₀=0.2",498110,15.0,15.5,208.0,0.4151453972360056,0.4313777214530968,0.0004175784465278754
0.1,0.2,"q_min=0.1, q₀=0.2",498110,15.5,16.0,188.0,0.6018875642227353,0.5381615591054877,0.00037742667282327196
0.1,0.2,"q_min=0.1, q₀=0.2",498110,16.0,16.5,374.0,0.5414435374718316,0.5131967652039459,0.0007508381682760836
0.1,0.2,"q_min=0.1, q₀=0.2",498110,16.5,17.0,759.0,0.5694905925236404,0.5418930510228286,0.001523759812089699
0.1,0.2,"q_min=0.1, q₀=0.2",498110,17.0,17.5,1465.0,0.5387324366523178,0.5277572323910852,0.0029411174238621993
0.1,0.2,"q_min=0.1, q₀=0.2",498110,17.5,18.0,2689.0,0.544415148797657,0.5297911654513949,0.005398405974583928
0.1,0.2,"q_min=0.1, q₀=0.2",498110,18.0,18.5,4330.0,0.5987134654640911,0.5624765228184414,0.008692859007046637
0.1,0.2,"q_min=0.1, q₀=0.2",498110,18.5,19.0,7670.0,0.6161157927585843,0.5818496676220997,0.015398205215715404
0.1,0.2,"q_min=0.1, q₀=0.2",498110,19.0,19.5,14430.0,0.6073918558239683,0.5772423018327951,0.028969504727871354
0.1,0.2,"q_min=0.1, q₀=0.2",498110,19.5,20.0,25441.0,0.6027589954380607,0.5727499871423235,0.05107506374094076
0.1,0.2,"q_min=0.1, q₀=0.2",498110,20.0,20.5,42463.0,0.5777139871366569,0.5506127690422498,0.0852482383409287
0.1,0.2,"q_min=0.1, q₀=0.2",498110,20.5,21.0,65879.0,0.5393471931190289,0.5181844900525004,0.13225793499427838
0.1,0.2,"q_min=0.1, q₀=0.2",498110,21.0,21.5,93238.0,0.4779685789616459,0.4679235452672175,0.18718355383349058
0.1,0.2,"q_min=0.1, q₀=0.2",498110,21.5,22.0,110381.0,0.41130858309466845,0.406871505431236,0.2215996466643914
0.1,0.2,"q_min=0.1, q₀=0.2",498110,22.0,22.5,88997.0,0.316578928459545,0.33543395948067617,0.17866937021942944
0.1,0.2,"q_min=0.1, q₀=0.2",498110,22.5,23.0,35439.0,0.15235542152384446,0.23169143076608517,0.071146935415872
0.1,0.2,"q_min=0.1, q₀=0.2",498110,23.0,23.5,3701.0,0.0,0.17686073955337053,0.0074300857240368594
0.1,0.2,"q_min=0.1, q₀=0.2",498110,23.5,24.0,193.0,0.22594592907089153,0.32295787917179347,0.0003874646162494228
0.1,0.2,"q_min=0.1, q₀=0.2",498110,24.0,24.5,71.0,0.575828439177851,0.4620330901443304,0.00014253879665134209
0.1,0.2,"q_min=0.1, q₀=0.2",498110,24.5,25.0,34.0,0.06687126296406173,0.24936887644692152,6.825801529782579e-05
0.1,0.2,"q_min=0.1, q₀=0.2",498110,25.0,25.5,59.0,0.34791686998538474,0.4736485257804293,0.00011844773242858004
0.1,0.2,"q_min=0.1, q₀=0.2",498110,25.5,26.0,51.0,0.9914151804365313,0.748272618667649,0.00010238702294673867
0.1,0.2,"q_min=0.1, q₀=0.2",498110,26.0,26.5,30.0,0.9931343302713995,0.7021873729451578,6.0227660556905105e-05
0.15,0.2,"q_min=0.15, q₀=0.2",462993,15.0,15.5,194.0,0.44551117044599065,0.4625080724857945,0.0004190128144485986
