mag_lo,mag_hi,n_catalog,frac_pass_ur,frac_pass_lnl,frac_pass_strict
15.0,15.5,1137,0.28935795954265614,0.20932277924362358,0.15567282321899736
15.5,16.0,963,0.308411214953271,0.21287642782969884,0.17133956386292834
16.0,16.5,1747,0.3062392673153978,0.2318259874069834,0.1934745277618775
16.5,17.0,3239,0.32726150046310587,0.24328496449521458,0.22259956776782958
17.0,17.5,5881,0.3278354021424928,0.25760925012752933,0.23601428328515558
17.5,18.0,10285,0.3406903257170637,0.26650461837627615,0.25026737967914436
18.0,18.5,17452,0.33268393307357325,0.2529796011918405,0.23705019482007794
18.5,19.0,30296,0.3481317665698442,0.2569976234486401,0.2459400580934777
19.0,19.5,51589,0.3762817654926438,0.2836263544554072,0.2716470565430615
19.5,20.0,83568,0.40843385027761825,0.30749808539153745,0.29573520964962663
20.0,20.5,133794,0.4491905466612853,0.32195763636635427,0.30511831621746865
20.5,21.0,211947,0.493005326803399,0.32208523829070473,0.29555502083067936
21.0,21.5,322661,0.5325124511484189,0.32027421969187475,0.26764932855225765
21.5,22.0,440619,0.5822082116295484,0.3333900716945933,0.22021292772213635
22.0,22.5,416618,0.6594314215900418,0.39939944985574316,0.16697310245836713
22.5,23.0,154137,0.775576273055788,0.5332009835406165,0.1342571867883766
23.0,23.5,11972,0.9117106582024724,0.6948713665218844,0.1531072502505847
23.5,24.0,994,0.9708249496981891,0.6378269617706237,0.12977867203219315
24.0,24.5,363,0.9917355371900827,0.5867768595041323,0.15426997245179064
