re_slice,re_lo,re_hi,slice_n,mag_lo,mag_hi,n,frac_pool_pct,median_expAB_r,mean_expAB_r
1–2,1.0,2.0,131652,16.5,17.0,39,0.02962355300337253,0.7575127,0.7533550538461539
1–2,1.0,2.0,131652,17.0,17.5,152,0.11545589888493908,0.7710475999999999,0.749246577631579
1–2,1.0,2.0,131652,17.5,18.0,545,0.4139701637650776,0.7293365,0.7129620427522936
1–2,1.0,2.0,131652,18.0,18.5,1625,1.2343147084738553,0.7149861,0.6915380864
1–2,1.0,2.0,131652,18.5,19.0,3951,3.0010937927262784,0.6820654,0.6694977791445204
1–2,1.0,2.0,131652,19.0,19.5,8489,6.44806003706742,0.6456273,0.6317020927435506
1–2,1.0,2.0,131652,19.5,20.0,14691,11.15896454288579,0.610996,0.6030660330406372
1–2,1.0,2.0,131652,20.0,20.5,21310,16.186613192355605,0.568864,0.5674891006335054
1–2,1.0,2.0,131652,20.5,21.0,25767,19.572053595843588,0.5196157,0.5272619444793729
1–2,1.0,2.0,131652,21.0,21.5,27699,21.039558836933736,0.4613411,0.4808348399184086
1–2,1.0,2.0,131652,21.5,22.0,22339,16.968219244675357,0.3999759,0.426238271972783
1–2,1.0,2.0,131652,22.0,22.5,4799,3.645216175979096,0.3247296,0.3541463173577829
1–2,1.0,2.0,131652,22.5,23.0,169,0.12836872968128096,0.3185834,0.3566544230769231
1–2,1.0,2.0,131652,23.0,23.5,39,0.02962355300337253,0.3112627,0.35183737948717947
2–3,2.0,3.0,16317,16.0,16.5,32,0.19611448182876753,0.7263478999999999,0.72094446875
2–3,2.0,3.0,16317,16.5,17.0,122,0.7476864619721763,0.7365767,0.7112386950819672
2–3,2.0,3.0,16317,17.0,17.5,348,2.132744989887847,0.71839615,0.6907029298850574
2–3,2.0,3.0,16317,17.5,18.0,787,4.823190537476251,0.664768,0.6495197410419313
2–3,2.0,3.0,16317,18.0,18.5,1379,8.451308451308451,0.627483,0.6161047026105874
2–3,2.0,3.0,16317,18.5,19.0,2094,12.833241404669977,0.5644511,0.5676404536294174
2–3,2.0,3.0,16317,19.0,19.5,2543,15.584972727829872,0.4998831,0.5207323252457726
2–3,2.0,3.0,16317,19.5,20.0,2443,14.972114972114973,0.4609743,0.487645083544822
2–3,2.0,3.0,16317,20.0,20.5,2131,13.05999877428449,0.4358397,0.4620606797747536
2–3,2.0,3.0,16317,20.5,21.0,1847,11.319482748054176,0.4100699,0.4356092904710341
2–3,2.0,3.0,16317,21.0,21.5,1800,11.031439602868174,0.34999095,0.3793590565555556
2–3,2.0,3.0,16317,21.5,22.0,664,4.069375497946926,0.2999608,0.32990342891566266
2–3,2.0,3.0,16317,22.0,22.5,97,0.5944720230434516,0.2856441,0.31732346597938144
3+,3.0,,7049,15.0,15.5,112,1.5888778550148956,0.6504023000000001,0.6598694017857143
3+,3.0,,7049,15.5,16.0,139,1.9719109093488438,0.7001837,0.6832343741007193
3+,3.0,,7049,16.0,16.5,283,4.014753865796567,0.6066521,0.6019724017667846
3+,3.0,,7049,16.5,17.0,544,7.717406724358065,0.5674542,0.575945595772059
3+,3.0,,7049,17.0,17.5,858,12.171939282167683,0.50007815,0.5265192128205128
3+,3.0,,7049,17.5,18.0,1195,16.952759256632145,0.4281644,0.48615710878661084
3+,3.0,,7049,18.0,18.5,954,13.533834586466165,0.43766720000000003,0.4744349624737946
3+,3.0,,7049,18.5,19.0,751,10.653993474251667,0.4184391,0.46437003462050597
3+,3.0,,7049,19.0,19.5,552,7.830897999716272,0.45420445,0.4766720141304348
3+,3.0,,7049,19.5,20.0,396,5.617818130231239,0.41497445,0.43840638484848493
3+,3.0,,7049,20.0,20.5,328,4.65314228968648,0.4033584,0.44026859115853667
3+,3.0,,7049,20.5,21.0,403,5.717122996169669,0.3294618,0.36559510421836233
3+,3.0,,7049,21.0,21.5,351,4.979429706341325,0.2864451,0.31943899601139597
3+,3.0,,7049,21.5,22.0,129,1.8300468151510854,0.2697391,0.3219536457364341
3+,3.0,,7049,22.0,22.5,34,0.48233792027237904,0.24998120000000001,0.2792696088235294
