cos_i,00_strict_ba_gt_0p2,01_ur_lt_2p3,02_lnl_exp_wins,03_mag_lt_21
0.0,0.0,0.0,0.0,0.0
0.005,0.0013288526829461432,0.0014833821720844783,0.0011794133740418704,0.0005780927964610667
0.01,0.002303839567640334,0.002527974735435677,0.0020691462702488953,0.0007980194038103856
0.015,0.0030536391261741912,0.003369114677436497,0.0027818522077790704,0.0009425426029256522
0.02,0.0037077546926399213,0.004062979214429953,0.0033796055747398624,0.0011687528276278088
0.025,0.004435282977157922,0.004866161577820628,0.004147488746143341,0.0016023224249736088
0.03,0.005359128417815699,0.0058986077160165795,0.004942960534483472,0.002029608404966571
0.035,0.006437223052583303,0.00707681095607549,0.005945346949848492,0.0026014175840748
0.04,0.007702561361484224,0.008388624872842112,0.007124760323890363,0.003254913788769919
0.045,0.0091526687585167,0.009914519532969953,0.00852258358201406,0.003964962549640577
0.05,0.01078837010568132,0.011639311905014955,0.01005834992482102,0.004869803448449203
0.055,0.012546975890933447,0.013468867194023959,0.011711367889608748,0.005812346051374855
0.06,0.014515096624334749,0.015579308564748038,0.013546010915896101,0.006849142914593073
0.065,0.016601172623820035,0.017720115998360233,0.015343869119601252,0.00794249233398683
0.07,0.01881592709539694,0.020017308655846226,0.017387725824324882,0.009010707283969235
0.075,0.021118941801036687,0.022376751742252857,0.01947526450586488,0.010122907555421504
0.08,0.023672714554854972,0.024929019327999027,0.02175822255737283,0.011505303373045795
0.085,0.026341143126754892,0.027742435054582997,0.024218207567557624,0.01308877494596089
0.09,0.029097831932717658,0.030610509694365576,0.02684142522795095,0.014571708641230583
0.095,0.031875142288695105,0.03358334725111216,0.0295152220193948,0.01602322424973609
0.1,0.034789379736770036,0.03657440444559161,0.03223040173624363,0.017581561353239832
0.105,0.03765082601680739,0.0395760897620819,0.03497776817285188,0.019303272507917357
0.11,0.040678894420963375,0.04274478842445683,0.03786767579696617,0.0211443723922988
0.115,0.04359230700703772,0.04579657774471251,0.04072769575273242,0.022966621424621726
0.12,0.04662532458319723,0.04894705676935457,0.04364979009660614,0.024770019604886142
0.125,0.04965174326335204,0.05212942016002915,0.04647762333261296,0.02664253757603177
0.13,0.0526228961894675,0.055111367535642164,0.04927097079744897,0.028515055547177398
0.135,0.05554455739554773,0.058182894796775124,0.05207351446793053,0.03037500628361735
0.14,0.058523958941669056,0.06126808678620774,0.0548369742644185,0.032153269994470414
0.145,0.061450569319752804,0.06431076628759698,0.057648714140545614,0.03405720605238023
0.15,0.06444976755388823,0.06747035513110548,0.060582303741476266,0.03574749912029357
0.155,0.07623622068028019,0.08035012070509998,0.07200399115325017,0.04096290152314885
0.16,0.08077131195950918,0.08511303766910101,0.0763767869377095,0.04343864676016689
0.165,0.08550601984288028,0.0899700894280552,0.08090821726955458,0.04640451415070628
0.17,0.09047746312041996,0.09507158799325874,0.08550861914374129,0.049628009852712006
0.17500000000000002,0.09545715501796549,0.10023685529052731,0.09011132006933939,0.052461921278841805
0.18,0.10048303918754392,0.1054340069538284,0.09482667451409549,0.055522042929673755
0.185,0.10541158964105306,0.11049147472784417,0.09947535646792134,0.05877067310109083
0.19,0.11034921357656864,0.11566888845026799,0.10405046877658278,0.061937616246921026
0.195,0.11504515294591215,0.12056237948468791,0.10850832946326346,0.06510455939275121
0.2,0.1196990243532257,0.12539969330276482,0.11294319963583026,0.0684537274418137
0.20500000000000002,0.1240905896443525,0.12990298042907247,0.11712517415314441,0.07163323782234957
0.21,0.12846318310946578,0.13442600549625738,0.12140600788114823,0.07479389735082692
0.215,0.1324439671243001,0.1385314971987307,0.12524772278957702,0.07751470366460564
0.22,0.13632659256106452,0.14257322016913898,0.12905725097824639,0.0805434072286734
0.225,0.14005001963171562,0.14649347888799477,0.13276562090481467,0.08327049715980496
0.23,0.1528164088148053,0.16052259994230447,0.1457115794023386,0.08925250087970643
0.23500000000000001,0.15861436381693342,0.16648649469353052,0.15125229330378287,0.0929158497964108
0.24,0.16470102051926713,0.1727768246208038,0.1571171734542328,0.09723897853516313
0.245,0.17098069492973825,0.17923872280339492,0.16307171660972683,0.10137359875333032
0.25,0.17703353229004787,0.1853741858099388,0.1686308229224622,0.10542653194591062
0.255,0.18303605306832166,0.19157189924540333,0.17434626473117193,0.10965540642437038
0.26,0.1889643362665426,0.19758589800039475,0.17987778242697064,0.11377117579047906
0.265,0.1946954774466232,0.20339340752774698,0.1851931892900989,0.11740939023777208
0.27,0.2002674202605904,0.2090369403155034,0.19051089520463857,0.12156286130799779
0.275,0.20543435583226927,0.21432822677375765,0.19561478933791918,0.12591112451616146
0.28,0.21041569745381597,0.2194388351578276,0.20041061058207382,0.12983838536168502
0.28500000000000003,0.21498955724707255,0.22396337852815693,0.20482019118911537,0.13314985170663046
0.29,0.21923182251609305,0.22836038443435616,0.20909182871147364,0.13638591464334188
0.295,0.2330004190298963,0.24377267965321955,0.2240080742685568,0.14424671995174182
0.3,0.23945248959849016,0.2504137376068506,0.23028908272446788,0.14897200020107576
0.305,0.24639617791943408,0.2573857856459621,0.23653100730638538,0.1536155934248228
0.31,0.25345782150646196,0.26456735951900157,0.24323963932481457,0.15873045795003268
0.315,0.26032479766135125,0.2714953767669253,0.24971146904787084,0.16361911225054038
0.32,0.26704329865613485,0.27843250383371543,0.25617410256528156,0.16866485698486905
0.325,0.2735481603927663,0.2849794269923933,0.2623125698336866,0.17362263107625797
0.33,0.2797634955671916,0.2912454640693561,0.2682441224750668,0.17837304579500327
0.335,0.28553835443330333,0.2970803030533076,0.27381472404485907,0.18302292263610315
0.34,0.2910162629792036,0.30264336577441053,0.27921059770738593,0.18764138139043884
