stratum,htm_lo,htm_hi,n_fetched,n_unique_objid,strict_mag20_pool,status
0,0,2047,100000,100000.0,2914.0,ok
1,2048,4095,100000,200000.0,5830.0,ok
2,4096,6143,100000,300000.0,8754.0,ok
3,6144,8191,100000,400000.0,11596.0,ok
4,8192,10239,100000,500000.0,14489.0,ok
5,10240,12287,100000,600000.0,17419.0,ok
6,12288,14335,100000,700000.0,20408.0,ok
7,14336,16383,100000,800000.0,23301.0,ok
8,16384,18431,100000,900000.0,26289.0,ok
9,18432,20479,100000,1000000.0,29126.0,ok
10,20480,22527,100000,1100000.0,32141.0,ok
11,22528,24575,100000,1200000.0,35038.0,ok
12,24576,26623,100000,1300000.0,38045.0,ok
13,26624,28671,100000,1400000.0,40981.0,ok
14,28672,30719,100000,1500000.0,43862.0,ok
15,30720,32767,0,,,failed
16,32768,34815,100000,1600000.0,46878.0,ok
17,34816,36863,100000,1700000.0,49874.0,ok
18,36864,38911,0,,,failed
19,38912,40959,100000,1800000.0,52941.0,ok
20,40960,43007,100000,1900000.0,55885.0,ok
