pool,pool_n,mag_lo,mag_hi,n,median_expAB_r,mean_expAB_r,frac_pool,median_cosi,median_cosi_from_median_ba,delta_ba_minus_cosi,delta_cosi_vs_hubble_median_ba
ur_lnl_strict_ba,434962,15.0,15.5,177,0.5598797,0.5488556050847458,0.0004069320998156161,0.533722460718203,0.533722460718203,0.02615723928179703,0.0
ur_lnl_strict_ba,434962,15.5,16.0,165,0.6777496,0.6421627357575757,0.0003793434828789641,0.6609214844790566,0.6609214844790566,0.01682811552094332,0.0
ur_lnl_strict_ba,434962,16.0,16.5,338,0.6130255,0.6000729831360946,0.0007770793770490295,0.5914315441018452,0.5914321104762098,0.021593955898154826,-5.66374364630029e-07
ur_lnl_strict_ba,434962,16.5,17.0,721,0.6147454,0.6014822482662968,0.001657616067610504,0.5932887742114923,0.5932887742114923,0.02145662578850771,0.0
ur_lnl_strict_ba,434962,17.0,17.5,1388,0.5810791,0.5899028971902016,0.003191083359006074,0.556825934493822,0.5568259382211318,0.024253165506177954,-3.727309794143707e-09
ur_lnl_strict_ba,434962,17.5,18.0,2574,0.58357015,0.5864806273504274,0.005917758332911841,0.5595330269987491,0.5595330269994333,0.024037123001250937,-6.84230450076484e-13
ur_lnl_strict_ba,434962,18.0,18.5,4137,0.6354665,0.6180686367416002,0.009511175688910755,0.615610869230591,0.615610869230591,0.019855630769408994,0.0
ur_lnl_strict_ba,434962,18.5,19.0,7451,0.6451425,0.6270186543953832,0.017130232066249466,0.6260065605572174,0.6260065605572174,0.01913593944278258,0.0
ur_lnl_strict_ba,434962,19.0,19.5,14014,0.63815835,0.6225592152775796,0.03221890647918669,0.6185046480234577,0.6185046480513863,0.01965370197654226,-2.7928548362865513e-11
ur_lnl_strict_ba,434962,19.5,20.0,24714,0.6327872999999999,0.6183401165088613,0.05681875658103466,0.6127293508006121,0.6127293508023564,0.02005794919938786,-1.7442713939885834e-12
ur_lnl_strict_ba,434962,20.0,20.5,40823,0.6132597,0.602928453859344,0.09385417576707851,0.5916849700608653,0.5916849700608653,0.021574729939134674,0.0
ur_lnl_strict_ba,434962,20.5,21.0,62642,0.5814027500000001,0.5780164254078733,0.14401717851214588,0.5571777447800472,0.5571777447805242,0.024225005219952855,-4.769518113789672e-13
ur_lnl_strict_ba,434962,21.0,21.5,86360,0.5327899,0.5426894397904122,0.19854607988743844,0.5040100420027148,0.5040100420027301,0.02877985799728522,-1.532107773982716e-14
ur_lnl_strict_ba,434962,21.5,22.0,97030,0.48418720000000004,0.5060724496124911,0.22307695844694478,0.45004310514947377,0.4500431051621611,0.034144094850526274,-1.2687351169660133e-11
ur_lnl_strict_ba,434962,22.0,22.5,69564,0.44905510000000004,0.47784483096285435,0.15993121238177127,0.4103485343225134,0.41034853432276786,0.03870656567748665,-2.544631172440859e-13
ur_lnl_strict_ba,434962,22.5,23.0,20694,0.39998405000000004,0.45168316167488165,0.04757656990725627,0.35353459321306613,0.3535345932130772,0.04644945678693391,-1.1046719095020308e-14
ur_lnl_strict_ba,434962,23.0,23.5,1833,0.3504041,0.4193563801963993,0.004214161237073583,0.29365341195164707,0.29365341195164707,0.056750688048352926,0.0
ur_lnl_strict_ba,434962,23.5,24.0,129,0.5007368,0.5315058480620155,0.0002965776320690083,0.468527550410859,0.468527550410859,0.03220924958914101,0.0
ur_lnl_strict_ba,434962,24.0,24.5,56,0.72475585,0.6229817357142858,0.00012874687903770905,0.7109784619061337,0.7109786697670848,0.013777388093866305,-2.0786095111802183e-07
ur_lnl_strict_ba,434962,25.0,25.5,43,0.7556618,0.6845264720930232,9.885921068966944e-05,0.7437410755621711,0.7437410755621711,0.011920724437828989,0.0
ur_lnl_strict_ba,434962,25.5,26.0,46,0.99390785,0.8450838239130435,0.00010575636492383243,0.9936531986792465,0.9936531998407561,0.0002546513207535295,-1.1615095552031107e-09
