pool,pool_n,mag_lo,mag_hi,n,median_expAB_r,mean_expAB_r,frac_pool
ur_lnl_exp_wins,678109,15.0,15.5,238,0.41208239999999996,0.43683613810924365,0.00035097602302874614
ur_lnl_exp_wins,678109,15.5,16.0,205,0.5749735,0.5389476416585366,0.0003023112803398864
ur_lnl_exp_wins,678109,16.0,16.5,405,0.5442377,0.5179285573333333,0.0005972491148178243
ur_lnl_exp_wins,678109,16.5,17.0,788,0.5769807499999999,0.5604325396700508,0.0011620550678430753
ur_lnl_exp_wins,678109,17.0,17.5,1515,0.5565252,0.5508667240330033,0.0022341540961703797
ur_lnl_exp_wins,678109,17.5,18.0,2741,0.5653521,0.5589187052353156,0.004042123021520139
ur_lnl_exp_wins,678109,18.0,18.5,4415,0.6136318,0.5877339950079276,0.006510752696100479
ur_lnl_exp_wins,678109,18.5,19.0,7786,0.63040705,0.6055576552119187,0.011481929896226123
ur_lnl_exp_wins,678109,19.0,19.5,14632,0.62238295,0.6017114655617825,0.02157765197040594
ur_lnl_exp_wins,678109,19.5,20.0,25697,0.6198878,0.599771593054442,0.037895087662897856
ur_lnl_exp_wins,678109,20.0,20.5,43076,0.59816355,0.5782660938687436,0.06352371078985827
ur_lnl_exp_wins,678109,20.5,21.0,68265,0.5533414,0.5399288802296932,0.10066965635318216
ur_lnl_exp_wins,678109,21.0,21.5,103340,0.4766723,0.4695504743327849,0.1523943790747505
ur_lnl_exp_wins,678109,21.5,22.0,146898,0.34928675,0.36264055534636275,0.21662889004570063
ur_lnl_exp_wins,678109,22.0,22.5,166397,0.1280616,0.24547583033528247,0.24538385421812717
ur_lnl_exp_wins,678109,22.5,23.0,82186,0.09559076999999999,0.17797560788199937,0.12119880432201903
ur_lnl_exp_wins,678109,23.0,23.5,8319,0.09726788,0.16286696376126938,0.012267939225109827
ur_lnl_exp_wins,678109,23.5,24.0,634,0.059396235,0.16393685768138802,0.0009349529352950631
ur_lnl_exp_wins,678109,24.0,24.5,213,0.05465608,0.21175757746478874,0.0003141087937190039
ur_lnl_exp_wins,678109,24.5,25.0,87,0.0868814,0.17393059908045974,0.000128297957997903
ur_lnl_exp_wins,678109,25.0,25.5,130,0.08889696,0.2767969342307692,0.00019170959241065965
ur_lnl_exp_wins,678109,25.5,26.0,79,0.3185154,0.5206097169620253,0.00011650044461878547
ur_lnl_exp_wins,678109,26.0,26.5,40,0.7389656,0.57562092075,5.8987566895587584e-05
