q_min,hubble_q0,line_label,pool_n,mag_lo,mag_hi,n,median_cosi,mean_cosi,frac_pool
0.05,0.05,q_min=q₀=0.05,580354,15.0,15.5,224.0,0.4347980162457682,0.45691387491149776,0.0003859713209523842
0.05,0.05,q_min=q₀=0.05,580354,15.5,16.0,197.0,0.6042052479554462,0.5555128360121744,0.0003394479920875879
0.05,0.05,q_min=q₀=0.05,580354,16.0,16.5,383.0,0.5588590849185509,0.5419916788245681,0.000659942035378407
0.05,0.05,q_min=q₀=0.05,580354,16.5,17.0,771.0,0.5850660048278853,0.5693689214119151,0.0013284995020280725
0.05,0.05,q_min=q₀=0.05,580354,17.0,17.5,1480.0,0.5604520044834054,0.5604537244528168,0.002550167656292539
0.05,0.05,q_min=q₀=0.05,580354,17.5,18.0,2707.0,0.5669357030939369,0.5631597385406569,0.0046643944902593935
0.05,0.05,q_min=q₀=0.05,580354,18.0,18.5,4364.0,0.6164286054286853,0.5920063672589855,0.007519548413554486
0.05,0.05,q_min=q₀=0.05,580354,18.5,19.0,7727.0,0.6326267025635901,0.6079356095349889,0.013314287486603004
0.05,0.05,q_min=q₀=0.05,580354,19.0,19.5,14502.0,0.624952022917086,0.6048300768703341,0.024988196859158377
0.05,0.05,q_min=q₀=0.05,580354,19.5,20.0,25548.0,0.6206388777236647,0.601136014831773,0.044021407623622826
0.05,0.05,q_min=q₀=0.05,580354,20.0,20.5,42701.0,0.5986419387405861,0.5808958237552663,0.07357750614280249
0.05,0.05,q_min=q₀=0.05,580354,20.5,21.0,66798.0,0.5590984875693689,0.5483130704829813,0.11509871561150609
0.05,0.05,q_min=q₀=0.05,580354,21.0,21.5,96765.0,0.49810155905783876,0.4948814353367834,0.16673444139266724
0.05,0.05,q_min=q₀=0.05,580354,21.5,22.0,122871.0,0.40609389574344773,0.4188697651199389,0.2117173311461625
0.05,0.05,q_min=q₀=0.05,580354,22.0,22.5,121352.0,0.25334354471786,0.3095483032465072,0.20909996312595416
0.05,0.05,q_min=q₀=0.05,580354,22.5,23.0,64404.0,0.10646346167540238,0.20113766660090407,0.11097364711882747
0.05,0.05,q_min=q₀=0.05,580354,23.0,23.5,6772.0,0.1005796869290878,0.17604592058063917,0.011668740113792616
0.05,0.05,q_min=q₀=0.05,580354,23.5,24.0,352.0,0.10447727976897078,0.24285250064402347,0.0006065263614966038
0.05,0.05,q_min=q₀=0.05,580354,24.0,24.5,121.0,0.15028665360530089,0.32224844947197595,0.00020849343676445755
0.05,0.05,q_min=q₀=0.05,580354,24.5,25.0,76.0,0.08010170758286887,0.1752509328540381,0.00013095455532313036
0.05,0.05,q_min=q₀=0.05,580354,25.0,25.5,111.0,0.09381736213732518,0.30097708118766936,0.0001912625742219404
0.05,0.05,q_min=q₀=0.05,580354,25.5,26.0,65.0,0.9039167606442109,0.6148540874617324,0.0001120006065263615
0.05,0.05,q_min=q₀=0.05,580354,26.0,26.5,40.0,0.7381607802171084,0.5684444889581316,6.892345017006861e-05
0.1,0.1,q_min=q₀=0.1,498110,15.0,15.5,208.0,0.4443266138073736,0.47681078244151426,0.0004175784465278754
0.1,0.1,q_min=q₀=0.1,498110,15.5,16.0,188.0,0.6177340708254205,0.5708997981798414,0.00037742667282327196
0.1,0.1,q_min=q₀=0.1,498110,16.0,16.5,374.0,0.5608748667804541,0.5449571361973519,0.0007508381682760836
0.1,0.1,q_min=q₀=0.1,498110,16.5,17.0,759.0,0.5871922177445884,0.571217537832568,0.001523759812089699
0.1,0.1,q_min=q₀=0.1,498110,17.0,17.5,1465.0,0.5583374787447105,0.5588944208236403,0.0029411174238621993
0.1,0.1,q_min=q₀=0.1,498110,17.5,18.0,2689.0,0.5636571958335217,0.560001664444544,0.005398405974583928
0.1,0.1,q_min=q₀=0.1,498110,18.0,18.5,4330.0,0.6147344841858131,0.590280160699897,0.008692859007046637
