bin_label,mag_lo,mag_hi,n_galaxies,frac_of_pool_pct,median_expAB_r
< 15,,15.0,96,0.02207089354932155,0.4675649
15–15.5,15.0,15.5,81,0.018622316432240056,0.605836
15.5–16,15.5,16.0,165,0.037934348287896415,0.6777496
16–16.5,16.0,16.5,338,0.07770793770490296,0.6130255
16.5–17,16.5,17.0,721,0.1657616067610504,0.6147454
17–17.5,17.0,17.5,1388,0.3191083359006074,0.5810791
17.5–18,17.5,18.0,2574,0.5917758332911841,0.58357015
18–18.5,18.0,18.5,4137,0.9511175688910756,0.6354665
18.5–19,18.5,19.0,7451,1.7130232066249464,0.6451425
19–19.5,19.0,19.5,14014,3.2218906479186686,0.63815835
19.5–20,19.5,20.0,24714,5.681875658103467,0.6327872999999999
20–20.5,20.0,20.5,40823,9.38541757670785,0.6132597
20.5–21,20.5,21.0,62642,14.401717851214588,0.5814027500000001
21–21.5,21.0,21.5,86360,19.854607988743844,0.5327899
21.5–22,21.5,22.0,97030,22.30769584469448,0.48418720000000004
22–22.5,22.0,22.5,69564,15.993121238177128,0.44905510000000004
22.5–23,22.5,23.0,20694,4.757656990725627,0.39998405000000004
23–23.5,23.0,23.5,1833,0.42141612370735837,0.3504041
23.5–24,23.5,24.0,129,0.029657763206900833,0.5007368
24–24.5,24.0,24.5,56,0.012874687903770905,0.72475585
24.5–25,24.5,25.0,18,0.004138292540497791,0.46505395
25–25.5,25.0,25.5,43,0.009885921068966944,0.7556618
25.5–26,25.5,26.0,46,0.010575636492383243,0.99390785
26–26.5,26.0,26.5,25,0.005747628528469153,0.9985032
26.5–27,26.5,27.0,12,0.002758861693665194,0.9996916
27–27.5,27.0,27.5,4,0.0009196205645550646,0.99907355
27.5–28,27.5,28.0,3,0.0006897154234162985,0.999696
28–28.5,28.0,28.5,0,0.0,
28.5–29,28.5,29.0,1,0.00022990514113876615,0.9998466
