mag_limit,n_pool,n_sample,n_draws,cdf_at_cosi_0.5,x_at_cdf_0.5,max_abs_diff_vs_full_ecdf,note
20.0,55679,31,10000,0.36004292743978933,0.595959595959596,0.019248212835998535,
20.0,55679,41,10000,0.35585082515164873,0.6060606060606061,0.015513479964364585,
20.0,55679,100,10000,0.34822554342174017,0.6060606060606061,0.006782957585756116,
20.0,55679,500,10000,0.3446615358004514,0.6161616161616162,0.0031400001291345125,
20.0,55679,2000,10000,0.34356212141296805,0.6161616161616162,0.002816809678893306,
20.0,55679,5000,10000,0.34344527756382387,0.6161616161616162,0.002866589020541599,
20.0,55679,31,10000,0.36004292743978933,0.595959595959596,,production_overlay_exact
21.0,159144,41,10000,0.38773708614005525,0.5757575757575758,0.016099354843305047,
21.0,159144,100,10000,0.37923438312986557,0.5858585858585859,0.008300302214326538,
21.0,159144,500,10000,0.37491708299337345,0.5858585858585859,0.004091953008136029,
21.0,159144,2000,10000,0.3745407313984655,0.5858585858585859,0.003752645214560313,
21.0,159144,5000,10000,0.3743313548687145,0.5858585858585859,0.003847246370006996,
21.0,159144,41,10000,0.38773708614005525,0.5757575757575758,,production_overlay_exact
22.0,342534,41,10000,0.4692768136158469,0.5151515151515152,0.016430560097174363,
22.0,342534,49,10000,0.46986663129154976,0.5151515151515152,0.01619485071426835,
22.0,342534,100,10000,0.46373028450489945,0.5252525252525253,0.010046841233723736,
22.0,342534,500,10000,0.45994710016859774,0.5252525252525253,0.006378188418825426,
22.0,342534,2000,10000,0.45914844189385,0.5252525252525253,0.005476599827563711,
22.0,342534,5000,10000,0.4589485553555391,0.5252525252525253,0.005461888517402702,
22.0,342534,49,10000,0.46986663129154976,0.5151515151515152,,production_overlay_exact
