frb,citation,cite_source,coord_semantics
20171020A,"Li et al. 2023, PASA 40, 29",production67_lit_astropath_audit.csv,host
20180924B,"Bannister et al. 2019, Science 365, 565 (doi:10.1126/science.aaw5903)",production67_lit_astropath_audit.csv,host
20181112A,"Prochaska et al. 2019, Science 366, 231 (doi:10.1126/science.aay0073); Bhandari et al. 2020, ApJL 895, L37 (doi:10.3847/2041-8213/ab672e)",master_frb_localization.csv,host
20190102C,"Heintz et al. 2020, ApJ 903, 152 (doi:10.3847/1538-4357/abb6fb)",production67_lit_astropath_audit.csv,host
20190523A,"Ravi et al. 2019, Nature 572, 352 (doi:10.1038/s41586-019-1389-7)",production67_lit_astropath_audit.csv,host
20190608B,"Chittidi et al. 2021, ApJ 922, 173 (doi:10.3847/1538-4357/ac2818)",production67_lit_astropath_audit.csv,host
20190611B,"Gordon et al. 2023, ApJ 952, 122 (doi:10.3847/1538-4357/ace5aa)",production67_lit_astropath_audit.csv,host
20190711A,"Kumar et al. 2021, MNRAS 500, 2525 (doi:10.1093/mnras/staa3436)",production67_lit_astropath_audit.csv,host
20190714A,"Heintz et al. 2020, ApJ 903, 152 (doi:10.3847/1538-4357/abb6fb)",production67_lit_astropath_audit.csv,host
20191001A,"Bhandari et al. 2020, ApJL 901, L20 (doi:10.3847/2041-8213/abb462)",production67_lit_astropath_audit.csv,host
20200430A,"Gordon et al. 2023, ApJ 952, 122 (doi:10.3847/1538-4357/ace5aa)",production67_lit_astropath_audit.csv,host
20200906A,"Bhandari et al. 2022, AJ 163, 69 (doi:10.3847/1538-3881/ac3aec)",production67_lit_astropath_audit.csv,host
20210320C,"Gordon et al. 2023, ApJ 952, 122 (doi:10.3847/1538-4357/ace5aa)",production67_lit_astropath_audit.csv,host
20210410D,"Caleb et al. 2023, MNRAS 524, 2064 (doi:10.1093/mnras/stad1839)",production67_lit_astropath_audit.csv,host
20210807D,"Gordon et al. 2023, ApJ 952, 122 (doi:10.3847/1538-4357/ace5aa)",production67_lit_astropath_audit.csv,host
20211127I,"Gordon et al. 2023, ApJ 952, 122 (doi:10.3847/1538-4357/ace5aa)",production67_lit_astropath_audit.csv,host
20211203C,"Gordon et al. 2023, ApJ 952, 122 (doi:10.3847/1538-4357/ace5aa)",production67_lit_astropath_audit.csv,host
20211212A,"Gordon et al. 2023, ApJ 952, 122 (doi:10.3847/1538-4357/ace5aa)",production67_lit_astropath_audit.csv,host
20220105A,"Gordon et al. 2023, ApJ 952, 122 (doi:10.3847/1538-4357/ace5aa)",production67_lit_astropath_audit.csv,host
20220207C,"Law et al. 2024, ApJ 967, 29 (doi:10.3847/1538-4357/ad3736)",production67_lit_astropath_audit.csv,host
20220307B,"Law et al. 2024, ApJ 967, 29 (doi:10.3847/1538-4357/ad3736)",production67_lit_astropath_audit.csv,host
20220310F,"Law et al. 2024, ApJ 967, 29 (doi:10.3847/1538-4357/ad3736)",production67_lit_astropath_audit.csv,host
20220319D,"Law et al. 2024, ApJ 967, 29 (doi:10.3847/1538-4357/ad3736)",production67_lit_astropath_audit.csv,host
20220418A,"Law et al. 2024, ApJ 967, 29 (doi:10.3847/1538-4357/ad3736)",production67_lit_astropath_audit.csv,host
20220501C,"Shannon et al. 2025, PASA 42, e036 (doi:10.1017/pasa.2025.8)",master_frb_localization.csv,host
20220509G,"Law et al. 2024, ApJ 967, 29 (doi:10.3847/1538-4357/ad3736)",production67_lit_astropath_audit.csv,host
20220717A,"Rajwade et al. 2024, MNRAS 532, 3881 (doi:10.1093/mnras/stae1652)",production67_lit_astropath_audit.csv,host
20220725A,"Gordon et al. 2025, ApJ 993, 119 (doi:10.3847/1538-4357/ae0298)",production67_lit_astropath_audit.csv,host
20220825A,"Law et al. 2024, ApJ 967, 29 (doi:10.3847/1538-4357/ad3736)",production67_lit_astropath_audit.csv,host
